Team,Player Name,Role,Country,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR,
Adelaide Strikers,Alex Carey,Wicketkeeper Batter,Australia,2474,101,27.48,2,-,-,-,-,82,17,-,129.2,
Adelaide Strikers,Travis Head,Top order Batter,Australia,4380,102,30.62,2,22,16-Mar,29.95,0,44,0,0.67,148.6,
Adelaide Strikers,Thomas Kelly,Middle order Batter,Australia,409,43,20.45,0,-,-,-,-,12,0,-,118.2,
Adelaide Strikers,Chris Lynn,Batter,Australia,8526,113*,32.91,6,3,15-Feb,31,0,72,0,1.91,143.8,
Adelaide Strikers,Harry Nielsen,Wicketkeeper Batter,Australia,459,50,20.86,0,-,-,-,-,31,3,-,119.4,
Adelaide Strikers,Ollie Pope,Middle order Batter,England,1720,99*,27.74,0,-,-,-,-,36,3,-,0,
Adelaide Strikers,Alex Ross,Middle order Batter,Australia,2819,89*,28.19,0,-,-,-,-,55,0,-,126.8,
Adelaide Strikers,D'Arcy Short,Opening Batter,Australia,5401,122*,33.13,2,68,21-May,32.92,1,74,0,0.2,130.5,
Adelaide Strikers,Matthew Short,Top order Batter,Australia,3380,109,27.7,2,55,22-May,29.3,1,76,0,-1.6,146.8,
Adelaide Strikers,Jake Weatherald,Top order Batter,Australia,2324,115,25.82,1,-,-,-,-,35,0,-,130.9,
Adelaide Strikers,Fabian Allen,Bowling Allrounder,West Indies,1570,64*,17.44,0,100,24-Apr,27.81,0,69,0,-10.36,141.1,
Adelaide Strikers,James Bazley,Allrounder,Australia,442,49*,14.25,0,33,22-Apr,31.03,0,11,0,-16.77,129.6,
Adelaide Strikers,Jamie Overton,Bowling Allrounder,England,1687,83*,20.57,0,133,May-47,27.2,1,95,0,-6.62,157.5,
Adelaide Strikers,Cameron Boyce,Bowler,Australia,331,51*,10.34,0,121,21-May,24.27,1,14,0,-13.92,113.4,
Adelaide Strikers,Jordan Buckingham,Bowler,Australia,0,0*,-,0,2,23-Jan,48,0,1,0,-,0,
Adelaide Strikers,Brendan Doggett,Bowler,Australia,87,47*,10.87,0,43,May-35,28.74,1,15,0,-17.86,102.4,
Adelaide Strikers,Lloyd Pope,Bowler,Australia,11,5,2.2,0,59,22-Apr,25.84,0,8,0,-23.64,50,
