Player,Span,Team,Country,SR,Bowling Style
WA Agar,2017-2023,Adelaide Strikers,Adelaide Strikers,108.0,Fast
FA Allen,2024-2024,Adelaide Strikers,West Indies,141.5,Orthodox
TD Andrews,2016-2017,Adelaide Strikers,Adelaide Strikers,150.8,Orthodox
JJ Bazley,2023-2025,Adelaide Strikers,Brisbane Heat,129.6,Medium
AC Blizzard,2011-2012,Adelaide Strikers,Adelaide Strikers,123.6,Medium
CJ Borgas,2011-2012,Adelaide Strikers,Adelaide Strikers,116.0,Offbreak
J Botha,2011-2015,Adelaide Strikers,South Africa,117.6,Offbreak
CJ Boyce,2012-2025,Adelaide Strikers,Australia,113.4,Legbreak
DR Briggs,2020-2021,Adelaide Strikers,England,127.8,Orthodox
JS Buckingham,2025-2025,Adelaide Strikers,Adelaide Strikers,0.0,Medium
AT Carey,2017-2025,Adelaide Strikers,Australia,129.5,Medium
IA Cockbain,2022-2022,Adelaide Strikers,Adelaide Strikers,133.1,Medium
HNA Conway,2019-2023,Adelaide Strikers,Adelaide Strikers,84.2,Medium
TLW Cooper,2011-2012,Adelaide Strikers,Netherlands,128.5,Offbreak
AJ Crosthwaite,2011-2012,Adelaide Strikers,Adelaide Strikers,106.7,Legbreak
JR Dean,2013-2018,Adelaide Strikers,Adelaide Strikers,133.8,Offbreak
C de Grandhomme,2022-2023,Adelaide Strikers,New Zealand,143.9,Medium
B Doggett,2023-2025,Adelaide Strikers,Brisbane Heat,102.4,Medium
TP Doropoulos,2012-2013,Adelaide Strikers,Adelaide Strikers,80.0,Medium
BG Drew,2012-2012,Adelaide Strikers,Adelaide Strikers,65.2,Medium
DR Drew,2021-2021,Adelaide Strikers,Adelaide Strikers,117.3,Offbreak
BR Dunk,2016-2017,Adelaide Strikers,Australia,128.9,
Fawad Ahmed,2021-2022,Adelaide Strikers,Australia,75.4,Legbreak
CJ Ferguson,2011-2014,Adelaide Strikers,Australia,125.4,Medium
JEC Franklin,2012-2012,Adelaide Strikers,New Zealand,117.8,Medium
GHS Garton,2021-2021,Adelaide Strikers,England,134.6,Fast
RJ Gibson,2020-2023,Adelaide Strikers,Sydney Thunder,104.8,Medium
AD Hales,2013-2014,Adelaide Strikers,England,146.0,Medium
DJ Harris,2011-2012,Adelaide Strikers,Adelaide Strikers,113.9,Medium
L Haskett,2025-2025,Adelaide Strikers,Adelaide Strikers,55.6,Medium
TM Head,2013-2023,Adelaide Strikers,Australia,148.6,Offbreak
BJ Hodge,2014-2017,Adelaide Strikers,Australia,130.3,Offbreak
JM Holland,2014-2016,Adelaide Strikers,Adelaide Strikers,61.1,Orthodox
AJ Hose,2022-2024,Adelaide Strikers,Adelaide Strikers,141.1,Medium
PJ Hughes,2012-2014,Adelaide Strikers,Australia,111.0,
HJ Hunt,2022-2023,Adelaide Strikers,Adelaide Strikers,107.7,Medium
CA Ingram,2017-2019,Adelaide Strikers,South Africa,140.9,
DPMD Jayawardene,2015-2016,Adelaide Strikers,Sri Lanka,126.7,Medium
MJ Johnston,2012-2012,Adelaide Strikers,Hobart Hurricanes,130.0,Medium
CJ Jordan,2016-2017,Adelaide Strikers,England,134.2,Medium
T Kelly,2021-2024,Adelaide Strikers,Adelaide Strikers,118.2,
HP Kingston,2015-2015,Adelaide Strikers,Adelaide Strikers,161.1,Medium
M Klinger,2011-2014,Adelaide Strikers,Australia,122.6,
B Laughlin,2014-2019,Adelaide Strikers,Australia,86.4,Medium
TL Lawford,2014-2015,Adelaide Strikers,Adelaide Strikers,104.5,Medium
JS Lehmann,2016-2019,Adelaide Strikers,Adelaide Strikers,109.6,Orthodox
TP Ludeman,2012-2017,Adelaide Strikers,Adelaide Strikers,121.7,
CA Lynn,2022-2025,Adelaide Strikers,Australia,143.8,Orthodox
NM Lyon,2011-2013,Adelaide Strikers,Australia,85.7,Offbreak
BE McGain,2011-2012,Adelaide Strikers,Adelaide Strikers,0.0,Legbreak
BAD Manenti,2022-2024,Adelaide Strikers,Italy,101.0,Offbreak
HJ Manenti,2025-2025,Adelaide Strikers,Italy,115.0,Medium
JM Muirhead,2012-2012,Adelaide Strikers,Australia,107.1,Legbreak
MG Neser,2012-2021,Adelaide Strikers,Brisbane Heat,128.0,Medium
HJ Nielsen,2018-2024,Adelaide Strikers,Adelaide Strikers,119.4,Offbreak
BS Oakley,2013-2013,Adelaide Strikers,Adelaide Strikers,,Medium
AW O'Brien,2011-2012,Adelaide Strikers,Adelaide Strikers,95.3,Orthodox
LN O'Connor,2016-2021,Adelaide Strikers,Adelaide Strikers,29.2,Legbreak
J Overton,2023-2025,Adelaide Strikers,England,157.5,Fast
DA Payne,2023-2024,Adelaide Strikers,Perth Scorchers,114.3,Medium
KA Pollard,2012-2017,Adelaide Strikers,West Indies,149.9,Medium
L Pope,2024-2025,Adelaide Strikers,Sydney Sixers,50.0,Legbreak
OJ Pope,2024-2025,Adelaide Strikers,Adelaide Strikers,131.5,
GD Putland,2012-2016,Adelaide Strikers,Adelaide Strikers,25.0,Medium
AU Rashid,2015-2016,Adelaide Strikers,England,108.0,Legbreak
Rashid Khan,2017-2023,Adelaide Strikers,Afghanistan,142.2,Legbreak
NJ Reardon,2012-2014,Adelaide Strikers,Australia,124.1,Medium
MT Renshaw,2020-2022,Adelaide Strikers,Brisbane Heat,132.9,Offbreak
KW Richardson,2011-2016,Adelaide Strikers,Australia,111.9,Medium
AI Ross,2014-2025,Adelaide Strikers,Adelaide Strikers,126.8,Offbreak
