Player Name,Role,Team
Alex Carey,Wicketkeeper Batter,Adelaide Strikers
Travis Head,Top order Batter,Adelaide Strikers
Thomas Kelly,Middle order Batter,Adelaide Strikers
Chris Lynn,Batter,Adelaide Strikers
Harry Nielsen,Wicketkeeper Batter,Adelaide Strikers
Ollie Pope,Middle order Batter,Adelaide Strikers
Alex Ross,Middle order Batter,Adelaide Strikers
D'Arcy Short,Opening Batter,Adelaide Strikers
Matthew Short,Top order Batter,Adelaide Strikers
Jake Weatherald,Top order Batter,Adelaide Strikers
Fabian Allen,Bowling Allrounder,Adelaide Strikers
James Bazley,Allrounder,Adelaide Strikers
Jamie Overton,Bowling Allrounder,Adelaide Strikers
Cameron Boyce,Bowler,Adelaide Strikers
Jordan Buckingham,Bowler,Adelaide Strikers
Brendan Doggett,Bowler,Adelaide Strikers
Lloyd Pope,Bowler,Adelaide Strikers
Henry Thornton,Bowler,Adelaide Strikers
Harry Manenti,,Adelaide Strikers
Tom Alsop,Wicketkeeper Batter,Brisbane Heat
Max Bryant,Batter,Brisbane Heat
Daniel Drew,Middle order Batter,Brisbane Heat
Usman Khawaja,Top order Batter,Brisbane Heat
Marnus Labuschagne,Batter,Brisbane Heat
Nathan McSweeney,Top order Batter,Brisbane Heat
Colin Munro,Opening Batter,Brisbane Heat
Jimmy Peirson,Wicketkeeper,Brisbane Heat
Matt Renshaw,Batter,Brisbane Heat
Michael Neser,Bowling Allrounder,Brisbane Heat
Paul Walter,Allrounder,Brisbane Heat
Xavier Bartlett,Bowler,Brisbane Heat
Spencer Johnson,Bowler,Brisbane Heat
Matthew Kuhnemann,Bowler,Brisbane Heat
Will Prestwidge,Bowler,Brisbane Heat
Mitchell Swepson,Bowler,Brisbane Heat
Callum Vidler,Bowler,Brisbane Heat
Jack Wood,Bowler,Brisbane Heat
Tom Whitney,,Brisbane Heat
Tim David,Middle order Batter,Hobart Hurricanes
Jake Doran,Wicketkeeper Batter,Hobart Hurricanes
Shai Hope,Wicketkeeper Batter,Hobart Hurricanes
Caleb Jewell,Batter,Hobart Hurricanes
Ben McDermott,Wicketkeeper Batter,Hobart Hurricanes
Mitchell Owen,Middle order Batter,Hobart Hurricanes
Matthew Wade,Wicketkeeper Batter,Hobart Hurricanes
Charlie Wakim,Top order Batter,Hobart Hurricanes
Macalister Wright,Middle order Batter,Hobart Hurricanes
Rishad Hossain,Allrounder,Hobart Hurricanes
Iain Carlisle,Bowler,Hobart Hurricanes
Nikhil Chaudhary,Bowler,Hobart Hurricanes
Patrick Dooley,Bowler,Hobart Hurricanes
Nathan Ellis,Bowler,Hobart Hurricanes
Cameron Gannon,Bowler,Hobart Hurricanes
Peter Hatzoglou,Bowler,Hobart Hurricanes
Chris Jordan,Bowler,Hobart Hurricanes
Riley Meredith,Bowler,Hobart Hurricanes
Billy Stanlake,Bowler,Hobart Hurricanes
Josh Brown,Batter,Melbourne Renegades
Laurie Evans,Middle order Batter,Melbourne Renegades
Jake Fraser-McGurk,Batter,Melbourne Renegades
Mackenzie Harvey,Top order Batter,Melbourne Renegades
Tawanda Muyeye,Middle order Batter,Melbourne Renegades
Tim Seifert,Wicketkeeper Batter,Melbourne Renegades
Jonathan Wells,Middle order Batter,Melbourne Renegades
Jacob Bethell,Batting Allrounder,Melbourne Renegades
Harry Dixon,Allrounder,Melbourne Renegades
Oliver Peake,Batting Allrounder,Melbourne Renegades
Tom Rogers,Bowling Allrounder,Melbourne Renegades
Will Sutherland,Allrounder,Melbourne Renegades
Hassan Khan,Bowler,Melbourne Renegades
Nathan Lyon,Bowler,Melbourne Renegades
Fergus O'Neill,Bowler,Melbourne Renegades
Kane Richardson,Bowler,Melbourne Renegades
Gurinder Sandhu,Bowler,Melbourne Renegades
Adam Zampa,Bowler,Melbourne Renegades
