Player,Span,Team
WA Agar,2017-2023,Adelaide Strikers
FA Allen,2024-2024,Adelaide Strikers
TD Andrews,2016-2017,Adelaide Strikers
JJ Bazley,2023-2025,Adelaide Strikers
AC Blizzard,2011-2012,Adelaide Strikers
CJ Borgas,2011-2012,Adelaide Strikers
J Botha,2011-2015,Adelaide Strikers
CJ Boyce,2012-2025,Adelaide Strikers
DR Briggs,2020-2021,Adelaide Strikers
JS Buckingham,2025-2025,Adelaide Strikers
AT Carey,2017-2025,Adelaide Strikers
IA Cockbain,2022-2022,Adelaide Strikers
HNA Conway,2019-2023,Adelaide Strikers
TLW Cooper,2011-2012,Adelaide Strikers
AJ Crosthwaite,2011-2012,Adelaide Strikers
JR Dean,2013-2018,Adelaide Strikers
C de Grandhomme,2022-2023,Adelaide Strikers
B Doggett,2023-2025,Adelaide Strikers
TP Doropoulos,2012-2013,Adelaide Strikers
BG Drew,2012-2012,Adelaide Strikers
DR Drew,2021-2021,Adelaide Strikers
BR Dunk,2016-2017,Adelaide Strikers
Fawad Ahmed,2021-2022,Adelaide Strikers
CJ Ferguson,2011-2014,Adelaide Strikers
JEC Franklin,2012-2012,Adelaide Strikers
GHS Garton,2021-2021,Adelaide Strikers
RJ Gibson,2020-2023,Adelaide Strikers
AD Hales,2013-2014,Adelaide Strikers
DJ Harris,2011-2012,Adelaide Strikers
L Haskett,2025-2025,Adelaide Strikers
TM Head,2013-2023,Adelaide Strikers
BJ Hodge,2014-2017,Adelaide Strikers
JM Holland,2014-2016,Adelaide Strikers
AJ Hose,2022-2024,Adelaide Strikers
PJ Hughes,2012-2014,Adelaide Strikers
HJ Hunt,2022-2023,Adelaide Strikers
CA Ingram,2017-2019,Adelaide Strikers
DPMD Jayawardene,2015-2016,Adelaide Strikers
MJ Johnston,2012-2012,Adelaide Strikers
CJ Jordan,2016-2017,Adelaide Strikers
T Kelly,2021-2024,Adelaide Strikers
HP Kingston,2015-2015,Adelaide Strikers
M Klinger,2011-2014,Adelaide Strikers
B Laughlin,2014-2019,Adelaide Strikers
TL Lawford,2014-2015,Adelaide Strikers
JS Lehmann,2016-2019,Adelaide Strikers
TP Ludeman,2012-2017,Adelaide Strikers
CA Lynn,2022-2025,Adelaide Strikers
NM Lyon,2011-2013,Adelaide Strikers
BE McGain,2011-2012,Adelaide Strikers
BAD Manenti,2022-2024,Adelaide Strikers
HJ Manenti,2025-2025,Adelaide Strikers
JM Muirhead,2012-2012,Adelaide Strikers
MG Neser,2012-2021,Adelaide Strikers
HJ Nielsen,2018-2024,Adelaide Strikers
BS Oakley,2013-2013,Adelaide Strikers
AW O'Brien,2011-2012,Adelaide Strikers
LN O'Connor,2016-2021,Adelaide Strikers
J Overton,2023-2025,Adelaide Strikers
DA Payne,2023-2024,Adelaide Strikers
KA Pollard,2012-2017,Adelaide Strikers
L Pope,2024-2025,Adelaide Strikers
OJ Pope,2024-2025,Adelaide Strikers
GD Putland,2012-2016,Adelaide Strikers
AU Rashid,2015-2016,Adelaide Strikers
Rashid Khan,2017-2023,Adelaide Strikers
NJ Reardon,2012-2014,Adelaide Strikers
MT Renshaw,2020-2022,Adelaide Strikers
KW Richardson,2011-2016,Adelaide Strikers
AI Ross,2014-2025,Adelaide Strikers
Saeed Ajmal,2012-2012,Adelaide Strikers
DR Salpietro,2012-2012,Adelaide Strikers
PD Salt,2019-2021,Adelaide Strikers
L Scott,2020-2025,Adelaide Strikers
Shakib Al Hasan,2014-2014,Adelaide Strikers
DJM Short,2023-2025,Adelaide Strikers
MW Short,2018-2025,Adelaide Strikers
PM Siddle,2017-2023,Adelaide Strikers
CJ Simmons,2014-2015,Adelaide Strikers
JD Smith,2012-2012,Adelaide Strikers
KR Smith,2015-2017,Adelaide Strikers
IS Sodhi,2017-2017,Adelaide Strikers
B Stanlake,2015-2020,Adelaide Strikers
SW Tait,2012-2015,Adelaide Strikers
RN ten Doeschate,2015-2015,Adelaide Strikers
AC Thomas,2011-2012,Adelaide Strikers
HTRJY Thornton,2022-2025,Adelaide Strikers
C Valente,2018-2021,Adelaide Strikers
J Weatherald,2016-2025,Adelaide Strikers
JW Wells,2017-2022,Adelaide Strikers
GA West,2016-2016,Adelaide Strikers
CL White,2019-2020,Adelaide Strikers
DJ Worrall,2020-2021,Adelaide Strikers
BE Young,2012-2013,Adelaide Strikers
A Zampa,2013-2015,Adelaide Strikers
TB Abell,2021-2021,Brisbane Heat
TP Alsop,2025-2025,Brisbane Heat
S Badree,2015-2017,Brisbane Heat
T Banton,2019-2025,Brisbane Heat
XC Bartlett,2020-2025,Brisbane Heat
JJ Bazley,2020-2023,Brisbane Heat
SW Billings,2022-2024,Brisbane Heat
J Brown,2022-2024,Brisbane Heat
M Bryant,2018-2025,Brisbane Heat
ND Buchanan,2011-2017,Brisbane Heat
JA Burns,2012-2021,Brisbane Heat
DT Christian,2011-2015,Brisbane Heat
