Player,Span,Team,Record Type
WA Agar,2017-2023,Adelaide Strikers,Batting
FA Allen,2024-2024,Adelaide Strikers,Batting
TD Andrews,2016-2017,Adelaide Strikers,Batting
JJ Bazley,2023-2025,Adelaide Strikers,Batting
AC Blizzard,2011-2012,Adelaide Strikers,Batting
CJ Borgas,2011-2012,Adelaide Strikers,Batting
J Botha,2011-2015,Adelaide Strikers,Batting
CJ Boyce,2012-2025,Adelaide Strikers,Batting
DR Briggs,2020-2021,Adelaide Strikers,Batting
JS Buckingham,2025-2025,Adelaide Strikers,Batting
AT Carey,2017-2025,Adelaide Strikers,Batting
IA Cockbain,2022-2022,Adelaide Strikers,Batting
HNA Conway,2019-2023,Adelaide Strikers,Batting
TLW Cooper,2011-2012,Adelaide Strikers,Batting
AJ Crosthwaite,2011-2012,Adelaide Strikers,Batting
JR Dean,2013-2018,Adelaide Strikers,Batting
C de Grandhomme,2022-2023,Adelaide Strikers,Batting
B Doggett,2023-2025,Adelaide Strikers,Batting
TP Doropoulos,2012-2013,Adelaide Strikers,Batting
BG Drew,2012-2012,Adelaide Strikers,Batting
DR Drew,2021-2021,Adelaide Strikers,Batting
BR Dunk,2016-2017,Adelaide Strikers,Batting
Fawad Ahmed,2021-2022,Adelaide Strikers,Batting
CJ Ferguson,2011-2014,Adelaide Strikers,Batting
JEC Franklin,2012-2012,Adelaide Strikers,Batting
GHS Garton,2021-2021,Adelaide Strikers,Batting
RJ Gibson,2020-2023,Adelaide Strikers,Batting
AD Hales,2013-2014,Adelaide Strikers,Batting
DJ Harris,2011-2012,Adelaide Strikers,Batting
L Haskett,2025-2025,Adelaide Strikers,Batting
TM Head,2013-2023,Adelaide Strikers,Batting
BJ Hodge,2014-2017,Adelaide Strikers,Batting
JM Holland,2014-2016,Adelaide Strikers,Batting
AJ Hose,2022-2024,Adelaide Strikers,Batting
PJ Hughes,2012-2014,Adelaide Strikers,Batting
HJ Hunt,2022-2023,Adelaide Strikers,Batting
CA Ingram,2017-2019,Adelaide Strikers,Batting
DPMD Jayawardene,2015-2016,Adelaide Strikers,Batting
MJ Johnston,2012-2012,Adelaide Strikers,Batting
CJ Jordan,2016-2017,Adelaide Strikers,Batting
T Kelly,2021-2024,Adelaide Strikers,Batting
HP Kingston,2015-2015,Adelaide Strikers,Batting
M Klinger,2011-2014,Adelaide Strikers,Batting
B Laughlin,2014-2019,Adelaide Strikers,Batting
TL Lawford,2014-2015,Adelaide Strikers,Batting
JS Lehmann,2016-2019,Adelaide Strikers,Batting
TP Ludeman,2012-2017,Adelaide Strikers,Batting
CA Lynn,2022-2025,Adelaide Strikers,Batting
NM Lyon,2011-2013,Adelaide Strikers,Batting
BE McGain,2011-2012,Adelaide Strikers,Batting
BAD Manenti,2022-2024,Adelaide Strikers,Batting
HJ Manenti,2025-2025,Adelaide Strikers,Batting
JM Muirhead,2012-2012,Adelaide Strikers,Batting
MG Neser,2012-2021,Adelaide Strikers,Batting
HJ Nielsen,2018-2024,Adelaide Strikers,Batting
BS Oakley,2013-2013,Adelaide Strikers,Batting
AW O'Brien,2011-2012,Adelaide Strikers,Batting
LN O'Connor,2016-2021,Adelaide Strikers,Batting
J Overton,2023-2025,Adelaide Strikers,Batting
DA Payne,2023-2024,Adelaide Strikers,Batting
KA Pollard,2012-2017,Adelaide Strikers,Batting
L Pope,2024-2025,Adelaide Strikers,Batting
OJ Pope,2024-2025,Adelaide Strikers,Batting
GD Putland,2012-2016,Adelaide Strikers,Batting
AU Rashid,2015-2016,Adelaide Strikers,Batting
Rashid Khan,2017-2023,Adelaide Strikers,Batting
NJ Reardon,2012-2014,Adelaide Strikers,Batting
MT Renshaw,2020-2022,Adelaide Strikers,Batting
KW Richardson,2011-2016,Adelaide Strikers,Batting
AI Ross,2014-2025,Adelaide Strikers,Batting
Saeed Ajmal,2012-2012,Adelaide Strikers,Batting
DR Salpietro,2012-2012,Adelaide Strikers,Batting
PD Salt,2019-2021,Adelaide Strikers,Batting
L Scott,2020-2025,Adelaide Strikers,Batting
Shakib Al Hasan,2014-2014,Adelaide Strikers,Batting
DJM Short,2023-2025,Adelaide Strikers,Batting
MW Short,2018-2025,Adelaide Strikers,Batting
PM Siddle,2017-2023,Adelaide Strikers,Batting
CJ Simmons,2014-2015,Adelaide Strikers,Batting
JD Smith,2012-2012,Adelaide Strikers,Batting
KR Smith,2015-2017,Adelaide Strikers,Batting
IS Sodhi,2017-2017,Adelaide Strikers,Batting
B Stanlake,2015-2020,Adelaide Strikers,Batting
SW Tait,2012-2015,Adelaide Strikers,Batting
RN ten Doeschate,2015-2015,Adelaide Strikers,Batting
AC Thomas,2011-2012,Adelaide Strikers,Batting
HTRJY Thornton,2022-2025,Adelaide Strikers,Batting
C Valente,2018-2021,Adelaide Strikers,Batting
J Weatherald,2016-2025,Adelaide Strikers,Batting
JW Wells,2017-2022,Adelaide Strikers,Batting
GA West,2016-2016,Adelaide Strikers,Batting
CL White,2019-2020,Adelaide Strikers,Batting
DJ Worrall,2020-2021,Adelaide Strikers,Batting
BE Young,2012-2013,Adelaide Strikers,Batting
A Zampa,2013-2015,Adelaide Strikers,Batting
WA Agar,2017-2023,Adelaide Strikers,Bowling
FA Allen,2024-2024,Adelaide Strikers,Bowling
TD Andrews,2016-2017,Adelaide Strikers,Bowling
JJ Bazley,2023-2025,Adelaide Strikers,Bowling
AC Blizzard,2011-2012,Adelaide Strikers,Bowling
CJ Borgas,2011-2012,Adelaide Strikers,Bowling
J Botha,2011-2015,Adelaide Strikers,Bowling
CJ Boyce,2012-2025,Adelaide Strikers,Bowling
DR Briggs,2020-2021,Adelaide Strikers,Bowling
JS Buckingham,2025-2025,Adelaide Strikers,Bowling
AT Carey,2017-2025,Adelaide Strikers,Bowling
IA Cockbain,2022-2022,Adelaide Strikers,Bowling
HNA Conway,2019-2023,Adelaide Strikers,Bowling
TLW Cooper,2011-2012,Adelaide Strikers,Bowling
AJ Crosthwaite,2011-2012,Adelaide Strikers,Bowling
JR Dean,2013-2018,Adelaide Strikers,Bowling
C de Grandhomme,2022-2023,Adelaide Strikers,Bowling
B Doggett,2023-2025,Adelaide Strikers,Bowling
TP Doropoulos,2012-2013,Adelaide Strikers,Bowling
BG Drew,2012-2012,Adelaide Strikers,Bowling
DR Drew,2021-2021,Adelaide Strikers,Bowling
BR Dunk,2016-2017,Adelaide Strikers,Bowling
Fawad Ahmed,2021-2022,Adelaide Strikers,Bowling
CJ Ferguson,2011-2014,Adelaide Strikers,Bowling
JEC Franklin,2012-2012,Adelaide Strikers,Bowling
GHS Garton,2021-2021,Adelaide Strikers,Bowling
