Player,Span,Team,Record Type
Adhitya Shetty,2024-2024,Desert Vipers,Batting
Ali Khan,2023-2025,Desert Vipers,Batting
FA Allen,2024-2024,Desert Vipers,Batting
KIC Asalanka,2023-2025,Desert Vipers,Batting
RS Bopara,2024-2024,Desert Vipers,Batting
RL Chase,2025-2025,Desert Vipers,Batting
JM Clarke,2023-2025,Desert Vipers,Batting
M de Lange,2023-2024,Desert Vipers,Batting
DM de Silva,2023-2023,Desert Vipers,Batting
C Esterhuizen,2023-2023,Desert Vipers,Batting
LJ Evans,2024-2025,Desert Vipers,Batting
Fahad Nawaz,2023-2023,Desert Vipers,Batting
AGS Gous,2024-2025,Desert Vipers,Batting
SR Hain,2024-2024,Desert Vipers,Batting
T Hinds,2025-2025,Desert Vipers,Batting
JO Holder,2025-2025,Desert Vipers,Batting
AJ Hosein,2023-2023,Desert Vipers,Batting
Ibrar Ahmad,2025-2025,Desert Vipers,Batting
Imad Wasim,2024-2024,Desert Vipers,Batting
CA Ingram,2023-2023,Desert Vipers,Batting
S Kalyan,2024-2024,Desert Vipers,Batting
BA King,2023-2023,Desert Vipers,Batting
CBRLS Kumara,2023-2023,Desert Vipers,Batting
K Lewis,2023-2023,Desert Vipers,Batting
JB Lintott,2024-2024,Desert Vipers,Batting
JB Little,2024-2024,Desert Vipers,Batting
Matiullah Khan,2023-2024,Desert Vipers,Batting
KR Mayers,2025-2025,Desert Vipers,Batting
G Motie,2025-2025,Desert Vipers,Batting
SP Narine,2023-2025,Desert Vipers,Batting
MS Pepper,2024-2025,Desert Vipers,Batting
R Rampaul,2023-2023,Desert Vipers,Batting
RA Reifer,2023-2023,Desert Vipers,Batting
JJ Roy,2024-2024,Desert Vipers,Batting
AD Russell,2023-2025,Desert Vipers,Batting
Sabir Ali,2023-2024,Desert Vipers,Batting
PD Salt,2025-2025,Desert Vipers,Batting
Shahid Bhutta,2025-2025,Desert Vipers,Batting
A Sharafu,2024-2025,Desert Vipers,Batting
PR Stirling,2023-2023,Desert Vipers,Batting
V Viyaskanth,2025-2025,Desert Vipers,Batting
DJ Willey,2024-2025,Desert Vipers,Batting
Zawar Farid,2023-2023,Desert Vipers,Batting
Ali Naseer,2023-2025,Dubai Capitals,Batting
Aryan Lakra,2024-2024,Dubai Capitals,Batting
AAP Atkinson,2023-2023,Dubai Capitals,Batting
Azam Khan,2024-2025,Dubai Capitals,Batting
SW Billings,2023-2023,Dubai Capitals,Batting
LD Chandimal,2024-2024,Dubai Capitals,Batting
SS Cottrell,2023-2024,Dubai Capitals,Batting
SM Curran,2024-2025,Dubai Capitals,Batting
TK Curran,2023-2023,Dubai Capitals,Batting
BFW de Leede,2024-2024,Dubai Capitals,Batting
Fakhar Zaman,2025-2025,Dubai Capitals,Batting
LH Ferguson,2025-2025,Dubai Capitals,Batting
AD Hales,2023-2025,Dubai Capitals,Batting
PW Hasaranga,2023-2025,Dubai Capitals,Batting
MDE Holden,2025-2025,Dubai Capitals,Batting
AJ Hose,2024-2025,Dubai Capitals,Batting
BAC Howell,2023-2023,Dubai Capitals,Batting
MA Jones,2024-2025,Dubai Capitals,Batting
Khuzaima Tanveer,2025-2025,Dubai Capitals,Batting
DW Lawrence,2024-2025,Dubai Capitals,Batting
JB Lintott,2023-2023,Dubai Capitals,Batting
A Lyth,2023-2023,Dubai Capitals,Batting
TS Mills,2023-2024,Dubai Capitals,Batting
Mohammad Amir,2024-2025,Dubai Capitals,Batting
C Munro,2023-2024,Dubai Capitals,Batting
D Parashar,2025-2025,Dubai Capitals,Batting
M Pathirana,2023-2024,Dubai Capitals,Batting
DA Payne,2025-2025,Dubai Capitals,Batting
Rahmanullah Gurbaz,2025-2025,Dubai Capitals,Batting
Rohan Mustafa,2023-2024,Dubai Capitals,Batting
SE Rutherford,2023-2025,Dubai Capitals,Batting
PD Salt,2024-2024,Dubai Capitals,Batting
Shadab Khan,2024-2024,Dubai Capitals,Batting
Shaheen Shah Afridi,2024-2024,Dubai Capitals,Batting
Shiraz Ahmed,2023-2023,Dubai Capitals,Batting
NA Sowter,2024-2025,Dubai Capitals,Batting
T Suri,2024-2025,Dubai Capitals,Batting
MRJ Watt,2023-2023,Dubai Capitals,Batting
L Wood,2023-2025,Dubai Capitals,Batting
TB Abell,2024-2024,Gulf Giants,Batting
Akif Raja,2023-2025,Gulf Giants,Batting
FA Allen,2023-2023,Gulf Giants,Batting
JT Ball,2023-2023,Gulf Giants,Batting
T Banton,2024-2024,Gulf Giants,Batting
SW Billings,2024-2025,Gulf Giants,Batting
RS Bopara,2023-2023,Gulf Giants,Batting
PVD Chameera,2024-2025,Gulf Giants,Batting
Chirag Suri,2023-2023,Gulf Giants,Batting
R Chopra,2024-2024,Gulf Giants,Batting
N Dickwella,2023-2023,Gulf Giants,Batting
BR Dunk,2024-2025,Gulf Giants,Batting
JL du Plooy,2024-2024,Gulf Giants,Batting
Farhan Khan,2025-2025,Gulf Giants,Batting
J Fraser-McGurk,2024-2024,Gulf Giants,Batting
Gulbadin Naib,2025-2025,Gulf Giants,Batting
Haider Ali,2024-2025,Gulf Giants,Batting
Hazratullah Zazai,2023-2023,Gulf Giants,Batting
Hazrat Luqman,2023-2023,Gulf Giants,Batting
MDE Holden,2024-2024,Gulf Giants,Batting
JO Holder,2024-2024,Gulf Giants,Batting
SD Hope,2025-2025,Gulf Giants,Batting
C Karunaratne,2023-2023,Gulf Giants,Batting
Khalid Shah,2025-2025,Gulf Giants,Batting
FJ Klaassen,2023-2023,Gulf Giants,Batting
SC Kuggeleijn,2024-2025,Gulf Giants,Batting
DW Lawrence,2023-2023,Gulf Giants,Batting
OC McCoy,2025-2025,Gulf Giants,Batting
B McMullen,2025-2025,Gulf Giants,Batting
Mujeeb Ur Rahman,2023-2023,Gulf Giants,Batting
HG Munsey,2023-2023,Gulf Giants,Batting
Najibullah Zadran,2025-2025,Gulf Giants,Batting
R Ngarava,2024-2024,Gulf Giants,Batting
YK Pathan,2023-2023,Gulf Giants,Batting
R Powell,2023-2025,Gulf Giants,Batting
Qais Ahmad,2025-2025,Gulf Giants,Batting
Rahmanullah Gurbaz,2024-2024,Gulf Giants,Batting
PBB Rajapaksa,2023-2023,Gulf Giants,Batting
KW Richardson,2024-2024,Gulf Giants,Batting
JE Root,2023-2023,Gulf Giants,Batting
AM Rossington,2025-2025,Gulf Giants,Batting
MD Shanaka,2023-2025,Gulf Giants,Batting
Sikandar Raza,2023-2025,Gulf Giants,Batting
OP Stone,2024-2025,Gulf Giants,Batting
RJW Topley,2023-2023,Gulf Giants,Batting
I Udana,2023-2023,Gulf Giants,Batting
RV Uthappa,2023-2023,Gulf Giants,Batting
RE van der Merwe,2024-2024,Gulf Giants,Batting
PA van Meekeren,2024-2024,Gulf Giants,Batting
DA Warner,2024-2025,Gulf Giants,Batting
Zahir Khan,2024-2025,Gulf Giants,Batting
A Zampa,2023-2023,Gulf Giants,Batting
Aayan Afzal Khan,2023-2025,MI Emirates,Batting
MR Adair,2025-2025,MI Emirates,Batting
Rehan Ahmed,2023-2025,MI Emirates,Batting
TP Alsop,2025-2025,MI Emirates,Batting
T Banton,2023-2023,MI Emirates,Batting
CR Brathwaite,2023-2024,MI Emirates,Batting
JM Cox,2024-2025,MI Emirates,Batting
TK Curran,2025-2025,MI Emirates,Batting
TH David,2025-2025,MI Emirates,Batting
LA Dawson,2023-2024,MI Emirates,Batting
C de Grandhomme,2023-2023,MI Emirates,Batting
DC Drakes,2023-2025,MI Emirates,Batting
MG Erasmus,2023-2025,MI Emirates,Batting
RJ Gleeson,2023-2024,MI Emirates,Batting
TG Helm,2023-2023,MI Emirates,Batting
MADI Hemantha,2025-2025,MI Emirates,Batting
SO Hetmyer,2023-2025,MI Emirates,Batting
Ibrahim Zadran,2025-2025,MI Emirates,Batting
CJ Jordan,2023-2025,MI Emirates,Batting
Karim Janat,2024-2024,MI Emirates,Batting
CA Lynn,2023-2024,MI Emirates,Batting
A Lyth,2025-2025,MI Emirates,Batting
TS Mills,2025-2025,MI Emirates,Batting
Mujeeb Ur Rahman,2024-2024,MI Emirates,Batting
B Muzarabani,2024-2025,MI Emirates,Batting
J Overton,2024-2024,MI Emirates,Batting
OJ Pope,2023-2023,MI Emirates,Batting
Qais Ahmad,2023-2023,MI Emirates,Batting
OG Robinson,2025-2025,MI Emirates,Batting
Saghir Khan,2025-2025,MI Emirates,Batting
SM Sharma,2023-2023,MI Emirates,Batting
JL Smith,2024-2024,MI Emirates,Batting
Usman Khan,2024-2024,MI Emirates,Batting
Uzair Khan,2025-2025,MI Emirates,Batting
AC Valthapa,2023-2023,MI Emirates,Batting
JM Vince,2023-2025,MI Emirates,Batting
Wahidullah Zadran,2025-2025,MI Emirates,Batting
D Wiese,2023-2023,MI Emirates,Batting
DJ Worrall,2024-2025,MI Emirates,Batting
Zuhaib Zubair,2024-2025,MI Emirates,Batting
CJ Anderson,2024-2024,Sharjah Warriors,Batting
V Aravind,2023-2023,Sharjah Warriors,Batting
Asif Khan,2024-2024,Sharjah Warriors,Batting
T Banton,2025-2025,Sharjah Warriors,Batting
Basil Hameed,2023-2023,Sharjah Warriors,Batting
CG Benjamin,2024-2024,Sharjah Warriors,Batting
TA Boult,2023-2024,Sharjah Warriors,Batting
DJ Bravo,2023-2024,Sharjah Warriors,Batting
TH David,2024-2024,Sharjah Warriors,Batting
BFW de Leede,2023-2023,Sharjah Warriors,Batting
Fazalhaq Farooqi,2023-2025,Sharjah Warriors,Batting
ADS Fletcher,2023-2025,Sharjah Warriors,Batting
AM Ghazanfar,2025-2025,Sharjah Warriors,Batting
AJ Hosein,2024-2025,Sharjah Warriors,Batting
Imran Tahir,2023-2023,Sharjah Warriors,Batting
WG Jacks,2025-2025,Sharjah Warriors,Batting
BJ Jacobs,2025-2025,Sharjah Warriors,Batting
AS Joseph,2025-2025,Sharjah Warriors,Batting
DR Mousley,2023-2025,Sharjah Warriors,Batting
Muhammad Rohid,2024-2025,Sharjah Warriors,Batting
Muhammad Waseem,2023-2025,Sharjah Warriors,Batting
Najibullah Zadran,2023-2023,Sharjah Warriors,Batting
C Overton,2023-2023,Sharjah Warriors,Batting
SR Patel,2023-2023,Sharjah Warriors,Batting
MDKJ Perera,2024-2025,Sharjah Warriors,Batting
KA Pollard,2023-2025,Sharjah Warriors,Batting
N Pooran,2023-2025,Sharjah Warriors,Batting
PBB Rajapaksa,2024-2024,Sharjah Warriors,Batting
Rashid Khan,2023-2023,Sharjah Warriors,Batting
AT Rayudu,2024-2024,Sharjah Warriors,Batting
R Shepherd,2025-2025,Sharjah Warriors,Batting
WCF Smeed,2023-2024,Sharjah Warriors,Batting
OF Smith,2024-2024,Sharjah Warriors,Batting
JA Thompson,2023-2024,Sharjah Warriors,Batting
