Player,Span,Team,Record Type
C Brewer,2023-2023,Birmingham Phoenix Women,Batting
EL Arlott,2021-2025,Birmingham Phoenix Women,Batting
HL Baker,2023-2025,Birmingham Phoenix Women,Batting
SW Bates,2024-2024,Birmingham Phoenix Women,Batting
PJ Brett,2025-2025,Birmingham Phoenix Women,Batting
EA Burns,2021-2023,Birmingham Phoenix Women,Batting
GM Davies,2021-2022,Birmingham Phoenix Women,Batting
SFM Devine,2022-2024,Birmingham Phoenix Women,Batting
B Ellis,2025-2025,Birmingham Phoenix Women,Batting
GA Elwiss,2021-2022,Birmingham Phoenix Women,Batting
RA Fackrell,2022-2022,Birmingham Phoenix Women,Batting
T Flintoff,2023-2023,Birmingham Phoenix Women,Batting
PA Franklin,2021-2022,Birmingham Phoenix Women,Batting
AJ Freeborn,2023-2023,Birmingham Phoenix Women,Batting
RM Ghosh,2024-2024,Birmingham Phoenix Women,Batting
KL Gordon,2021-2022,Birmingham Phoenix Women,Batting
AE Jones,2021-2025,Birmingham Phoenix Women,Batting
E Jones,2021-2023,Birmingham Phoenix Women,Batting
SL Kalis,2023-2025,Birmingham Phoenix Women,Batting
M Kelly,2021-2025,Birmingham Phoenix Women,Batting
EL Lamb,2025-2025,Birmingham Phoenix Women,Batting
KA Levick,2023-2024,Birmingham Phoenix Women,Batting
A Lister,2025-2025,Birmingham Phoenix Women,Batting
KM Mack,2021-2021,Birmingham Phoenix Women,Batting
AM Maqsood,2021-2023,Birmingham Phoenix Women,Batting
S Molineux,2022-2022,Birmingham Phoenix Women,Batting
C Pavely,2023-2024,Birmingham Phoenix Women,Batting
EA Perry,2022-2025,Birmingham Phoenix Women,Batting
M Schutt,2025-2025,Birmingham Phoenix Women,Batting
Shafali Verma,2021-2021,Birmingham Phoenix Women,Batting
SA Smale,2024-2024,Birmingham Phoenix Women,Batting
MLL Taylor,2025-2025,Birmingham Phoenix Women,Batting
MSL Taylor,2025-2025,Birmingham Phoenix Women,Batting
G Voll,2025-2025,Birmingham Phoenix Women,Batting
FC Wilson,2024-2024,Birmingham Phoenix Women,Batting
IECM Wong,2021-2024,Birmingham Phoenix Women,Batting
C Brewer,2023-2023,Birmingham Phoenix Women,Bowling
EL Arlott,2021-2025,Birmingham Phoenix Women,Bowling
HL Baker,2023-2025,Birmingham Phoenix Women,Bowling
SW Bates,2024-2024,Birmingham Phoenix Women,Bowling
PJ Brett,2025-2025,Birmingham Phoenix Women,Bowling
EA Burns,2021-2023,Birmingham Phoenix Women,Bowling
GM Davies,2021-2022,Birmingham Phoenix Women,Bowling
SFM Devine,2022-2024,Birmingham Phoenix Women,Bowling
B Ellis,2025-2025,Birmingham Phoenix Women,Bowling
GA Elwiss,2021-2022,Birmingham Phoenix Women,Bowling
RA Fackrell,2022-2022,Birmingham Phoenix Women,Bowling
T Flintoff,2023-2023,Birmingham Phoenix Women,Bowling
PA Franklin,2021-2022,Birmingham Phoenix Women,Bowling
AJ Freeborn,2023-2023,Birmingham Phoenix Women,Bowling
RM Ghosh,2024-2024,Birmingham Phoenix Women,Bowling
KL Gordon,2021-2022,Birmingham Phoenix Women,Bowling
AE Jones,2021-2025,Birmingham Phoenix Women,Bowling
E Jones,2021-2023,Birmingham Phoenix Women,Bowling
SL Kalis,2023-2025,Birmingham Phoenix Women,Bowling
M Kelly,2021-2025,Birmingham Phoenix Women,Bowling
EL Lamb,2025-2025,Birmingham Phoenix Women,Bowling
KA Levick,2023-2024,Birmingham Phoenix Women,Bowling
A Lister,2025-2025,Birmingham Phoenix Women,Bowling
KM Mack,2021-2021,Birmingham Phoenix Women,Bowling
AM Maqsood,2021-2023,Birmingham Phoenix Women,Bowling
S Molineux,2022-2022,Birmingham Phoenix Women,Bowling
C Pavely,2023-2024,Birmingham Phoenix Women,Bowling
EA Perry,2022-2025,Birmingham Phoenix Women,Bowling
M Schutt,2025-2025,Birmingham Phoenix Women,Bowling
Shafali Verma,2021-2021,Birmingham Phoenix Women,Bowling
SA Smale,2024-2024,Birmingham Phoenix Women,Bowling
MLL Taylor,2025-2025,Birmingham Phoenix Women,Bowling
MSL Taylor,2025-2025,Birmingham Phoenix Women,Bowling
G Voll,2025-2025,Birmingham Phoenix Women,Bowling
FC Wilson,2024-2024,Birmingham Phoenix Women,Bowling
IECM Wong,2021-2024,Birmingham Phoenix Women,Bowling
GEB Boyce,2021-2021,London Spirit Women,Batting
N Brown,2021-2021,London Spirit Women,Batting
KE Bryce,2023-2025,London Spirit Women,Batting
