Player,Span,Team,Record Type,StartYear,EndYear
Abdur Razzak,2008-2008,Chennai Super Kings,Batting,2008,2008
J Arunkumar,2008-2008,Chennai Super Kings,Batting,2008,2008
S Chanderpaul,2008-2008,Chennai Super Kings,Batting,2008,2008
B Chipli,2008-2008,Chennai Super Kings,Batting,2008,2008
SB Joshi,2008-2008,Chennai Super Kings,Batting,2008,2008
Misbah-ul-Haq,2008-2008,Chennai Super Kings,Batting,2008,2008
AA Noffke,2008-2008,Chennai Super Kings,Batting,2008,2008
DT Patil,2008-2008,Chennai Super Kings,Batting,2008,2008
Abdur Razzak,2008-2008,Chennai Super Kings,Bowling,2008,2008
J Arunkumar,2008-2008,Chennai Super Kings,Bowling,2008,2008
S Chanderpaul,2008-2008,Chennai Super Kings,Bowling,2008,2008
B Chipli,2008-2008,Chennai Super Kings,Bowling,2008,2008
SB Joshi,2008-2008,Chennai Super Kings,Bowling,2008,2008
Misbah-ul-Haq,2008-2008,Chennai Super Kings,Bowling,2008,2008
AA Noffke,2008-2008,Chennai Super Kings,Bowling,2008,2008
DT Patil,2008-2008,Chennai Super Kings,Bowling,2008,2008
W Jaffer,2008-2009,Chennai Super Kings,Batting,2008,2009
W Jaffer,2008-2009,Chennai Super Kings,Bowling,2008,2009
B Akhil,2008-2010,Chennai Super Kings,Batting,2008,2010
MV Boucher,2008-2010,Chennai Super Kings,Batting,2008,2010
R Dravid,2008-2010,Chennai Super Kings,Batting,2008,2010
SP Goswami,2008-2010,Chennai Super Kings,Batting,2008,2010
JH Kallis,2008-2010,Chennai Super Kings,Batting,2008,2010
P Kumar,2008-2010,Chennai Super Kings,Batting,2008,2010
A Kumble,2008-2010,Chennai Super Kings,Batting,2008,2010
LRPL Taylor,2008-2010,Chennai Super Kings,Batting,2008,2010
CL White,2008-2010,Chennai Super Kings,Batting,2008,2010
B Akhil,2008-2010,Chennai Super Kings,Bowling,2008,2010
MV Boucher,2008-2010,Chennai Super Kings,Bowling,2008,2010
R Dravid,2008-2010,Chennai Super Kings,Bowling,2008,2010
SP Goswami,2008-2010,Chennai Super Kings,Bowling,2008,2010
JH Kallis,2008-2010,Chennai Super Kings,Bowling,2008,2010
P Kumar,2008-2010,Chennai Super Kings,Bowling,2008,2010
A Kumble,2008-2010,Chennai Super Kings,Bowling,2008,2010
LRPL Taylor,2008-2010,Chennai Super Kings,Bowling,2008,2010
CL White,2008-2010,Chennai Super Kings,Bowling,2008,2010
Z Khan,2008-2013,Chennai Super Kings,Batting,2008,2013
R Vinay Kumar,2008-2013,Chennai Super Kings,Batting,2008,2013
