Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,Role,
Birmingham Phoenix,AF Milne,2021-2024,477,22,11.35,0,226,'5/11,24.02,2,51,0,-12.66,Bowler,
Birmingham Phoenix,AHT Donald,2024-2024,1340,84,19.7,0,0,0,0,0,42,0,0,Batter,
Birmingham Phoenix,BAC Howell,2021-2024,3070,62*,22.74,0,231,'5/18,23,1,96,0,-0.26,All-Rounder,
Birmingham Phoenix,BJ Dwarshuis,2022-2022,845,66,18.36,0,183,'5/21,23.36,2,34,0,-4.99,All-Rounder,
Birmingham Phoenix,BL D'Oliveira,2022-2022,2375,71,23.98,0,83,'4/11,29.77,0,43,0,-5.78,All-Rounder,
Birmingham Phoenix,BM Duckett,2023-2024,5159,96,30.89,0,0,0,0,0,98,2,0,Batter,
Birmingham Phoenix,CB Cooke,2021-2021,2797,113*,23.5,1,0,0,0,0,98,17,0,Batter,
Birmingham Phoenix,CG Benjamin,2021-2023,962,68*,20.46,0,0,0,0,0,32,1,0,Batter,
Birmingham Phoenix,CP Wood,2024-2024,554,31,11.54,0,214,'5/32,26.41,1,47,0,-14.86,All-Rounder,
Birmingham Phoenix,CR Woakes,2023-2023,1031,57*,20.21,0,177,'4/21,25.24,0,64,0,-5.02,All-Rounder,
Birmingham Phoenix,DG Bedingham,2021-2021,1624,78,21.36,0,0,0,0,0,18,1,0,Batter,
Birmingham Phoenix,DJ Bell-Drummond,2021-2021,4722,112*,30.86,2,5,'2/19,38.2,0,53,0,-7.33,All-Rounder,
Birmingham Phoenix,DR Mousley,2022-2024,1185,68,20.78,0,57,'4/28,19.87,0,44,0,0.91,All-Rounder,
Birmingham Phoenix,DY Pennington,2021-2021,68,10*,7.55,0,55,'4/9,28.76,0,19,0,-21.2,Bowler,
Birmingham Phoenix,FH Allen,2021-2021,4029,137,28.37,3,0,0,0,0,68,2,0,Batter,
Birmingham Phoenix,HJH Brookes,2022-2022,195,31*,11.47,0,63,'5/25,27.09,1,14,0,-15.62,Bowler,
Birmingham Phoenix,Imran Tahir,2021-2022,377,23,8.56,0,533,'5/23,19.95,4,104,0,-11.38,Bowler,
Birmingham Phoenix,JG Bethell,2023-2024,1194,87,24.87,0,11,'2/5,26.9,0,34,0,-2.03,All-Rounder,
Birmingham Phoenix,JK Fuller,2024-2024,1893,57,20.13,0,173,'6/28,25.84,1,81,0,-5.7,All-Rounder,
Birmingham Phoenix,JL Smith,2023-2024,1382,87,23.42,0,0,0,0,0,48,10,0,Batter,
Birmingham Phoenix,KW Richardson,2022-2023,404,45,11.22,0,240,'4/22,23.45,0,77,0,-12.22,Bowler,
Birmingham Phoenix,LPJ Kimber,2024-2024,539,59*,19.96,0,1,'1/23,97,0,20,0,-77.03,All-Rounder,
Birmingham Phoenix,LS Livingstone,2021-2024,6859,103,27.54,2,130,'4/17,26.45,0,122,0,1.09,All-Rounder,
Birmingham Phoenix,MAH Hammond,2021-2022,2193,80,22.37,0,0,0,0,0,58,0,0,Batter,
Birmingham Phoenix,MM Ali,2021-2024,7140,121*,24.12,3,249,'5/34,24.73,1,117,0,-0.61,All-Rounder,
Birmingham Phoenix,MS Wade,2022-2022,5267,130*,26.73,1,0,0,0,0,150,20,0,Batter,
Birmingham Phoenix,PR Brown,2021-2021,64,10*,8,0,127,'4/21,23.88,0,32,0,-15.88,Bowler,
Birmingham Phoenix,RK Patel,2024-2024,1234,104,23.28,2,0,0,0,0,17,0,0,Batter,
Birmingham Phoenix,SA Abbott,2024-2024,929,110*,11.91,1,250,'5/16,20.88,2,100,0,-8.97,All-Rounder,
Birmingham Phoenix,SG Budinger,2022-2022,303,50,13.17,0,2,'2/21,10.5,0,7,0,2.67,Bowler,
Birmingham Phoenix,Shadab Khan,2023-2023,3263,91,18.33,0,336,'5/28,24.01,1,115,0,-5.68,All-Rounder,
Birmingham Phoenix,T Sangha,2022-2023,36,17*,9,0,68,'4/14,20.01,0,14,0,-11.01,Bowler,
Birmingham Phoenix,TB Abell,2021-2021,3277,101*,30.06,1,2,'1/11,50,0,84,0,-19.93,All-Rounder,
Birmingham Phoenix,TG Helm,2021-2024,275,28*,11.95,0,109,'5/11,27,1,22,0,-15.04,Bowler,
Birmingham Phoenix,TG Southee,2024-2024,921,74,10.96,0,343,'6/16,24.3,4,131,0,-13.34,All-Rounder,
Birmingham Phoenix,WCF Smeed,2021-2023,2626,101*,26.26,1,0,0,0,0,48,0,0,Batter,
London Spirit,AD Russell,2024-2024,9175,121*,26.51,2,474,'5/15,25.53,1,225,0,0.98,All-Rounder,
London Spirit,AM Rossington,2021-2024,3506,95,20.99,0,0,0,0,0,82,33,0,Batter,
London Spirit,BC Cullen,2021-2021,96,20*,9.6,0,53,'4/32,23.13,0,8,0,-13.53,Bowler,
London Spirit,BR McDermott,2022-2022,4571,127,30.67,3,0,0,0,0,103,13,0,Batter,
London Spirit,BTJ Wheal,2021-2022,48,16,6,0,86,'5/38,22.72,1,15,0,-16.72,Bowler,
London Spirit,CP Wood,2021-2023,554,31,11.54,0,214,'5/32,26.41,1,47,0,-14.86,All-Rounder,
London Spirit,D Wiese,2021-2021,4464,79*,23.01,0,324,'5/19,25.82,7,146,0,-2.81,All-Rounder,
London Spirit,DJ Bell-Drummond,2022-2024,4722,112*,30.86,2,5,'2/19,38.2,0,53,0,-7.33,All-Rounder,
London Spirit,DJ Mitchell,2023-2023,5178,88*,31,0,81,'4/32,24.75,0,122,0,6.25,All-Rounder,
London Spirit,DJ Worrall,2023-2024,172,62*,12.28,0,98,'4/23,28.12,0,26,0,-15.83,Bowler,
London Spirit,DW Lawrence,2021-2024,3154,93,24.64,0,57,'4/20,22.63,0,54,0,2,All-Rounder,
London Spirit,EJG Morgan,2021-2022,7780,91,26.02,0,0,0,0,0,160,0,0,Batter,
London Spirit,GJ Maxwell,2022-2022,10425,154*,27.8,7,178,'3/10,30.58,0,239,0,-2.78,All-Rounder,
London Spirit,JA Thompson,2022-2023,1087,74,16.72,0,119,'5/21,24.76,1,40,0,-8.04,All-Rounder,
London Spirit,JB Cracknell,2021-2021,1148,77,22.5,0,0,0,0,0,25,0,0,Batter,
London Spirit,JL Denly,2021-2021,6795,127,26.85,5,50,'4/19,25.98,0,108,0,0.87,All-Rounder,
London Spirit,JP Inglis,2021-2022,3462,118*,30.1,4,0,0,0,0,102,20,0,Batter,
London Spirit,JW Dernbach,2021-2021,194,24*,7.46,0,183,'4/22,26.66,0,41,0,-19.2,Bowler,
London Spirit,KA Pollard,2022-2022,13537,104,31.33,1,326,'4/15,24.95,0,384,0,6.37,All-Rounder,
London Spirit,KK Jennings,2024-2024,2040,108,31.87,1,22,'4/37,28.54,0,22,0,3.32,All-Rounder,
London Spirit,LA Dawson,2022-2024,2817,82,17.94,0,237,'5/17,25.95,1,115,0,-8.01,All-Rounder,
London Spirit,LM Reece,2021-2021,2040,97*,21.93,0,33,'3/33,32.33,0,43,0,-10.39,All-Rounder,
London Spirit,MJJ Critchley,2023-2024,1973,80*,21.44,0,120,'5/28,24.73,1,43,0,-3.28,All-Rounder,
London Spirit,MS Crane,2021-2023,153,19,21.85,0,118,'4/24,23.43,0,29,0,-1.57,Bowler,
London Spirit,MS Pepper,2023-2024,2237,120*,26.63,2,0,0,0,0,36,2,0,Batter,
London Spirit,MS Wade,2023-2023,5267,130*,26.73,1,0,0,0,0,150,20,0,Batter,
London Spirit,Mohammad Amir,2021-2021,431,30,7.18,0,374,'6/17,22.44,2,40,0,-15.25,Bowler,
London Spirit,Mohammad Nabi,2021-2021,6193,89,20.99,0,376,'5/15,24.67,1,208,0,-3.67,All-Rounder,
London Spirit,NT Ellis,2022-2024,477,40,11.09,0,194,'4/6,23.55,0,57,0,-12.46,Bowler,
London Spirit,OJ Pope,2024-2024,1505,99*,27.36,0,0,0,0,0,29,3,0,Batter,
London Spirit,OP Stone,2024-2024,170,22*,6.8,0,109,'4/14,26.65,0,33,0,-19.85,Bowler,
London Spirit,RE van der Merwe,2021-2021,3075,89*,21.35,0,328,'6/20,24.08,2,149,0,-2.73,All-Rounder,
London Spirit,RF Higgins,2024-2024,2095,77*,24.36,0,93,'5/13,25.74,1,39,0,-1.38,All-Rounder,
London Spirit,RJ Gleeson,2024-2024,57,8,5.18,0,129,'5/33,23.76,1,21,0,-18.58,Bowler,
London Spirit,RS Bopara,2021-2024,9486,108,27.65,2,291,'6/16,25.27,1,155,0,2.38,All-Rounder,
London Spirit,SO Hetmyer,2024-2024,5121,100,26.12,1,0,0,0,0,132,0,0,Batter,
London Spirit,TG Southee,2023-2023,921,74,10.96,0,343,'6/16,24.3,4,131,0,-13.34,All-Rounder,
London Spirit,Z Crawley,2021-2023,1859,108*,24.46,1,0,0,0,0,39,0,0,Batter,
Manchester Originals,AD Russell,2022-2022,9175,121*,26.51,2,474,'5/15,25.53,1,225,0,0.98,All-Rounder,
Manchester Originals,AJ Turner,2022-2023,3443,84*,25.31,0,34,'3/20,24.5,0,85,0,0.81,All-Rounder,
Manchester Originals,BA Raine,2023-2023,1391,113,18.54,1,132,'5/21,24.11,1,25,0,-5.56,All-Rounder,
Manchester Originals,C Munro,2021-2021,11223,114*,30.16,5,31,'4/15,32.8,0,131,0,-2.63,All-Rounder,
Manchester Originals,CG Harrison,2021-2023,227,23,10.31,0,53,'5/11,22.45,1,29,0,-12.13,Bowler,
Manchester Originals,CN Ackermann,2021-2022,4311,90*,26.28,0,93,'7/18,27.86,1,91,0,-1.57,All-Rounder,
Manchester Originals,CR Brathwaite,2021-2021,2385,64*,15.69,0,248,'4/14,25.75,0,108,0,-10.05,All-Rounder,
Manchester Originals,DA Douthwaite,2021-2021,630,53,17.02,0,57,'4/23,26.73,0,13,0,-9.7,All-Rounder,
Manchester Originals,FJ Klaassen,2021-2022,85,13,5.66,0,115,'5/19,25.77,1,40,0,-20.1,Bowler,
Manchester Originals,Fazalhaq Farooqi,2024-2024,46,16*,6.57,0,154,'5/9,19.81,4,16,0,-13.24,Bowler,
