Player,Span,Team,Record Type
MP Breetzke,2023-2025,Durban's Super Giants,Batting
CJ Dala,2023-2025,Durban's Super Giants,Batting
A Dananjaya,2023-2023,Durban's Super Giants,Batting
Q de Kock,2023-2025,Durban's Super Giants,Batting
T de Zorzi,2024-2024,Durban's Super Giants,Batting
RJ Gleeson,2024-2024,Durban's Super Giants,Batting
SR Harmer,2023-2023,Durban's Super Giants,Batting
JO Holder,2023-2023,Durban's Super Giants,Batting
C Jonker,2023-2023,Durban's Super Giants,Batting
BA King,2025-2025,Durban's Super Giants,Batting
CJ King,2025-2025,Durban's Super Giants,Batting
H Klaasen,2023-2025,Durban's Super Giants,Batting
BR McDermott,2023-2023,Durban's Super Giants,Batting
KA Maharaj,2023-2025,Durban's Super Giants,Batting
KR Mayers,2023-2024,Durban's Super Giants,Batting
PWA Mulder,2023-2025,Durban's Super Giants,Batting
Naveen-ul-Haq,2024-2025,Durban's Super Giants,Batting
Noor Ahmad,2024-2025,Durban's Super Giants,Batting
B Parsons,2025-2025,Durban's Super Giants,Batting
KMA Paul,2023-2024,Durban's Super Giants,Batting
N Pooran,2024-2024,Durban's Super Giants,Batting
D Pretorius,2023-2025,Durban's Super Giants,Batting
PBB Rajapaksa,2024-2024,Durban's Super Giants,Batting
JF Smith,2025-2025,Durban's Super Giants,Batting
JT Smuts,2024-2025,Durban's Super Giants,Batting
MP Stoinis,2024-2025,Durban's Super Giants,Batting
P Subrayen,2023-2025,Durban's Super Giants,Batting
RJW Topley,2023-2024,Durban's Super Giants,Batting
GC Viljoen,2023-2023,Durban's Super Giants,Batting
DJ Willey,2023-2023,Durban's Super Giants,Batting
KS Williamson,2025-2025,Durban's Super Giants,Batting
CR Woakes,2025-2025,Durban's Super Giants,Batting
MP Breetzke,2023-2025,Durban's Super Giants,Bowling
CJ Dala,2023-2025,Durban's Super Giants,Bowling
A Dananjaya,2023-2023,Durban's Super Giants,Bowling
Q de Kock,2023-2025,Durban's Super Giants,Bowling
T de Zorzi,2024-2024,Durban's Super Giants,Bowling
RJ Gleeson,2024-2024,Durban's Super Giants,Bowling
SR Harmer,2023-2023,Durban's Super Giants,Bowling
JO Holder,2023-2023,Durban's Super Giants,Bowling
C Jonker,2023-2023,Durban's Super Giants,Bowling
BA King,2025-2025,Durban's Super Giants,Bowling
CJ King,2025-2025,Durban's Super Giants,Bowling
H Klaasen,2023-2025,Durban's Super Giants,Bowling
BR McDermott,2023-2023,Durban's Super Giants,Bowling
KA Maharaj,2023-2025,Durban's Super Giants,Bowling
KR Mayers,2023-2024,Durban's Super Giants,Bowling
PWA Mulder,2023-2025,Durban's Super Giants,Bowling
Naveen-ul-Haq,2024-2025,Durban's Super Giants,Bowling
Noor Ahmad,2024-2025,Durban's Super Giants,Bowling
B Parsons,2025-2025,Durban's Super Giants,Bowling
KMA Paul,2023-2024,Durban's Super Giants,Bowling
N Pooran,2024-2024,Durban's Super Giants,Bowling
D Pretorius,2023-2025,Durban's Super Giants,Bowling
PBB Rajapaksa,2024-2024,Durban's Super Giants,Bowling
JF Smith,2025-2025,Durban's Super Giants,Bowling
JT Smuts,2024-2025,Durban's Super Giants,Bowling
MP Stoinis,2024-2025,Durban's Super Giants,Bowling
P Subrayen,2023-2025,Durban's Super Giants,Bowling
RJW Topley,2023-2024,Durban's Super Giants,Bowling
GC Viljoen,2023-2023,Durban's Super Giants,Bowling
DJ Willey,2023-2023,Durban's Super Giants,Bowling
