Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Birmingham Phoenix (Men),England,Joe Clarke,Top order Batter,5918,136,26.18,4,-,-,-,-,91,7,-,144.3
Birmingham Phoenix (Men),England,Aneurin Donald,Batter,1797,85,21.39,0,-,-,-,-,49,0,-,157.1
Birmingham Phoenix (Men),England,Ben Duckett,Top order Batter,5397,96,30.49,0,-,-,-,-,107,2,-,140.6
Birmingham Phoenix (Men),England,Louis Kimber,Middle order Batter,811,59*,19.78,0,8,14-Feb,32.87,0,26,0,-13.09,158.7
Birmingham Phoenix (Men),England,Freddie McCann,Top order Batter,156,48,17.33,0,0,-,-,0,4,0,-,133.3
Birmingham Phoenix (Men),England,Will Smeed,Top order Batter,3371,101*,27.4,1,-,-,-,-,59,0,-,148.7
Birmingham Phoenix (Men),England,Liam Livingstone,Batting Allrounder,7385,103,28.18,2,143,17-Apr,25.76,0,126,0,2.42,144.4
Birmingham Phoenix (Men),Barbados,Jacob Bethell,Batting Allrounder,1538,87,24.03,0,18,5-Feb,26.5,0,44,0,-2.46,141
Birmingham Phoenix (Men),England,Benny Howell,Allrounder,3247,62*,22.39,0,255,18-May,23.12,1,112,0,-0.73,137.3
Birmingham Phoenix (Men),England,Dan Mousley,Batting Allrounder,1596,68,22.47,0,70,19-Apr,21.42,0,56,0,1.05,130.5
Birmingham Phoenix (Men),England,Liam Patterson-White,Bowling Allrounder,217,44*,15.5,0,25,20-Mar,20.64,0,7,0,-5.13,132.3
Birmingham Phoenix (Men),New Zealand,Trent Boult,Bowler,307,23*,10.96,0,329,13-Apr,25.31,0,97,0,-14.34,116.7
Birmingham Phoenix (Men),England,Tom Helm,Bowler,289,28*,11.56,0,129,11-May,26.23,1,23,0,-14.67,100.7
Birmingham Phoenix (Men),New Zealand,Adam Milne,Bowler,498,22,11.06,0,247,11-May,23.54,3,53,0,-12.47,112.8
Birmingham Phoenix (Men),New Zealand,Tim Southee,Bowler,930,74,10.94,0,346,16-Jun,24.57,4,132,0,-13.63,
Birmingham Phoenix (Men),England,Chris Wood,Bowler,568,31,11.13,0,238,May-32,25.93,1,52,0,-14.79,112.9
Birmingham Phoenix (Men),England,Harry Moore,,,,,,,,,,,,,0
London Spirit (Men),New Zealand,Kane Williamson,Top order Batter,7275,101*,31.76,1,30,Mar-33,30.3,0,125,0,1.46,125.3
London Spirit (Men),England,Sean Dickson,Middle order Batter,1625,78,33.16,0,1,9-Jan,9,0,44,0,24.16,140.8
London Spirit (Men),England,Keaton Jennings,Opening Batter,2509,108,30.97,1,22,Apr-37,28.54,0,36,0,2.42,132.7
London Spirit (Men),South Africa,Wayne Madsen,Batter,5406,109*,31.06,2,22,20-Feb,36.81,0,86,0,-5.74,138.4
London Spirit (Men),England,Ollie Pope,Middle order Batter,1720,99*,27.74,0,-,-,-,-,36,3,-,0
London Spirit (Men),England,John Simpson,Wicketkeeper Batter,3163,84*,21.51,0,-,-,-,-,99,31,-,131.1
London Spirit (Men),England,Jamie Smith,Wicketkeeper Batter,1687,87,24.44,0,-,-,-,-,53,10,-,144.4
London Spirit (Men),Australia,Ashton Turner,Middle order Batter,3860,84*,24.9,0,35,20-Mar,25.62,0,96,0,-0.72,140.6
London Spirit (Men),Australia,David Warner,Opening Batter,13595,135*,36.44,8,0,-,-,0,202,0,-,139.9
London Spirit (Men),England,Liam Dawson,Allrounder,2888,82,17.6,0,272,17-May,25.34,1,125,0,-7.73,121.4
London Spirit (Men),England,Dan Douthwaite,Allrounder,856,56,18.21,0,77,22-Apr,26,0,20,0,-7.78,0
London Spirit (Men),Zimbabwe,Ryan Higgins,Allrounder,2348,77*,24.2,0,105,13-May,25.95,1,46,0,-1.74,0
London Spirit (Men),England,Jamie Overton,Bowling Allrounder,1687,83*,20.57,0,133,May-47,27.2,1,95,0,-6.62,157.5
London Spirit (Men),England,Jafer Chohan,Bowler,99,37,8.25,0,39,14-May,29,1,7,0,-20.74,99
London Spirit (Men),England,Richard Gleeson,Bowler,65,8,4.64,0,149,May-33,23.55,1,25,0,-18.9,70.8
London Spirit (Men),England,Olly Stone,Bowler,173,22*,6.65,0,113,14-Apr,27.31,0,37,0,-20.66,89.2
London Spirit (Men),England,Luke Wood,Bowler,419,33*,9.52,0,210,May-50,25.83,1,68,0,-16.31,0
London Spirit (Men),Australia,Daniel Worrall,Bowler,178,62*,11.86,0,104,23-Apr,28.69,0,27,0,-16.82,99.5
Manchester Originals (Men),England,Phil Salt,Wicketkeeper Batter,7880,141*,28.24,4,-,-,-,-,166,14,-,155.8
Manchester Originals (Men),England,Jos Buttler,Wicketkeeper Batter,13507,124,35.63,8,-,-,-,-,288,49,-,146.9
Manchester Originals (Men),England,Matty Hurst,Wicketkeeper Batter,,78,,0,,,,,,,,0
Manchester Originals (Men),South Africa,Heinrich Klaasen,Wicketkeeper Batter,5927,105*,31.19,3,1,12-Jan,68,0,127,34,-36.8,155.2
Manchester Originals (Men),England,Ben McKinney,Opening Batter,161,40,11.5,0,-,-,-,-,9,0,-,104.3
Manchester Originals (Men),England,Tom Aspinwall,Bowling Allrounder,49,18*,12.25,0,19,18-Apr,22.15,0,3,0,-9.9,128.9
Manchester Originals (Men),New Zealand,Mark Chapman,Allrounder,3882,104*,25.88,2,22,22-Mar,29.63,0,76,0,-3.75,
Manchester Originals (Men),England,Scott Currie,Bowling Allrounder,140,26*,14,0,91,24-Apr,19.89,0,28,0,-5.89,
Manchester Originals (Men),England,George Garton,Bowling Allrounder,833,46,14.87,0,98,16-Apr,26.73,0,36,0,-11.85,134.6
Manchester Originals (Men),England,Lewis Gregory,Allrounder,3139,76*,21.06,0,214,24-May,26,1,113,0,-4.93,140.8
Manchester Originals (Men),New Zealand,Rachin Ravindra,Batting Allrounder,1833,70,20.36,0,65,11-Apr,22.04,0,49,0,-1.67,139.7
Manchester Originals (Men),England,James Anderson,Bowler,29,16,5.8,0,63,17-Mar,27.47,0,12,0,-21.67,47.4
Manchester Originals (Men),England,Sonny Baker,Bowler,2,1,0.5,0,26,20-Apr,26.38,0,3,0,-25.88,28.6
Manchester Originals (Men),England,Farhan Ahmed,Bowler,4,4,4,0,3,28-Feb,22,0,1,0,-17.99,70.6
Manchester Originals (Men),England,Tom Hartley,Bowler,348,39,11.22,0,82,16-Apr,26.62,0,40,0,-15.39,121.3
Manchester Originals (Men),New Zealand,Ish Sodhi,Bowler,478,51,8.38,0,316,11-Jun,24.48,1,69,0,-16.1,106.7
Manchester Originals (Men),England,Josh Tongue,Bowler,7,2*,7,0,29,21-Mar,19.03,0,5,0,-12.03,75
Manchester Originals (Men),South Africa,Marchant de Lange,Bowler,420,28*,11.05,0,174,20-May,25.64,1,44,0,-14.59,129.8
Manchester Originals (Men),Afghanistan,Noor Ahmad,Bowler,227,20,6.13,0,211,11-May,21.6,2,40,0,-15.46,96.6
Northern Superchargers (Men),England,Harry Brook,Batter,3890,105*,33.53,3,1,13-Jan,26,0,95,0,7.53,
Northern Superchargers (Men),England,Graham Clark,Batter,3640,102*,26,2,0,-,-,0,47,0,-,144.5
Northern Superchargers (Men),England,Zak Crawley,Top order Batter,2381,108*,27.36,1,-,-,-,-,48,0,-,139.2
Northern Superchargers (Men),England,Dan Lawrence,Middle order Batter,3488,120*,25.09,1,57,20-Apr,24.17,0,60,0,0.91,141.9
Northern Superchargers (Men),England,Dawid Malan,Top order Batter,10501,117,32.81,5,23,10-Feb,31.39,0,132,0,1.42,
Northern Superchargers (Men),South Africa,David Miller,Middle order Batter,11476,120*,35.09,4,0,-,-,0,321,1,-,137.5
Northern Superchargers (Men),England,Michael Pepper,Wicketkeeper Batter,2663,120*,25.85,2,-,-,-,-,48,2,-,150.1
Northern Superchargers (Men),England,Matthew Revis,Batter,422,52,18.34,0,29,10-Feb,34.44,0,15,0,-16.1,119.5
Northern Superchargers (Men),England,Rocky Flintoff,Batter,,,,,,,,,,,,0
Northern Superchargers (Men),England,Brydon Carse,Bowling Allrounder,792,58,17.21,0,57,23-Mar,35.66,0,35,0,-18.44,
Northern Superchargers (Men),New Zealand,James Fuller,Allrounder,2057,57,19.97,0,184,28-Jun,25.96,1,85,0,-5.99,
Northern Superchargers (Men),Pakistan,Imad Wasim,Allrounder,4327,92*,21.52,0,377,14-May,24.59,2,110,0,-3.06,
Northern Superchargers (Men),England,Tom Lawes,Bowling Allrounder,39,12,5.57,0,16,17-Feb,37.06,0,10,0,-31.49,66.1
