Player,Span,Team
SA Abbott,2024-2024,Birmingham Phoenix
TB Abell,2021-2021,Birmingham Phoenix
MM Ali,2021-2024,Birmingham Phoenix
FH Allen,2021-2021,Birmingham Phoenix
DG Bedingham,2021-2021,Birmingham Phoenix
DJ Bell-Drummond,2021-2021,Birmingham Phoenix
CG Benjamin,2021-2023,Birmingham Phoenix
JG Bethell,2023-2025,Birmingham Phoenix
TA Boult,2025-2025,Birmingham Phoenix
HJH Brookes,2022-2022,Birmingham Phoenix
PR Brown,2021-2021,Birmingham Phoenix
SG Budinger,2022-2022,Birmingham Phoenix
JM Clarke,2025-2025,Birmingham Phoenix
CB Cooke,2021-2021,Birmingham Phoenix
BL D'Oliveira,2022-2022,Birmingham Phoenix
AHT Donald,2024-2025,Birmingham Phoenix
BM Duckett,2023-2025,Birmingham Phoenix
BJ Dwarshuis,2022-2022,Birmingham Phoenix
JK Fuller,2024-2024,Birmingham Phoenix
MAH Hammond,2021-2022,Birmingham Phoenix
TG Helm,2021-2024,Birmingham Phoenix
BAC Howell,2021-2025,Birmingham Phoenix
Imran Tahir,2021-2022,Birmingham Phoenix
LPJ Kimber,2024-2025,Birmingham Phoenix
LS Livingstone,2021-2025,Birmingham Phoenix
AF Milne,2021-2025,Birmingham Phoenix
DR Mousley,2022-2025,Birmingham Phoenix
RK Patel,2024-2024,Birmingham Phoenix
LA Patterson-White,2025-2025,Birmingham Phoenix
DY Pennington,2021-2021,Birmingham Phoenix
KW Richardson,2022-2023,Birmingham Phoenix
T Sangha,2022-2023,Birmingham Phoenix
Shadab Khan,2023-2023,Birmingham Phoenix
WCF Smeed,2021-2025,Birmingham Phoenix
JL Smith,2023-2024,Birmingham Phoenix
TG Southee,2024-2025,Birmingham Phoenix
GL van Buuren,2022-2022,Birmingham Phoenix
T van der Gugten,2022-2022,Birmingham Phoenix
MS Wade,2022-2022,Birmingham Phoenix
CR Woakes,2023-2023,Birmingham Phoenix
CP Wood,2024-2025,Birmingham Phoenix
DJ Bell-Drummond,2022-2024,London Spirit
RS Bopara,2021-2024,London Spirit
JA Chohan,2025-2025,London Spirit
JB Cracknell,2021-2021,London Spirit
MS Crane,2021-2023,London Spirit
Z Crawley,2021-2023,London Spirit
MJJ Critchley,2023-2024,London Spirit
BC Cullen,2021-2021,London Spirit
LA Dawson,2022-2025,London Spirit
JL Denly,2021-2021,London Spirit
JW Dernbach,2021-2021,London Spirit
SR Dickson,2025-2025,London Spirit
NT Ellis,2022-2024,London Spirit
RJ Gleeson,2024-2025,London Spirit
SO Hetmyer,2024-2024,London Spirit
RF Higgins,2024-2025,London Spirit
JP Inglis,2021-2022,London Spirit
KK Jennings,2024-2025,London Spirit
DW Lawrence,2021-2024,London Spirit
BR McDermott,2022-2022,London Spirit
WL Madsen,2025-2025,London Spirit
GJ Maxwell,2022-2022,London Spirit
DJ Mitchell,2023-2023,London Spirit
Mohammad Amir,2021-2021,London Spirit
Mohammad Nabi,2021-2021,London Spirit
EJG Morgan,2021-2022,London Spirit
J Overton,2025-2025,London Spirit
MS Pepper,2023-2024,London Spirit
KA Pollard,2022-2022,London Spirit
OJ Pope,2024-2025,London Spirit
LM Reece,2021-2021,London Spirit
AM Rossington,2021-2024,London Spirit
AD Russell,2024-2024,London Spirit
JA Simpson,2025-2025,London Spirit
JL Smith,2025-2025,London Spirit
TG Southee,2023-2023,London Spirit
OP Stone,2024-2025,London Spirit
JA Thompson,2022-2023,London Spirit
AJ Turner,2025-2025,London Spirit
RE van der Merwe,2021-2021,London Spirit
MS Wade,2023-2023,London Spirit
DA Warner,2025-2025,London Spirit
BTJ Wheal,2021-2022,London Spirit
D Wiese,2021-2021,London Spirit
KS Williamson,2025-2025,London Spirit
CP Wood,2021-2023,London Spirit
L Wood,2025-2025,London Spirit
DJ Worrall,2023-2025,London Spirit
SA Abbott,2022-2022,Manchester Originals
CN Ackermann,2021-2022,Manchester Originals
JM Anderson,2025-2025,Manchester Originals
TH Aspinwall,2024-2025,Manchester Originals
S Baker,2025-2025,Manchester Originals
CR Brathwaite,2021-2021,Manchester Originals
JC Buttler,2021-2025,Manchester Originals
MS Chapman,2025-2025,Manchester Originals
JM Clarke,2021-2021,Manchester Originals
SW Currie,2024-2025,Manchester Originals
DA Douthwaite,2021-2021,Manchester Originals
LJ Evans,2022-2023,Manchester Originals
Farhan Ahmed,2025-2025,Manchester Originals
Fazalhaq Farooqi,2024-2024,Manchester Originals
LH Ferguson,2021-2021,Manchester Originals
ST Finn,2021-2021,Manchester Originals
GHS Garton,2025-2025,Manchester Originals
RJ Gleeson,2022-2023,Manchester Originals
L Gregory,2025-2025,Manchester Originals
SR Hain,2021-2021,Manchester Originals
CG Harrison,2021-2023,Manchester Originals
TW Hartley,2021-2025,Manchester Originals
MDE Holden,2023-2024,Manchester Originals
J Hull,2024-2024,Manchester Originals
MF Hurst,2024-2025,Manchester Originals
H Klaasen,2025-2025,Manchester Originals
FJ Klaassen,2021-2022,Manchester Originals
TA Lammonby,2021-2022,Manchester Originals
JB Little,2022-2023,Manchester Originals
WL Madsen,2022-2024,Manchester Originals
BS McKinney,2025-2025,Manchester Originals
C Munro,2021-2021,Manchester Originals
Noor Ahmad,2025-2025,Manchester Originals
J Overton,2023-2024,Manchester Originals
MW Parkinson,2021-2022,Manchester Originals
BA Raine,2023-2023,Manchester Originals
R Ravindra,2025-2025,Manchester Originals
AD Russell,2022-2022,Manchester Originals
PD Salt,2021-2025,Manchester Originals
Sikandar Raza,2024-2024,Manchester Originals
IS Sodhi,2025-2025,Manchester Originals
MT Stanley,2022-2022,Manchester Originals
T Stubbs,2022-2022,Manchester Originals
JC Tongue,2023-2025,Manchester Originals
AJ Turner,2022-2023,Manchester Originals
Usama Mir,2023-2024,Manchester Originals
PI Walter,2022-2024,Manchester Originals
Zaman Khan,2023-2023,Manchester Originals
T Banton,2023-2023,Northern Superchargers
DJ Bravo,2022-2022,Northern Superchargers
HC Brook,2021-2025,Northern Superchargers
PR Brown,2024-2024,Northern Superchargers
BA Carse,2021-2023,Northern Superchargers
G Clark,2024-2025,Northern Superchargers
J Clark,2024-2024,Northern Superchargers
Z Crawley,2025-2025,Northern Superchargers
JA Duffy,2025-2025,Northern Superchargers
F du Plessis,2022-2022,Northern Superchargers
BJ Dwarshuis,2024-2024,Northern Superchargers
MD Fisher,2021-2021,Northern Superchargers
AJ Hose,2022-2024,Northern Superchargers
Imad Wasim,2025-2025,Northern Superchargers
MA Jones,2024-2024,Northern Superchargers
T Kohler-Cadmore,2021-2021,Northern Superchargers
TE Lawes,2024-2025,Northern Superchargers
DW Lawrence,2025-2025,Northern Superchargers
CA Lynn,2021-2021,Northern Superchargers
A Lyth,2021-2023,Northern Superchargers
DJ Malan,2025-2025,Northern Superchargers
CN Miles,2022-2022,Northern Superchargers
DA Miller,2025-2025,Northern Superchargers
Mohammad Amir,2025-2025,Northern Superchargers
Mujeeb Ur Rahman,2021-2021,Northern Superchargers
CF Parkinson,2021-2024,Northern Superchargers
WD Parnell,2022-2023,Northern Superchargers
SR Patel,2025-2025,Northern Superchargers
DY Pennington,2024-2024,Northern Superchargers
MS Pepper,2022-2025,Northern Superchargers
N Pooran,2024-2024,Northern Superchargers
MJ Potts,2021-2025,Northern Superchargers
BA Raine,2021-2022,Northern Superchargers
AU Rashid,2021-2025,Northern Superchargers
OG Robinson,2024-2024,Northern Superchargers
MJ Santner,2024-2025,Northern Superchargers
MW Short,2023-2024,Northern Superchargers
JA Simpson,2021-2022,Northern Superchargers
BA Stokes,2021-2024,Northern Superchargers
JA Thompson,2021-2021,Northern Superchargers
RJW Topley,2023-2024,Northern Superchargers
RE van der Merwe,2022-2022,Northern Superchargers
DJ Vilas,2021-2021,Northern Superchargers
Wahab Riaz,2022-2022,Northern Superchargers
D Wiese,2022-2023,Northern Superchargers
DJ Willey,2021-2022,Northern Superchargers
SA Zaib,2023-2023,Northern Superchargers
AAP Atkinson,2023-2025,Oval Invincibles
JP Behrendorff,2025-2025,Oval Invincibles
SW Billings,2021-2025,Oval Invincibles
AJ Blake,2021-2021,Oval Invincibles
DR Briggs,2022-2023,Oval Invincibles
PR Brown,2022-2022,Oval Invincibles
HWR Cartwright,2022-2022,Oval Invincibles
ZJ Chappell,2023-2023,Oval Invincibles
J Clark,2021-2025,Oval Invincibles
JM Cox,2022-2025,Oval Invincibles
SM Curran,2021-2025,Oval Invincibles
TK Curran,2021-2025,Oval Invincibles
LJ Evans,2021-2021,Oval Invincibles
D Ferreira,2024-2025,Oval Invincibles
MAH Hammond,2025-2025,Oval Invincibles
P Hatzoglou,2022-2022,Oval Invincibles
JA Haynes,2022-2022,Oval Invincibles
CA Ingram,2021-2021,Oval Invincibles
WG Jacks,2021-2025,Oval Invincibles
SH Johnson,2023-2024,Oval Invincibles
H Klaasen,2023-2023,Oval Invincibles
TA Lammonby,2024-2024,Oval Invincibles
S Mahmood,2021-2025,Oval Invincibles
DJ Malan,2024-2024,Oval Invincibles
ME Milnes,2022-2022,Oval Invincibles
Mohammad Amir,2024-2024,Oval Invincibles
Mohammad Hasnain,2022-2022,Oval Invincibles
TS Muyeye,2023-2025,Oval Invincibles
SP Narine,2021-2023,Oval Invincibles
JDS Neesham,2023-2023,Oval Invincibles
Rashid Khan,2025-2025,Oval Invincibles
RR Rossouw,2022-2022,Oval Invincibles
JJ Roy,2021-2023,Oval Invincibles
T Shamsi,2021-2021,Oval Invincibles
NA Sowter,2021-2025,Oval Invincibles
PR Stirling,2023-2023,Oval Invincibles
RJW Topley,2021-2022,Oval Invincibles
RA Whiteley,2023-2023,Oval Invincibles
A Zampa,2023-2025,Oval Invincibles
CN Ackermann,2023-2023,Southern Brave
Rehan Ahmed,2022-2024,Southern Brave
TE Albert,2025-2025,Southern Brave
FH Allen,2023-2023,Southern Brave
JC Archer,2024-2025,Southern Brave
S Baker,2022-2022,Southern Brave
MG Bracewell,2025-2025,Southern Brave
DR Briggs,2021-2025,Southern Brave
HWR Cartwright,2025-2025,Southern Brave
JM Coles,2024-2025,Southern Brave
DP Conway,2021-2023,Southern Brave
TH David,2021-2023,Southern Brave
AL Davies,2021-2024,Southern Brave
LA Dawson,2021-2021,Southern Brave
C de Grandhomme,2021-2021,Southern Brave
Q de Kock,2021-2022,Southern Brave
JL du Plooy,2023-2025,Southern Brave
LJ Evans,2024-2025,Southern Brave
MD Fisher,2023-2023,Southern Brave
ADS Fletcher,2024-2024,Southern Brave
JK Fuller,2022-2023,Southern Brave
GHS Garton,2021-2023,Southern Brave
MG Hogan,2022-2022,Southern Brave
AJ Hosein,2024-2024,Southern Brave
DP Hughes,2024-2024,Southern Brave
CJ Jordan,2021-2025,Southern Brave
JB Lintott,2021-2022,Southern Brave
TS Mills,2021-2025,Southern Brave
D Moriarty,2022-2022,Southern Brave
C Overton,2021-2025,Southern Brave
KA Pollard,2024-2024,Southern Brave
DMW Rawlins,2021-2021,Southern Brave
JJ Roy,2025-2025,Southern Brave
MJ Santner,2023-2023,Southern Brave
PR Stirling,2021-2022,Southern Brave
MP Stoinis,2022-2022,Southern Brave
JA Thompson,2025-2025,Southern Brave
RJW Topley,2025-2025,Southern Brave
JM Vince,2021-2025,Southern Brave
JJ Weatherley,2023-2023,Southern Brave
RA Whiteley,2021-2022,Southern Brave
Rehan Ahmed,2025-2025,Trent Rockets
TP Alsop,2024-2025,Trent Rockets
T Banton,2024-2025,Trent Rockets
M Carter,2021-2023,Trent Rockets
IA Cockbain,2022-2022,Trent Rockets
SJ Cook,2021-2025,Trent Rockets
OB Cox,2025-2025,Trent Rockets
M de Lange,2021-2021,Trent Rockets
LH Ferguson,2025-2025,Trent Rockets
LJ Fletcher,2022-2022,Trent Rockets
CJ Green,2024-2024,Trent Rockets
L Gregory,2021-2024,Trent Rockets
SR Hain,2023-2025,Trent Rockets
AD Hales,2021-2024,Trent Rockets
CG Harrison,2024-2025,Trent Rockets
MDE Holden,2025-2025,Trent Rockets
AJ Hose,2025-2025,Trent Rockets
AJ Hosein,2025-2025,Trent Rockets
Imad Wasim,2023-2024,Trent Rockets
T Kohler-Cadmore,2022-2023,Trent Rockets
GF Linde,2025-2025,Trent Rockets
A Lyth,2024-2024,Trent Rockets
DJ Malan,2021-2023,Trent Rockets
TJ Moores,2021-2025,Trent Rockets
SJ Mullaney,2021-2021,Trent Rockets
C Munro,2022-2023,Trent Rockets
CF Parkinson,2025-2025,Trent Rockets
SR Patel,2021-2023,Trent Rockets
DY Pennington,2025-2025,Trent Rockets
R Powell,2024-2024,Trent Rockets
Rashid Khan,2021-2024,Trent Rockets
OE Robinson,2024-2024,Trent Rockets
JE Root,2021-2025,Trent Rockets
DR Sams,2022-2023,Trent Rockets
BW Sanderson,2025-2025,Trent Rockets
T Shamsi,2022-2022,Trent Rockets
DJM Short,2021-2021,Trent Rockets
IS Sodhi,2023-2023,Trent Rockets
MP Stoinis,2025-2025,Trent Rockets
JA Thompson,2024-2024,Trent Rockets
JA Turner,2023-2024,Trent Rockets
T van der Gugten,2021-2021,Trent Rockets
Wahab Riaz,2021-2021,Trent Rockets
RA Whiteley,2025-2025,Trent Rockets
DJ Willey,2025-2025,Trent Rockets
L Wood,2021-2024,Trent Rockets
TB Abell,2023-2025,Welsh Fire
JM Bairstow,2021-2025,Welsh Fire
JT Ball,2021-2024,Welsh Fire
T Banton,2021-2022,Welsh Fire
JG Bethell,2022-2022,Welsh Fire
JM Clarke,2022-2024,Welsh Fire
JJ Cobb,2021-2022,Welsh Fire
IA Cockbain,2021-2021,Welsh Fire
MS Crane,2024-2024,Welsh Fire
MJJ Critchley,2021-2022,Welsh Fire
AS Dale,2025-2025,Welsh Fire
BM Duckett,2021-2022,Welsh Fire
JL du Plooy,2021-2022,Welsh Fire
SS Eskinazi,2023-2025,Welsh Fire
LH Ferguson,2023-2023,Welsh Fire
LJ Fletcher,2021-2021,Welsh Fire
BGF Green,2023-2023,Welsh Fire
CJ Green,2025-2025,Welsh Fire
SR Hain,2022-2022,Welsh Fire
Haris Rauf,2023-2024,Welsh Fire
MJ Henry,2023-2025,Welsh Fire
RF Higgins,2021-2022,Welsh Fire
J Hull,2025-2025,Welsh Fire
BI Kellaway,2025-2025,Welsh Fire
T Kohler-Cadmore,2024-2025,Welsh Fire
JB Little,2024-2024,Welsh Fire
DL Lloyd,2021-2021,Welsh Fire
RP Meredith,2025-2025,Welsh Fire
DA Miller,2022-2022,Welsh Fire
ME Milnes,2021-2021,Welsh Fire
JDS Neesham,2021-2021,Welsh Fire
Noor Ahmad,2022-2022,Welsh Fire
DA Payne,2021-2025,Welsh Fire
GD Phillips,2021-2024,Welsh Fire
LE Plunkett,2021-2021,Welsh Fire
OJ Pope,2022-2022,Welsh Fire
D Pretorius,2022-2022,Welsh Fire
Qais Ahmad,2021-2021,Welsh Fire
GLS Scrimshaw,2022-2022,Welsh Fire
Shaheen Shah Afridi,2023-2023,Welsh Fire
SPD Smith,2025-2025,Welsh Fire
IS Sodhi,2022-2022,Welsh Fire
RE van der Merwe,2023-2023,Welsh Fire
PI Walter,2025-2025,Welsh Fire
LWP Wells,2023-2025,Welsh Fire
GG White,2021-2021,Welsh Fire
RA Whiteley,2024-2024,Welsh Fire
DJ Willey,2023-2024,Welsh Fire
SA Zaib,2025-2025,Welsh Fire
A Zampa,2022-2022,Welsh Fire
