Player Name,Role,Team
Joe Clarke,Top order Batter,Birmingham Phoenix (Men)
Aneurin Donald,Batter,Birmingham Phoenix (Men)
Ben Duckett,Top order Batter,Birmingham Phoenix (Men)
Louis Kimber,Middle order Batter,Birmingham Phoenix (Men)
Freddie McCann,Top order Batter,Birmingham Phoenix (Men)
Will Smeed,Top order Batter,Birmingham Phoenix (Men)
Liam Livingstone,Batting Allrounder,Birmingham Phoenix (Men)
Jacob Bethell,Batting Allrounder,Birmingham Phoenix (Men)
Benny Howell,Allrounder,Birmingham Phoenix (Men)
Dan Mousley,Batting Allrounder,Birmingham Phoenix (Men)
Liam Patterson-White,Bowling Allrounder,Birmingham Phoenix (Men)
Trent Boult,Bowler,Birmingham Phoenix (Men)
Tom Helm,Bowler,Birmingham Phoenix (Men)
Adam Milne,Bowler,Birmingham Phoenix (Men)
Tim Southee,Bowler,Birmingham Phoenix (Men)
Chris Wood,Bowler,Birmingham Phoenix (Men)
Harry Moore,,Birmingham Phoenix (Men)
Kane Williamson,Top order Batter,London Spirit (Men)
Sean Dickson,Middle order Batter,London Spirit (Men)
Keaton Jennings,Opening Batter,London Spirit (Men)
Wayne Madsen,Batter,London Spirit (Men)
Ollie Pope,Middle order Batter,London Spirit (Men)
John Simpson,Wicketkeeper Batter,London Spirit (Men)
Jamie Smith,Wicketkeeper Batter,London Spirit (Men)
Ashton Turner,Middle order Batter,London Spirit (Men)
David Warner,Opening Batter,London Spirit (Men)
Liam Dawson,Allrounder,London Spirit (Men)
Dan Douthwaite,Allrounder,London Spirit (Men)
Ryan Higgins,Allrounder,London Spirit (Men)
Jamie Overton,Bowling Allrounder,London Spirit (Men)
Jafer Chohan,Bowler,London Spirit (Men)
Richard Gleeson,Bowler,London Spirit (Men)
Olly Stone,Bowler,London Spirit (Men)
Luke Wood,Bowler,London Spirit (Men)
Daniel Worrall,Bowler,London Spirit (Men)
Phil Salt,Wicketkeeper Batter,Manchester Originals (Men)
Jos Buttler,Wicketkeeper Batter,Manchester Originals (Men)
Matty Hurst,Wicketkeeper Batter,Manchester Originals (Men)
Heinrich Klaasen,Wicketkeeper Batter,Manchester Originals (Men)
Ben McKinney,Opening Batter,Manchester Originals (Men)
Tom Aspinwall,Bowling Allrounder,Manchester Originals (Men)
Mark Chapman,Allrounder,Manchester Originals (Men)
Scott Currie,Bowling Allrounder,Manchester Originals (Men)
George Garton,Bowling Allrounder,Manchester Originals (Men)
Lewis Gregory,Allrounder,Manchester Originals (Men)
Rachin Ravindra,Batting Allrounder,Manchester Originals (Men)
James Anderson,Bowler,Manchester Originals (Men)
Sonny Baker,Bowler,Manchester Originals (Men)
Farhan Ahmed,Bowler,Manchester Originals (Men)
Tom Hartley,Bowler,Manchester Originals (Men)
Ish Sodhi,Bowler,Manchester Originals (Men)
Josh Tongue,Bowler,Manchester Originals (Men)
Marchant de Lange,Bowler,Manchester Originals (Men)
Noor Ahmad,Bowler,Manchester Originals (Men)
Harry Brook,Batter,Northern Superchargers (Men)
Graham Clark,Batter,Northern Superchargers (Men)
Zak Crawley,Top order Batter,Northern Superchargers (Men)
Dan Lawrence,Middle order Batter,Northern Superchargers (Men)
Dawid Malan,Top order Batter,Northern Superchargers (Men)
David Miller,Middle order Batter,Northern Superchargers (Men)
Michael Pepper,Wicketkeeper Batter,Northern Superchargers (Men)
Matthew Revis,Batter,Northern Superchargers (Men)
Rocky Flintoff,Batter,Northern Superchargers (Men)
Brydon Carse,Bowling Allrounder,Northern Superchargers (Men)
James Fuller,Allrounder,Northern Superchargers (Men)
Imad Wasim,Allrounder,Northern Superchargers (Men)
Tom Lawes,Bowling Allrounder,Northern Superchargers (Men)
Samit Patel,Allrounder,Northern Superchargers (Men)
Mitchell Santner,Bowling Allrounder,Northern Superchargers (Men)
Pat Brown,Bowler,Northern Superchargers (Men)
