Team,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Abu Dhabi Knight Riders,Joe Clarke,Top order Batter,5918,136,26.18,4,-,-,-,-,91,7,-,144.3
Abu Dhabi Knight Riders,Laurie Evans,Middle order Batter,7305,118*,29.69,3,1,5-Jan,35,0,149,4,-5.3,138.3
Abu Dhabi Knight Riders,Andries Gous,Wicketkeeper Batter,2732,101*,30.69,1,-,-,-,-,57,11,-,137.4
Abu Dhabi Knight Riders,Michael Pepper,Wicketkeeper Batter,2663,120*,25.85,2,-,-,-,-,48,2,-,150.1
Abu Dhabi Knight Riders,Phil Salt,Wicketkeeper Batter,7880,141*,28.24,4,-,-,-,-,166,14,-,155.8
Abu Dhabi Knight Riders,Alishan Sharafu,Opening Batter,2057,90*,31.16,0,0,-,-,0,33,0,-,131.5
Abu Dhabi Knight Riders,Sunil Narine,Bowling Allrounder,4676,109,15.53,1,599,19-May,22.09,1,128,0,-6.55,148.8
Abu Dhabi Knight Riders,Charith Asalanka,Batting Allrounder,3015,80*,23.01,0,30,14-Apr,27.33,0,40,0,-4.31,127.2
Abu Dhabi Knight Riders,Roston Chase,Allrounder,2289,90*,26.92,0,89,12-Mar,25.28,0,42,0,1.64,126
Abu Dhabi Knight Riders,Jason Holder,Bowling Allrounder,3061,69,18.55,0,329,27-May,27.43,1,155,0,-8.88,136.8
Abu Dhabi Knight Riders,Kyle Mayers,Batting Allrounder,4207,92,23.24,0,70,4-Apr,32.75,0,64,0,-9.51,134.6
Abu Dhabi Knight Riders,Andre Russell,Allrounder,9449,121*,26.24,2,497,15-May,25.85,1,238,0,0.39,167.6
Abu Dhabi Knight Riders,David Willey,Bowling Allrounder,4773,118,22.3,2,362,7-Apr,23.45,0,165,0,-1.14,135.9
Abu Dhabi Knight Riders,Adhitya Shetty,Bowler,-,-,-,-,-,-,-,-,0,0,-,0
Abu Dhabi Knight Riders,Ali Khan,Bowler,66,16*,6.6,0,94,6-Apr,30.95,0,16,0,-24.35,93.2
Abu Dhabi Knight Riders,Hassan Khan,Bowler,963,57,19.65,0,63,30-Apr,31.19,0,42,0,-11.53,141.7
Abu Dhabi Knight Riders,Terrance Hinds,Bowler,49,14*,9.8,0,15,17-Mar,36.66,0,0,0,-26.86,148.5
Abu Dhabi Knight Riders,Ibrar Ahmad,Bowler,,,,,,,,,,,,100
Abu Dhabi Knight Riders,Gudakesh Motie,Bowler,380,33*,12.66,0,118,21-May,22.33,1,33,0,-9.66,114.5
Abu Dhabi Knight Riders,Sufiyan Muqeem,Bowler,46,10,5.75,0,38,3-May,18.55,1,5,0,-12.8,82.4
Abu Dhabi Knight Riders,Vijayakanth Viyaskanth,Bowler,151,25*,12.58,0,62,22-Apr,22.04,0,17,0,-9.46,79.4
Abu Dhabi Knight Riders,Shahid Bhutta,,,101,,1,,,,,,,,33.3
Desert Vipers,Azam Khan,Wicketkeeper Batter,3486,109*,22.93,1,-,-,-,-,83,20,-,143.9
Desert Vipers,Fakhar Zaman,Opening Batter,8108,115,28.44,3,4,3-Jan,40.5,0,135,0,-12.05,134.9
Desert Vipers,Alex Hales,Opening Batter,14200,119*,30.08,7,0,-,-,0,245,0,-,146
Desert Vipers,Max Holden,Top order Batter,2324,121*,26.4,2,0,-,-,0,37,0,-,142.5
Desert Vipers,Adam Hose,Middle order Batter,4297,119,29.03,2,-,-,-,-,90,0,-,141.1
Desert Vipers,Michael Jones,Top order Batter,1310,86,23.81,0,-,-,-,-,20,0,-,0
Desert Vipers,Dan Lawrence,Middle order Batter,3488,120*,25.09,1,57,20-Apr,24.17,0,60,0,0.91,141.9
Desert Vipers,Rahmanullah Gurbaz,Wicketkeeper Batter,5686,121*,24.72,2,1,2-Jan,11,0,127,17,13.72,142.5
Desert Vipers,Sherfane Rutherford,Middle order Batter,3610,86,23.59,0,13,19-Mar,38.53,0,70,0,-14.94,138.4
Desert Vipers,Tanish Suri,Wicketkeeper Batter,288,77,20.57,0,-,-,-,-,14,3,-,108.1
Desert Vipers,Ali Naseer,Allrounder,411,63*,17.86,0,52,24-Apr,20.57,0,27,0,-2.7,122.9
Desert Vipers,Sam Curran,Allrounder,4882,102*,24.65,1,291,10-May,28.03,4,118,0,-3.37,137.7
Desert Vipers,Wanindu Hasaranga,Allrounder,2439,77*,17.29,0,325,9-Jun,17.4,3,102,0,-0.11,144.5
Desert Vipers,Kushal Malla,Batting Allrounder,1114,137*,23.2,1,23,Apr-33,20.95,0,20,0,2.25,135.8
Desert Vipers,Dhruv Parashar,Allrounder,213,32,14.2,0,33,12-Apr,22.21,0,17,0,-8.01,0
Desert Vipers,Bas de Leede,Batting Allrounder,1126,91*,25.59,0,53,17-Mar,22.66,0,33,0,2.93,106
Desert Vipers,Lockie Ferguson,Bowler,288,30,11.07,0,228,21-May,22.32,1,52,0,-11.24,116.2
Desert Vipers,Khuzaima Tanveer,Bowler,1561,,,,,14-Apr,,0,,,,164.7
Desert Vipers,Mohammad Amir,Bowler,458,30,7.15,0,409,17-Jun,22.4,2,43,0,-15.25,103.4
Desert Vipers,David Payne,Bowler,279,28,7.15,0,276,24-May,21.67,1,50,0,-14.52,114.3
Desert Vipers,Nathan Sowter,Bowler,251,37*,8.96,0,184,15-May,22.81,1,64,0,-13.85,111.5
Desert Vipers,Luke Wood,Bowler,419,33*,9.52,0,210,May-50,25.83,1,68,0,-16.31,0
Dubai Capitals,David Warner,Opening Batter,13595,135*,36.44,8,0,-,-,0,202,0,-,139.9
Dubai Capitals,Sam Billings,Wicketkeeper Batter,7238,106,24.04,1,-,-,-,-,237,32,-,134.3
Dubai Capitals,Joe Burns,Batter,1905,108*,25.4,1,3,8-Jan,23.66,0,38,0,1.73,121.3
Dubai Capitals,Ben Dunk,Wicketkeeper Batter,3708,99*,23.32,0,3,19-Jan,39.33,0,99,10,-16.01,128.9
Dubai Capitals,Jake Fraser-McGurk,Batter,1689,95,20.34,0,0,-,-,0,48,0,-,150.3
Dubai Capitals,Shai Hope,Wicketkeeper Batter,4951,106,30.37,3,-,-,-,-,89,15,-,129.2
Dubai Capitals,Khalid Shah,Opening Batter,130,37,11.81,0,-,-,-,-,4,0,-,106.6
Dubai Capitals,Najibullah Zadran,Middle order Batter,4475,97*,26.47,0,2,5-Jan,11,0,90,0,15.47,133
Dubai Capitals,Rovman Powell,Middle order Batter,5338,107,24.94,1,26,21-Feb,45.84,0,149,0,-20.9,141.4
Dubai Capitals,Adam Rossington,Wicketkeeper Batter,3576,95,20.79,0,-,-,-,-,82,33,-,146.5
Dubai Capitals,Joe Weatherley,Batter,2158,71,28.77,0,0,-,-,0,36,0,-,129.1
Dubai Capitals,Gulbadin Naib,Batting Allrounder,2517,91,22.88,0,101,12-Apr,27.16,0,67,0,-4.28,129.9
Dubai Capitals,Scott Kuggeleijn,Bowling Allrounder,1026,41,17.1,0,169,17-Apr,27.15,0,65,0,-10.05,141.9
Dubai Capitals,Brandon McMullen,Batting Allrounder,738,96,30.75,0,7,Feb-33,43.14,0,12,0,-12.39,142.7
Dubai Capitals,Dasun Shanaka,Allrounder,4693,131*,26.36,3,100,16-Apr,25.64,0,91,0,0.72,132.4
Dubai Capitals,Sharafuddin Ashraf,Allrounder,693,66,17.76,0,86,13-Apr,22.09,0,30,0,-4.32,107.9
Dubai Capitals,Sikandar Raza,Batting Allrounder,6372,133*,25.59,1,200,18-May,27.03,1,134,0,-1.43,136.1
Dubai Capitals,Akif Raja,Bowler,81,28,13.5,0,26,22-Mar,30.15,0,4,0,-16.65,100
Dubai Capitals,Dushmantha Chameera,Bowler,224,24*,7.22,0,169,17-Apr,27.18,0,36,0,-19.96,94
Dubai Capitals,Farhan Khan,Bowler,104,32,13,0,-,-,-,-,1,0,-,100
Dubai Capitals,Haider Ali,Bowler,3141,91*,23.61,0,-,-,-,-,49,0,-,131.6
Dubai Capitals,Obed McCoy,Bowler,182,23*,7.58,0,189,17-Jun,24.34,2,28,0,-16.76,100.5
Dubai Capitals,Garuka Sanketh,Bowler,5,4*,-,0,13,8-Feb,24.3,0,2,0,-,50
Dubai Capitals,Olly Stone,Bowler,173,22*,6.65,0,113,14-Apr,27.31,0,37,0,-20.66,89.2
Dubai Capitals,Jeffrey Vandersay,Bowler,219,29*,7.06,0,102,25-Jun,24.67,1,41,0,-17.61,79.7
Dubai Capitals,Zahir Khan,Bowler,106,19*,4.6,0,142,19-May,24.05,1,13,0,-19.44,76.9
Dubai Capitals,Ayman Ahamed,,,,,,,,,,,,,0
Dubai Capitals,Shahrukh Ahmed,,,,,,,,,,,,,0
Dubai Capitals,Zeeshan Naseer,,,,,,,,,,,,,0
