Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
A Sharafu,2023-2023,Abu Dhabi Knight Riders,United Arab Emirates,129.7,Medium,,,,,,,,,,,
AJ Hose,2023-2023,Abu Dhabi Knight Riders,Adelaide Strikers,141.1,Medium,,,,,,,,,,,
CG Benjamin,2023-2023,Abu Dhabi Knight Riders,Sharjah Warriors,136.7,Medium,998,68*,19.96,0,-,-,-,-,33.0,1.0,-
CR Woakes,2023-2024,Abu Dhabi Knight Riders,England,125.9,Medium,1031,57*,20.21,0,177,4/21,25.24,0,64.0,0.0,-5.02
DJ Malan,2023-2023,Abu Dhabi Knight Riders,England,131.8,Legbreak,10501,117,32.81,5,23,2/10,31.39,0,132.0,0.0,1.42
E Lewis,2023-2023,Abu Dhabi Knight Riders,West Indies,143.8,,,,,,,,,,,,
JL Denly,2023-2024,Abu Dhabi Knight Riders,England,127.4,Legbreak,,,,,,,,,,,
Junaid Siddique,2023-2025,Abu Dhabi Knight Riders,Bangladesh,123.9,Offbreak,87,18,7.90,0,111,4/12,20.70,0,18.0,0.0,-12.79
KP Meiyappan,2023-2023,Abu Dhabi Knight Riders,United Arab Emirates,83.3,Legbreak,19,12,9.50,0,23,4/25,15.95,0,4.0,0.0,-6.45
MM Ali,2023-2025,Abu Dhabi Knight Riders,England,139.7,Offbreak,7450,121*,23.65,3,263,5/34,24.78,1,123.0,0.0,-1.13
MP Stoinis,2023-2023,Abu Dhabi Knight Riders,Australia,137.1,Medium,6843,147*,29.36,2,179,4/15,26.84,0,85.0,0.0,2.52
Mohammad Nabi,2023-2023,Abu Dhabi Knight Riders,Afghanistan,134.0,Offbreak,6516,89,21.08,0,388,5/15,24.82,1,217.0,0.0,-3.73
Muhammad Jawadullah,2023-2025,Abu Dhabi Knight Riders,United Arab Emirates,76.7,Medium,21,13*,5.25,0,70,4/21,19.37,0,10.0,0.0,-14.12
Naveen-ul-Haq,2023-2023,Abu Dhabi Knight Riders,Afghanistan,98.0,Medium,365,30*,8.69,0,267,5/11,24.26,1,60.0,0.0,-15.57
Noor Ahmad,2023-2023,Abu Dhabi Knight Riders,Afghanistan,95.8,Chinaman,221,20,6.13,0,209,5/11,21.51,2,40.0,0.0,-15.37
PI Walter,2023-2023,Abu Dhabi Knight Riders,Brisbane Heat,140.1,Medium,2446,78,19.72,0,116,3/20,27.29,0,86.0,0.0,-7.56
