Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Adhitya Shetty,,-,-,-,-,-,-,-,-,0,0,-
Ali Khan,2016-2025,66,16*,6.60,0,94,4/6,30.95,0,16,0,-24.35
FA Allen,2017-2025,1544,64*,17.54,0,100,4/24,27.46,0,68,0,-9.91
KIC Asalanka,,,,,,,,,,,,
RS Bopara,,,,,,,,,,,,
RL Chase,,,,,,,,,,,,
JM Clarke,,,,,,,,,,,,
M de Lange,,,,,,,,,,,,
DM de Silva,,,,,,,,,,,,
C Esterhuizen,,,,,,,,,,,,
LJ Evans,,,,,,,,,,,,
Fahad Nawaz,,,,,,,,,,,,
AGS Gous,,,,,,,,,,,,
SR Hain,,,,,,,,,,,,
T Hinds,,,,,,,,,,,,
JO Holder,2010-2025,3035,69,18.61,0,324,5/27,27.61,1,153,0,-8.99
AJ Hosein,2014-2025,1059,55*,15.57,0,224,5/11,25.41,1,47,0,-9.84
Ibrar Ahmad,,,,,,,,,,,,
Imad Wasim,,,,,,,,,,,,
CA Ingram,2007-2025,9010,127*,28.33,4,40,4/32,32.97,0,124,0,-4.64
S Kalyan,,8,7,2.66,0,-,-,-,-,1,0,-
BA King,2017-2025,3938,132*,26.60,2,-,-,-,-,66,0,-
CBRLS Kumara,2018-2025,41,10*,4.55,0,79,4/17,22.49,0,5,0,-17.93
K Lewis,2012-2024,915,89,18.67,0,-,-,-,-,25,7,-
JB Lintott,2017-2025,264,41,11.00,0,115,4/20,23.06,0,47,0,-12.06
JB Little,2016-2025,226,27*,13.29,0,167,5/13,23.77,1,49,0,-10.48
Matiullah Khan,2024-2025,1,1*,-,0,5,2/41,36.80,0,2,0,-
KR Mayers,2012-2025,4196,92,23.44,0,68,4/4,33.14,0,62,0,-9.70
G Motie,2021-2025,380,33*,12.66,0,118,5/21,22.03,1,33,0,-9.36
SP Narine,,,,,,,,,,,,
MS Pepper,2018-2025,2663,120*,25.85,2,-,-,-,-,48,2,-
R Rampaul,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RA Reifer,2013-2024,1124,65*,19.71,0,66,5/20,21.56,1,21,0,-1.84
JJ Roy,2008-2025,10554,145*,27.20,6,1,1/23,39.00,0,202,0,-11.79
AD Russell,2010-2025,9449,121*,26.32,2,496,5/15,25.87,1,238,0,0.44
Sabir Ali,,0,0*,0.00,0,5,2/35,21.00,0,0,0,-20.99
PD Salt,2016-2025,7763,141*,28.12,4,-,-,-,-,165,14,-
Shahid Bhutta,2004-2022,,101,,1,,,,,,,
A Sharafu,,,,,,,,,,,,
PR Stirling,,,,,,,,,,,,
