Adhitya Shetty
Ali Khan
FA Allen
KIC Asalanka
RS Bopara
RL Chase
JM Clarke
M de Lange
DM de Silva
C Esterhuizen
LJ Evans
Fahad Nawaz
AGS Gous
SR Hain
T Hinds
JO Holder
AJ Hosein
Ibrar Ahmad
Imad Wasim
CA Ingram
S Kalyan
BA King
CBRLS Kumara
K Lewis
JB Lintott
JB Little
Matiullah Khan
KR Mayers
G Motie
SP Narine
MS Pepper
R Rampaul
RA Reifer
JJ Roy
AD Russell
Sabir Ali
PD Salt
Shahid Bhutta
A Sharafu
PR Stirling
V Viyaskanth
DJ Willey
Zawar Farid
Ali Naseer
Aryan Lakra
AAP Atkinson
Azam Khan
SW Billings
LD Chandimal
SS Cottrell
SM Curran
TK Curran
BFW de Leede
Fakhar Zaman
LH Ferguson
AD Hales
PW Hasaranga
MDE Holden
AJ Hose
BAC Howell
MA Jones
Khuzaima Tanveer
DW Lawrence
A Lyth
TS Mills
Mohammad Amir
C Munro
D Parashar
M Pathirana
DA Payne
Rahmanullah Gurbaz
Rohan Mustafa
SE Rutherford
Shadab Khan
Shaheen Shah Afridi
Shiraz Ahmed
NA Sowter
T Suri
MRJ Watt
L Wood
TB Abell
Akif Raja
JT Ball
T Banton
PVD Chameera
Chirag Suri
R Chopra
N Dickwella
BR Dunk
JL du Plooy
Farhan Khan
J Fraser-McGurk
Gulbadin Naib
Haider Ali
Hazratullah Zazai
Hazrat Luqman
SD Hope
C Karunaratne
Khalid Shah
FJ Klaassen
SC Kuggeleijn
OC McCoy
B McMullen
Mujeeb Ur Rahman
HG Munsey
Najibullah Zadran
R Ngarava
YK Pathan
R Powell
Qais Ahmad
PBB Rajapaksa
KW Richardson
JE Root
AM Rossington
MD Shanaka
Sikandar Raza
OP Stone
RJW Topley
I Udana
RV Uthappa
RE van der Merwe
PA van Meekeren
DA Warner
Zahir Khan
A Zampa
Aayan Afzal Khan
MR Adair
Rehan Ahmed
TP Alsop
CR Brathwaite
JM Cox
TH David
LA Dawson
C de Grandhomme
DC Drakes
MG Erasmus
RJ Gleeson
TG Helm
MADI Hemantha
SO Hetmyer
Ibrahim Zadran
CJ Jordan
Karim Janat
CA Lynn
B Muzarabani
J Overton
OJ Pope
OG Robinson
Saghir Khan
SM Sharma
JL Smith
Usman Khan
Uzair Khan
AC Valthapa
JM Vince
Wahidullah Zadran
D Wiese
DJ Worrall
Zuhaib Zubair
CJ Anderson
V Aravind
Asif Khan
Basil Hameed
CG Benjamin
TA Boult
DJ Bravo
Fazalhaq Farooqi
ADS Fletcher
AM Ghazanfar
Imran Tahir
WG Jacks
BJ Jacobs
AS Joseph
DR Mousley
Muhammad Rohid
Muhammad Waseem
C Overton
SR Patel
MDKJ Perera
KA Pollard
N Pooran
Rashid Khan
AT Rayudu
R Shepherd
WCF Smeed
OF Smith
JA Thompson
LJ Tucker
Waqar Salamkheil
BTJ Wheal
Zahoor Khan
AC Agar
MM Ali
J Charles
EC D'Souza
JL Denly
M Deyal
WIA Fernando
JK Fuller
L Gregory
MJ Guptill
Harmeet Singh
Junaid Siddique
T Kohler-Cadmore
E Lewis
LS Livingstone
D Madushanka
DJ Malan
T Mathew
KP Meiyappan
AF Milne
Mohammad Nabi
Muhammad Jawadullah
Naveen-ul-Haq
Nilansh Keswani
Noor Ahmad
KMA Paul
AU Rashid
DR Sams
TL Seifert
CB Sole
TG Southee
MP Stoinis
M Theekshana
MS Wade
PI Walter
LWP Wells
SC Williams
CR Woakes
