Player Name,Role,Team
Joe Clarke,Top order Batter,Abu Dhabi Knight Riders
Laurie Evans,Middle order Batter,Abu Dhabi Knight Riders
Andries Gous,Wicketkeeper Batter,Abu Dhabi Knight Riders
Michael Pepper,Wicketkeeper Batter,Abu Dhabi Knight Riders
Phil Salt,Wicketkeeper Batter,Abu Dhabi Knight Riders
Alishan Sharafu,Opening Batter,Abu Dhabi Knight Riders
Sunil Narine,Bowling Allrounder,Abu Dhabi Knight Riders
Charith Asalanka,Batting Allrounder,Abu Dhabi Knight Riders
Roston Chase,Allrounder,Abu Dhabi Knight Riders
Jason Holder,Bowling Allrounder,Abu Dhabi Knight Riders
Kyle Mayers,Batting Allrounder,Abu Dhabi Knight Riders
Andre Russell,Allrounder,Abu Dhabi Knight Riders
David Willey,Bowling Allrounder,Abu Dhabi Knight Riders
Adhitya Shetty,Bowler,Abu Dhabi Knight Riders
Ali Khan,Bowler,Abu Dhabi Knight Riders
Hassan Khan,Bowler,Abu Dhabi Knight Riders
Terrance Hinds,Bowler,Abu Dhabi Knight Riders
Ibrar Ahmad,Bowler,Abu Dhabi Knight Riders
Gudakesh Motie,Bowler,Abu Dhabi Knight Riders
Sufiyan Muqeem,Bowler,Abu Dhabi Knight Riders
Vijayakanth Viyaskanth,Bowler,Abu Dhabi Knight Riders
Shahid Bhutta,,Abu Dhabi Knight Riders
Azam Khan,Wicketkeeper Batter,Desert Vipers
Fakhar Zaman,Opening Batter,Desert Vipers
Alex Hales,Opening Batter,Desert Vipers
Max Holden,Top order Batter,Desert Vipers
Adam Hose,Middle order Batter,Desert Vipers
Michael Jones,Top order Batter,Desert Vipers
Dan Lawrence,Middle order Batter,Desert Vipers
Rahmanullah Gurbaz,Wicketkeeper Batter,Desert Vipers
Sherfane Rutherford,Middle order Batter,Desert Vipers
Tanish Suri,Wicketkeeper Batter,Desert Vipers
Ali Naseer,Allrounder,Desert Vipers
Sam Curran,Allrounder,Desert Vipers
Wanindu Hasaranga,Allrounder,Desert Vipers
Kushal Malla,Batting Allrounder,Desert Vipers
Dhruv Parashar,Allrounder,Desert Vipers
Bas de Leede,Batting Allrounder,Desert Vipers
Lockie Ferguson,Bowler,Desert Vipers
Khuzaima Tanveer,Bowler,Desert Vipers
Mohammad Amir,Bowler,Desert Vipers
David Payne,Bowler,Desert Vipers
Nathan Sowter,Bowler,Desert Vipers
Luke Wood,Bowler,Desert Vipers
David Warner,Opening Batter,Dubai Capitals
Sam Billings,Wicketkeeper Batter,Dubai Capitals
Joe Burns,Batter,Dubai Capitals
Ben Dunk,Wicketkeeper Batter,Dubai Capitals
Jake Fraser-McGurk,Batter,Dubai Capitals
Shai Hope,Wicketkeeper Batter,Dubai Capitals
Khalid Shah,Opening Batter,Dubai Capitals
Najibullah Zadran,Middle order Batter,Dubai Capitals
Rovman Powell,Middle order Batter,Dubai Capitals
Adam Rossington,Wicketkeeper Batter,Dubai Capitals
Joe Weatherley,Batter,Dubai Capitals
Gulbadin Naib,Batting Allrounder,Dubai Capitals
Scott Kuggeleijn,Bowling Allrounder,Dubai Capitals
Brandon McMullen,Batting Allrounder,Dubai Capitals
Dasun Shanaka,Allrounder,Dubai Capitals
Sharafuddin Ashraf,Allrounder,Dubai Capitals
Sikandar Raza,Batting Allrounder,Dubai Capitals
Akif Raja,Bowler,Dubai Capitals
Dushmantha Chameera,Bowler,Dubai Capitals
Farhan Khan,Bowler,Dubai Capitals
Haider Ali,Bowler,Dubai Capitals
Obed McCoy,Bowler,Dubai Capitals
Garuka Sanketh,Bowler,Dubai Capitals
Olly Stone,Bowler,Dubai Capitals
Jeffrey Vandersay,Bowler,Dubai Capitals
Zahir Khan,Bowler,Dubai Capitals
Ayman Ahamed,,Dubai Capitals
Shahrukh Ahmed,,Dubai Capitals
Zeeshan Naseer,,Dubai Capitals
James Vince,Batter,Gulf Giants
Dipendra Singh Airee,Middle order Batter,Gulf Giants
Tom Alsop,Wicketkeeper Batter,Gulf Giants
Jordan Cox,Wicketkeeper Batter,Gulf Giants
Tim David,Middle order Batter,Gulf Giants
Shimron Hetmyer,Middle order Batter,Gulf Giants
Ibrahim Zadran,Opening Batter,Gulf Giants
Adam Lyth,Batter,Gulf Giants
Ollie Robinson,Wicketkeeper Batter,Gulf Giants
Jamie Smith,Wicketkeeper Batter,Gulf Giants
Aayan Afzal Khan,Bowling Allrounder,Gulf Giants
Mark Adair,Bowling Allrounder,Gulf Giants
Tom Curran,Allrounder,Gulf Giants
Dominic Drakes,Bowling Allrounder,Gulf Giants
Gerhard Erasmus,Allrounder,Gulf Giants
Dushan Hemantha,Allrounder,Gulf Giants
Jamie Overton,Bowling Allrounder,Gulf Giants
Rehan Ahmed,Bowling Allrounder,Gulf Giants
Chris Jordan,Bowler,Gulf Giants
Tymal Mills,Bowler,Gulf Giants
Blessing Muzarabani,Bowler,Gulf Giants
Saghir Khan,Bowler,Gulf Giants
Daniel Worrall,Bowler,Gulf Giants
Muhammad Zuhaib,Bowler,Gulf Giants
Uzair Khan,,Gulf Giants
Wahidullah Zadran,,Gulf Giants
Nicholas Pooran,Wicketkeeper Batter,MI Emirates
Aryan Lakra,Batter,MI Emirates
Tom Banton,Wicketkeeper Batter,MI Emirates
Ben Charlesworth,Middle order Batter,MI Emirates
Andre Fletcher,Top order Batter,MI Emirates
Muhammad Waseem,Opening Batter,MI Emirates
Kusal Perera,Wicketkeeper Batter,MI Emirates
Dan Mousley,Batting Allrounder,MI Emirates
Kieron Pollard,Batting Allrounder,MI Emirates
Romario Shepherd,Bowling Allrounder,MI Emirates
Jordan Thompson,Bowling Allrounder,MI Emirates
Fareed Ahmad,Bowler,MI Emirates
Fazalhaq Farooqi,Bowler,MI Emirates
AM Ghazanfar,Bowler,MI Emirates
Akeal Hosein,Bowler,MI Emirates
Alzarri Joseph,Bowler,MI Emirates
Nosthush Kenjige,Bowler,MI Emirates
Muhammad Rohid,Bowler,MI Emirates
Waqar Salamkheil,Bowler,MI Emirates
Zahoor Khan,Bowler,MI Emirates
Thomas Draca,,MI Emirates
Johnson Charles,Wicketkeeper Batter,Sharjah Warriorz
Ethan D'Souza,Batter,Sharjah Warriorz
Avishka Fernando,Opening Batter,Sharjah Warriorz
Tom Kohler-Cadmore,Wicketkeeper Batter,Sharjah Warriorz
Bhanuka Rajapaksa,Top order Batter,Sharjah Warriorz
Rohan Mustafa,Top order Batter,Sharjah Warriorz
Jason Roy,Opening Batter,Sharjah Warriorz
Tim Seifert,Wicketkeeper Batter,Sharjah Warriorz
Matthew Wade,Wicketkeeper Batter,Sharjah Warriorz
Luke Wells,Top order Batter,Sharjah Warriorz
Kusal Mendis,Wicketkeeper Batter,Sharjah Warriorz
Moeen Ali,Batting Allrounder,Sharjah Warriorz
Harmeet Singh,Bowling Allrounder,Sharjah Warriorz
Karim Janat,Batting Allrounder,Sharjah Warriorz
Keemo Paul,Allrounder,Sharjah Warriorz
Daniel Sams,Allrounder,Sharjah Warriorz
Virandeep Singh,Allrounder,Sharjah Warriorz
Tim Southee,Bowler,Sharjah Warriorz
Ashton Agar,Bowler,Sharjah Warriorz
Gus Atkinson,Bowler,Sharjah Warriorz
Peter Hatzoglou,Bowler,Sharjah Warriorz
Junaid Siddique,Bowler,Sharjah Warriorz
Dilshan Madushanka,Bowler,Sharjah Warriorz
Traveen Mathew,Bowler,Sharjah Warriorz
Adam Milne,Bowler,Sharjah Warriorz
Muhammad Jawadullah,Bowler,Sharjah Warriorz
Adam Zampa,Bowler,Sharjah Warriorz
Adil Rashid,Bowler,Sharjah Warriorz
