Player,Span,Team,Country,SR,Bowling Style
Adhitya Shetty,2024-2024,Desert Vipers,,0,Legbreak
Ali Khan,2023-2025,Desert Vipers,United States of America,93.2,Medium
FA Allen,2024-2024,Desert Vipers,West Indies,141.6,Orthodox
KIC Asalanka,2023-2025,Desert Vipers,Sri Lanka,127.7,Offbreak
RS Bopara,2024-2024,Desert Vipers,England,124.5,Medium
RL Chase,2025-2025,Desert Vipers,West Indies,126.0,Offbreak
JM Clarke,2023-2025,Desert Vipers,Perth Scorchers,144.3,
M de Lange,2023-2024,Desert Vipers,South Africa,129.8,Fast
DM de Silva,2023-2023,Desert Vipers,Sri Lanka,120.2,Offbreak
C Esterhuizen,2023-2023,Desert Vipers,Abu Dhabi Knight Riders,116.0,
LJ Evans,2024-2025,Desert Vipers,Perth Scorchers,138.3,Medium
Fahad Nawaz,2023-2023,Desert Vipers,Abu Dhabi Knight Riders,25.0,Orthodox
AGS Gous,2024-2025,Desert Vipers,United States of America,137.4,
SR Hain,2024-2024,Desert Vipers,Brisbane Heat,134.1,Offbreak
T Hinds,2025-2025,Desert Vipers,West Indies,148.5,Medium
JO Holder,2025-2025,Desert Vipers,West Indies,137.0,Medium
AJ Hosein,2023-2023,Desert Vipers,West Indies,110.1,Orthodox
Ibrar Ahmad,2025-2025,Desert Vipers,Hungary,100.0,Medium
Imad Wasim,2024-2024,Desert Vipers,Pakistan,124.1,Orthodox
CA Ingram,2023-2023,Desert Vipers,South Africa,140.9,
S Kalyan,2024-2024,Desert Vipers,Abu Dhabi Knight Riders,47.1,Medium
BA King,2023-2023,Desert Vipers,West Indies,132.5,
CBRLS Kumara,2023-2023,Desert Vipers,Sri Lanka,73.2,Medium
K Lewis,2023-2023,Desert Vipers,Chattogram Challengers,125.0,
JB Lintott,2024-2024,Desert Vipers,Fortune Barishal,105.5,Chinaman
JB Little,2024-2024,Desert Vipers,Ireland,82.3,Fast
Matiullah Khan,2023-2024,Desert Vipers,United Arab Emirates,43.5,Medium
KR Mayers,2025-2025,Desert Vipers,West Indies,135.3,Medium
G Motie,2025-2025,Desert Vipers,West Indies,114.5,Orthodox
SP Narine,2023-2025,Desert Vipers,West Indies,148.8,Offbreak
MS Pepper,2024-2025,Desert Vipers,Abu Dhabi Knight Riders,150.1,
R Rampaul,2023-2023,Desert Vipers,West Indies,99.1,Medium
RA Reifer,2023-2023,Desert Vipers,West Indies,109.6,Medium
JJ Roy,2024-2024,Desert Vipers,England,140.0,
AD Russell,2023-2025,Desert Vipers,West Indies,167.6,Fast
Sabir Ali,2023-2024,Desert Vipers,United Arab Emirates,0.0,Medium
PD Salt,2025-2025,Desert Vipers,England,155.9,Offbreak
Shahid Bhutta,2025-2025,Desert Vipers,Abu Dhabi Knight Riders,33.3,Medium
A Sharafu,2024-2025,Desert Vipers,United Arab Emirates,129.7,Medium
PR Stirling,2023-2023,Desert Vipers,Ireland,141.4,Offbreak
V Viyaskanth,2025-2025,Desert Vipers,Sri Lanka,79.4,Legbreak
DJ Willey,2024-2025,Desert Vipers,England,135.9,Medium
Zawar Farid,2023-2023,Desert Vipers,United Arab Emirates,105.1,Medium
Ali Naseer,2023-2025,Dubai Capitals,United Arab Emirates,122.9,Medium
Aryan Lakra,2024-2024,Dubai Capitals,United Arab Emirates,105.4,Orthodox
AAP Atkinson,2023-2023,Dubai Capitals,England,93.1,Medium
Azam Khan,2024-2025,Dubai Capitals,Pakistan,143.9,
SW Billings,2023-2023,Dubai Capitals,England,134.3,
LD Chandimal,2024-2024,Dubai Capitals,Sri Lanka,121.4,Offbreak
SS Cottrell,2023-2024,Dubai Capitals,West Indies,118.3,Medium
SM Curran,2024-2025,Dubai Capitals,England,137.5,Medium
TK Curran,2023-2023,Dubai Capitals,England,143.5,Medium
BFW de Leede,2024-2024,Dubai Capitals,Netherlands,106.0,Medium
Fakhar Zaman,2025-2025,Dubai Capitals,Pakistan,135.4,Orthodox
LH Ferguson,2025-2025,Dubai Capitals,New Zealand,116.2,Fast
AD Hales,2023-2025,Dubai Capitals,England,146.0,Medium
PW Hasaranga,2023-2025,Dubai Capitals,Sri Lanka,144.8,Legbreak
MDE Holden,2025-2025,Dubai Capitals,Dubai Capitals,142.5,Offbreak
AJ Hose,2024-2025,Dubai Capitals,Adelaide Strikers,141.1,Medium
BAC Howell,2023-2023,Dubai Capitals,Melbourne Renegades,137.3,Medium
MA Jones,2024-2025,Dubai Capitals,Scotland,131.8,Offbreak
Khuzaima Tanveer,2025-2025,Dubai Capitals,Dubai Capitals,164.7,Fast
DW Lawrence,2024-2025,Dubai Capitals,Brisbane Heat,141.9,Offbreak
JB Lintott,2023-2023,Dubai Capitals,Fortune Barishal,105.5,Chinaman
A Lyth,2023-2023,Dubai Capitals,Perth Scorchers,144.8,Medium
TS Mills,2023-2024,Dubai Capitals,England,105.9,Fast
Mohammad Amir,2024-2025,Dubai Capitals,Pakistan,103.4,Fast
C Munro,2023-2024,Dubai Capitals,New Zealand,140.1,Medium
D Parashar,2025-2025,Dubai Capitals,United Arab Emirates,96.2,
M Pathirana,2023-2024,Dubai Capitals,Sri Lanka,55.2,Medium
DA Payne,2025-2025,Dubai Capitals,Perth Scorchers,114.3,Medium
Rahmanullah Gurbaz,2025-2025,Dubai Capitals,Afghanistan,142.7,
Rohan Mustafa,2023-2024,Dubai Capitals,United Arab Emirates,117.6,Offbreak
SE Rutherford,2023-2025,Dubai Capitals,West Indies,138.4,Medium
PD Salt,2024-2024,Dubai Capitals,England,155.9,Offbreak
Shadab Khan,2024-2024,Dubai Capitals,Pakistan,136.5,Legbreak
Shaheen Shah Afridi,2024-2024,Dubai Capitals,Pakistan,133.1,Medium
Shiraz Ahmed,2023-2023,Dubai Capitals,Sylhet Sunrisers,175.0,Medium
