Team,Country,Player Name,Role,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Chennai Super Kings,India,MS Dhoni,Wicketkeeper Batter,7628,84*,37.57,0,0,-,-,0,230,92,-,135
Chennai Super Kings,India,C Andre Siddarth,Batter,,,,,,,,,,,,104.9
Chennai Super Kings,South Africa,Dewald Brevis,Middle order Batter,2518,162,28.94,2,18,19-Feb,21.27,0,53,0,7.66,154.9
Chennai Super Kings,New Zealand,Devon Conway,Wicketkeeper Batter,6726,105*,40.27,2,3,10-Jan,47,0,96,9,-6.72,132.6
Chennai Super Kings,India,Urvil Patel,Wicketkeeper Batter,1230,115*,26.17,2,-,-,-,-,37,6,-,187.5
Chennai Super Kings,India,Shaik Rasheed,Batter,423,100*,24.88,1,1,18-Jan,50,0,11,0,-25.11,111.6
Chennai Super Kings,India,Rahul Tripathi,Top order Batter,3644,93,25.3,0,12,27-May,23.75,1,71,0,1.55,139
Chennai Super Kings,India,Vansh Bedi,Wicketkeeper Batter,,,,,,,,,,,,0
Chennai Super Kings,India,Ruturaj Gaikwad,Batter,4996,123*,39.33,6,-,-,-,-,73,4,-,139.1
Chennai Super Kings,India,Ravichandran Ashwin,Bowling Allrounder,1233,50,14.5,0,317,8-Apr,26.94,0,79,0,-12.44,129.8
Chennai Super Kings,England,Sam Curran,Allrounder,4882,102*,24.65,1,291,10-May,28.03,4,118,0,-3.37,137.7
Chennai Super Kings,India,Shivam Dube,Allrounder,3483,95*,30.82,0,59,4-Mar,31.22,0,55,0,-0.39,141.7
Chennai Super Kings,India,Ramakrishna Ghosh,Bowling Allrounder,30,13*,7.5,0,1,Jan-58,174,0,2,0,-166.49,0
Chennai Super Kings,India,Shreyas Gopal,Allrounder,526,48*,16.43,0,124,11-May,19.46,3,28,0,-3.03,111.9
Chennai Super Kings,India,Deepak Hooda,Allrounder,3667,108,23.96,2,27,10-Apr,43.44,0,102,0,-19.47,133.5
Chennai Super Kings,India,Ravindra Jadeja,Allrounder,3985,77*,26.39,0,235,16-May,30.85,1,141,0,-4.46,130.6
Chennai Super Kings,India,Ayush Mhatre,Batting Allrounder,,,,,,,,,,,,189
Chennai Super Kings,India,Vijay Shankar,Allrounder,2454,69*,26.67,0,36,12-Mar,33.02,0,68,0,-6.35,131
Chennai Super Kings,England,Jamie Overton,Bowling Allrounder,1687,83*,20.57,0,133,May-47,27.2,1,95,0,-6.62,157.5
Chennai Super Kings,New Zealand,Rachin Ravindra,Batting Allrounder,1833,70,20.36,0,65,11-Apr,22.04,0,49,0,-1.67,139.7
Chennai Super Kings,India,Khaleel Ahmed,Bowler,11,3*,1.57,0,159,18-May,25.15,1,21,0,-23.58,28
Chennai Super Kings,India,Anshul Kamboj,Bowler,66,17,13.2,0,34,12-Mar,20.26,0,10,0,-7.06,96.2
Chennai Super Kings,India,Mukesh Choudhary,Bowler,32,11*,10.66,0,48,Apr-33,23.62,0,4,0,-12.95,100
Chennai Super Kings,India,Kamlesh Nagarkoti,Bowler,109,39*,9.9,0,29,14-Mar,27.06,0,11,0,-17.15,65.8
Chennai Super Kings,Afghanistan,Noor Ahmad,Bowler,227,20,6.13,0,211,11-May,21.6,2,40,0,-15.46,96.6
Chennai Super Kings,Sri Lanka,Matheesha Pathirana,Bowler,38,8,3.8,0,132,20-Apr,21.46,0,26,0,-17.66,55.2
Chennai Super Kings,Australia,Nathan Ellis,Bowler,489,40,10.86,0,203,6-Apr,23.64,0,59,0,-12.77,111.2
Chennai Super Kings,India,Gurjapneet Singh,Bowler,4857,83,25.69,0,80,29-Apr,24.86,0,53,0,0.83,149.2
Delhi Capitals,South Africa,Faf du Plessis,Middle order Batter,11906,120*,32.88,8,50,19-May,18.34,2,211,0,14.54,139.2
Delhi Capitals,India,Abishek Porel,Wicketkeeper Batter,1257,81,29.92,0,-,-,-,-,16,1,-,149.1
Delhi Capitals,India,Karun Nair,Top order Batter,3660,111,26.33,2,4,2-Jan,25,0,68,0,1.33,133.4
Delhi Capitals,India,KL Rahul,Wicketkeeper Batter,8125,132*,42.53,7,-,-,-,-,115,10,-,136.8
Delhi Capitals,India,Sameer Rizvi,Batter,601,75*,33.38,0,-,-,-,-,10,0,-,136.9
Delhi Capitals,Afghanistan,Sediqullah Atal,Opening Batter,2272,95*,34.42,0,-,-,-,-,29,0,-,122.8
Delhi Capitals,South Africa,Tristan Stubbs,Batter,2999,80*,32.24,0,11,6-Feb,29.9,0,85,4,2.33,144.2
Delhi Capitals,England,Harry Brook,Batter,3890,105*,33.53,3,1,13-Jan,26,0,95,0,7.53,151.4
Delhi Capitals,South Africa,Donovan Ferreira,Middle order Batter,2260,82*,28.97,0,20,23-Mar,31.3,0,71,8,-2.32,173.3
Delhi Capitals,Australia,Jake Fraser-McGurk,Batter,1689,95,20.34,0,0,-,-,0,48,0,-,150.3
Delhi Capitals,India,Axar Patel,Allrounder,3408,70*,23.66,0,250,21-Apr,27.66,0,127,0,-3.99,135.9
