Player,Span,Team
PW Hasaranga,2021-2023,Chennai Super Kings
VR Aaron,2014-2016,Chennai Super Kings
SA Abbott,2015-2015,Chennai Super Kings
Abdur Razzak,2008-2008,Chennai Super Kings
AD Nath,2019-2019,Chennai Super Kings
MA Agarwal,2011-2025,Chennai Super Kings
AN Ahmed,2014-2015,Chennai Super Kings
Akash Deep,2022-2024,Chennai Super Kings
B Akhil,2008-2010,Chennai Super Kings
MM Ali,2018-2020,Chennai Super Kings
CJ Anderson,2018-2018,Chennai Super Kings
Anuj Rawat,2022-2024,Chennai Super Kings
KP Appanna,2009-2012,Chennai Super Kings
S Aravind,2011-2017,Chennai Super Kings
KB Arun Karthik,2011-2013,Chennai Super Kings
J Arunkumar,2008-2008,Chennai Super Kings
M Ashwin,2018-2018,Chennai Super Kings
Avesh Khan,2017-2017,Chennai Super Kings
S Badree,2017-2017,Chennai Super Kings
JG Bethell,2025-2025,Chennai Super Kings
MS Bhandage,2025-2025,Chennai Super Kings
KS Bharat,2021-2021,Chennai Super Kings
RR Bhatkal,2012-2012,Chennai Super Kings
STR Binny,2016-2017,Chennai Super Kings
R Bishnoi,2009-2009,Chennai Super Kings
MS Bisla,2015-2015,Chennai Super Kings
MV Boucher,2008-2010,Chennai Super Kings
MG Bracewell,2023-2023,Chennai Super Kings
YS Chahal,2014-2021,Chennai Super Kings
S Chanderpaul,2008-2008,Chennai Super Kings
SD Chauhan,2024-2024,Chennai Super Kings
B Chipli,2008-2008,Chennai Super Kings
A Choudhary,2017-2017,Chennai Super Kings
DT Christian,2013-2021,Chennai Super Kings
MJ Dagar,2024-2024,Chennai Super Kings
TH David,2021-2025,Chennai Super Kings
C de Grandhomme,2018-2019,Chennai Super Kings
Q de Kock,2018-2018,Chennai Super Kings
AB de Villiers,2011-2021,Chennai Super Kings
TM Dilshan,2011-2013,Chennai Super Kings
AB Dinda,2014-2015,Chennai Super Kings
ND Doshi,2010-2010,Chennai Super Kings
R Dravid,2008-2010,Chennai Super Kings
S Dube,2019-2020,Chennai Super Kings
F du Plessis,2022-2024,Chennai Super Kings
D du Preez,2009-2009,Chennai Super Kings
LH Ferguson,2024-2024,Chennai Super Kings
AJ Finch,2020-2020,Chennai Super Kings
GHS Garton,2021-2021,Chennai Super Kings
CH Gayle,2011-2017,Chennai Super Kings
SP Goswami,2008-2010,Chennai Super Kings
C Green,2024-2024,Chennai Super Kings
Gurkeerat Singh,2019-2020,Chennai Super Kings
JR Hazlewood,2022-2025,Chennai Super Kings
TM Head,2016-2017,Chennai Super Kings
MC Henriques,2013-2013,Chennai Super Kings
SO Hetmyer,2019-2019,Chennai Super Kings
Iqbal Abdulla,2015-2017,Chennai Super Kings
WG Jacks,2024-2024,Chennai Super Kings
KM Jadhav,2016-2023,Chennai Super Kings
W Jaffer,2008-2009,Chennai Super Kings
SB Jakati,2014-2014,Chennai Super Kings
KA Jamieson,2021-2021,Chennai Super Kings
CJ Jordan,2016-2016,Chennai Super Kings
AS Joseph,2024-2024,Chennai Super Kings
SB Joshi,2008-2008,Chennai Super Kings
M Kaif,2011-2012,Chennai Super Kings
JH Kallis,2008-2010,Chennai Super Kings
KD Karthik,2015-2024,Chennai Super Kings
M Kartik,2013-2013,Chennai Super Kings
S Kaul,2022-2022,Chennai Super Kings
AA Kazi,2011-2011,Chennai Super Kings
SN Khan,2015-2018,Chennai Super Kings
Z Khan,2008-2013,Chennai Super Kings
K Khejroliya,2018-2019,Chennai Super Kings
H Klaasen,2019-2019,Chennai Super Kings
V Kohli,2008-2025,Chennai Super Kings
B Kumar,2025-2025,Chennai Super Kings
P Kumar,2008-2010,Chennai Super Kings
A Kumble,2008-2010,Chennai Super Kings
CK Langeveldt,2011-2011,Chennai Super Kings
LS Livingstone,2025-2025,Chennai Super Kings
