Player,Span,Team,Record Type
PW Hasaranga,2021-2023,Chennai Super Kings,Batting
VR Aaron,2014-2016,Chennai Super Kings,Batting
SA Abbott,2015-2015,Chennai Super Kings,Batting
Abdur Razzak,2008-2008,Chennai Super Kings,Batting
AD Nath,2019-2019,Chennai Super Kings,Batting
MA Agarwal,2011-2025,Chennai Super Kings,Batting
AN Ahmed,2014-2015,Chennai Super Kings,Batting
Akash Deep,2022-2024,Chennai Super Kings,Batting
B Akhil,2008-2010,Chennai Super Kings,Batting
MM Ali,2018-2020,Chennai Super Kings,Batting
CJ Anderson,2018-2018,Chennai Super Kings,Batting
Anuj Rawat,2022-2024,Chennai Super Kings,Batting
KP Appanna,2009-2012,Chennai Super Kings,Batting
S Aravind,2011-2017,Chennai Super Kings,Batting
KB Arun Karthik,2011-2013,Chennai Super Kings,Batting
J Arunkumar,2008-2008,Chennai Super Kings,Batting
M Ashwin,2018-2018,Chennai Super Kings,Batting
Avesh Khan,2017-2017,Chennai Super Kings,Batting
S Badree,2017-2017,Chennai Super Kings,Batting
JG Bethell,2025-2025,Chennai Super Kings,Batting
MS Bhandage,2025-2025,Chennai Super Kings,Batting
KS Bharat,2021-2021,Chennai Super Kings,Batting
RR Bhatkal,2012-2012,Chennai Super Kings,Batting
STR Binny,2016-2017,Chennai Super Kings,Batting
R Bishnoi,2009-2009,Chennai Super Kings,Batting
MS Bisla,2015-2015,Chennai Super Kings,Batting
MV Boucher,2008-2010,Chennai Super Kings,Batting
MG Bracewell,2023-2023,Chennai Super Kings,Batting
YS Chahal,2014-2021,Chennai Super Kings,Batting
S Chanderpaul,2008-2008,Chennai Super Kings,Batting
SD Chauhan,2024-2024,Chennai Super Kings,Batting
B Chipli,2008-2008,Chennai Super Kings,Batting
A Choudhary,2017-2017,Chennai Super Kings,Batting
DT Christian,2013-2021,Chennai Super Kings,Batting
MJ Dagar,2024-2024,Chennai Super Kings,Batting
TH David,2021-2025,Chennai Super Kings,Batting
C de Grandhomme,2018-2019,Chennai Super Kings,Batting
Q de Kock,2018-2018,Chennai Super Kings,Batting
AB de Villiers,2011-2021,Chennai Super Kings,Batting
TM Dilshan,2011-2013,Chennai Super Kings,Batting
AB Dinda,2014-2015,Chennai Super Kings,Batting
ND Doshi,2010-2010,Chennai Super Kings,Batting
R Dravid,2008-2010,Chennai Super Kings,Batting
S Dube,2019-2020,Chennai Super Kings,Batting
F du Plessis,2022-2024,Chennai Super Kings,Batting
D du Preez,2009-2009,Chennai Super Kings,Batting
LH Ferguson,2024-2024,Chennai Super Kings,Batting
AJ Finch,2020-2020,Chennai Super Kings,Batting
GHS Garton,2021-2021,Chennai Super Kings,Batting
CH Gayle,2011-2017,Chennai Super Kings,Batting
SP Goswami,2008-2010,Chennai Super Kings,Batting
C Green,2024-2024,Chennai Super Kings,Batting
Gurkeerat Singh,2019-2020,Chennai Super Kings,Batting
JR Hazlewood,2022-2025,Chennai Super Kings,Batting
TM Head,2016-2017,Chennai Super Kings,Batting
MC Henriques,2013-2013,Chennai Super Kings,Batting
SO Hetmyer,2019-2019,Chennai Super Kings,Batting
Iqbal Abdulla,2015-2017,Chennai Super Kings,Batting
WG Jacks,2024-2024,Chennai Super Kings,Batting
KM Jadhav,2016-2023,Chennai Super Kings,Batting
W Jaffer,2008-2009,Chennai Super Kings,Batting
SB Jakati,2014-2014,Chennai Super Kings,Batting
KA Jamieson,2021-2021,Chennai Super Kings,Batting
CJ Jordan,2016-2016,Chennai Super Kings,Batting
AS Joseph,2024-2024,Chennai Super Kings,Batting
SB Joshi,2008-2008,Chennai Super Kings,Batting
M Kaif,2011-2012,Chennai Super Kings,Batting
JH Kallis,2008-2010,Chennai Super Kings,Batting
KD Karthik,2015-2024,Chennai Super Kings,Batting
M Kartik,2013-2013,Chennai Super Kings,Batting
S Kaul,2022-2022,Chennai Super Kings,Batting
AA Kazi,2011-2011,Chennai Super Kings,Batting
SN Khan,2015-2018,Chennai Super Kings,Batting
Z Khan,2008-2013,Chennai Super Kings,Batting
K Khejroliya,2018-2019,Chennai Super Kings,Batting
H Klaasen,2019-2019,Chennai Super Kings,Batting
V Kohli,2008-2025,Chennai Super Kings,Batting
B Kumar,2025-2025,Chennai Super Kings,Batting
P Kumar,2008-2010,Chennai Super Kings,Batting
A Kumble,2008-2010,Chennai Super Kings,Batting
CK Langeveldt,2011-2011,Chennai Super Kings,Batting
LS Livingstone,2025-2025,Chennai Super Kings,Batting
MK Lomror,2022-2024,Chennai Super Kings,Batting
BB McCullum,2018-2018,Chennai Super Kings,Batting
AB McDonald,2012-2013,Chennai Super Kings,Batting
NJ Maddinson,2014-2015,Chennai Super Kings,Batting
Mandeep Singh,2015-2018,Chennai Super Kings,Batting
GJ Maxwell,2021-2024,Chennai Super Kings,Batting
TS Mills,2017-2017,Chennai Super Kings,Batting
AF Milne,2016-2017,Chennai Super Kings,Batting
Misbah-ul-Haq,2008-2008,Chennai Super Kings,Batting
A Mithun,2009-2013,Chennai Super Kings,Batting
Mohammed Siraj,2018-2024,Chennai Super Kings,Batting
EJG Morgan,2010-2010,Chennai Super Kings,Batting
JA Morkel,2014-2014,Chennai Super Kings,Batting
CH Morris,2020-2020,Chennai Super Kings,Batting
A Mukund,2013-2013,Chennai Super Kings,Batting
M Muralidaran,2012-2014,Chennai Super Kings,Batting
KK Nair,2013-2013,Chennai Super Kings,Batting
DP Nannes,2011-2011,Chennai Super Kings,Batting
P Negi,2017-2019,Chennai Super Kings,Batting
L Ngidi,2025-2025,Chennai Super Kings,Batting
R Ninan,2011-2011,Chennai Super Kings,Batting
AA Noffke,2008-2008,Chennai Super Kings,Batting
D Padikkal,2020-2025,Chennai Super Kings,Batting
MK Pandey,2009-2010,Chennai Super Kings,Batting
KH Pandya,2025-2025,Chennai Super Kings,Batting
Pankaj Singh,2009-2010,Chennai Super Kings,Batting
P Parameswaran,2012-2012,Chennai Super Kings,Batting
WD Parnell,2023-2023,Chennai Super Kings,Batting
Parvez Rasool,2016-2016,Chennai Super Kings,Batting
HV Patel,2012-2023,Chennai Super Kings,Batting
PA Patel,2014-2019,Chennai Super Kings,Batting
AUK Pathan,2011-2012,Chennai Super Kings,Batting
RM Patidar,2021-2025,Chennai Super Kings,Batting
DT Patil,2008-2008,Chennai Super Kings,Batting
JR Philippe,2020-2020,Chennai Super Kings,Batting
KP Pietersen,2009-2010,Chennai Super Kings,Batting
LA Pomersbach,2011-2011,Chennai Super Kings,Batting
SS Prabhudessai,2022-2024,Chennai Super Kings,Batting
CA Pujara,2011-2013,Chennai Super Kings,Batting
KL Rahul,2013-2016,Chennai Super Kings,Batting
R Rampaul,2013-2014,Chennai Super Kings,Batting
S Rana,2014-2014,Chennai Super Kings,Batting
Rasikh Salam,2025-2025,Chennai Super Kings,Batting
P Ray Barman,2019-2019,Chennai Super Kings,Batting
KW Richardson,2016-2021,Chennai Super Kings,Batting
RR Rossouw,2014-2015,Chennai Super Kings,Batting
SE Rutherford,2022-2022,Chennai Super Kings,Batting
JD Ryder,2009-2009,Chennai Super Kings,Batting
Sachin Baby,2016-2021,Chennai Super Kings,Batting
Shahbaz Ahmed,2020-2023,Chennai Super Kings,Batting
NA Saini,2019-2021,Chennai Super Kings,Batting
PD Salt,2025-2025,Chennai Super Kings,Batting
DJG Sammy,2015-2015,Chennai Super Kings,Batting
DR Sams,2021-2021,Chennai Super Kings,Batting
T Shamsi,2016-2016,Chennai Super Kings,Batting
H Sharma,2023-2024,Chennai Super Kings,Batting
JM Sharma,2025-2025,Chennai Super Kings,Batting
KV Sharma,2009-2024,Chennai Super Kings,Batting
R Shepherd,2025-2025,Chennai Super Kings,Batting
RP Singh,2013-2013,Chennai Super Kings,Batting
TG Southee,2018-2019,Chennai Super Kings,Batting
S Sriram,2010-2010,Chennai Super Kings,Batting
B Stanlake,2017-2017,Chennai Super Kings,Batting
MA Starc,2014-2015,Chennai Super Kings,Batting
DW Steyn,2008-2020,Chennai Super Kings,Batting
MP Stoinis,2019-2019,Chennai Super Kings,Batting
Suyash Sharma,2025-2025,Chennai Super Kings,Batting
Swapnil Singh,2024-2024,Chennai Super Kings,Batting
J Syed Mohammad,2011-2013,Chennai Super Kings,Batting
YV Takawale,2014-2014,Chennai Super Kings,Batting
LRPL Taylor,2008-2010,Chennai Super Kings,Batting
N Thushara,2025-2025,Chennai Super Kings,Batting
SS Tiwary,2011-2013,Chennai Super Kings,Batting
RJW Topley,2023-2024,Chennai Super Kings,Batting
I Udana,2020-2020,Chennai Super Kings,Batting
