Player,Span,Team,Country,SR,Bowling Style
PW Hasaranga,2021-2023,Chennai Super Kings,Sri Lanka,144.5,Legbreak
VR Aaron,2014-2016,Chennai Super Kings,Delhi Daredevils,74.7,Fast
SA Abbott,2015-2015,Chennai Super Kings,Australia,118.9,Medium
Abdur Razzak,2008-2008,Chennai Super Kings,Bangladesh,65.7,Orthodox
AD Nath,2019-2019,Chennai Super Kings,Gujarat Lions,92.0,Medium
MA Agarwal,2011-2025,Chennai Super Kings,Royal Challengers Bangalore,132.8,
AN Ahmed,2014-2015,Chennai Super Kings,Mumbai Indians,126.7,Medium
Akash Deep,2022-2024,Chennai Super Kings,Royal Challengers Bangalore,179.2,Medium
B Akhil,2008-2010,Chennai Super Kings,Royal Challengers Bangalore,138.2,Medium
MM Ali,2018-2020,Chennai Super Kings,England,139.7,Offbreak
CJ Anderson,2018-2018,Chennai Super Kings,New Zealand,131.0,Medium
Anuj Rawat,2022-2024,Chennai Super Kings,Rajasthan Royals,126.5,
KP Appanna,2009-2012,Chennai Super Kings,Royal Challengers Bangalore,50.0,Orthodox
S Aravind,2011-2017,Chennai Super Kings,India,99.2,Medium
KB Arun Karthik,2011-2013,Chennai Super Kings,Royal Challengers Bangalore,145.4,Legbreak
J Arunkumar,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,100.0,Offbreak
M Ashwin,2018-2018,Chennai Super Kings,Rising Pune Supergiants,106.0,Legbreak
Avesh Khan,2017-2017,Chennai Super Kings,India,147.6,Medium
S Badree,2017-2017,Chennai Super Kings,West Indies,80.6,Legbreak
JG Bethell,2025-2025,Chennai Super Kings,England,140.7,Orthodox
MS Bhandage,2025-2025,Chennai Super Kings,Royal Challengers Bengaluru,142.9,Medium
KS Bharat,2021-2021,Chennai Super Kings,Royal Challengers Bangalore,123.0,
RR Bhatkal,2012-2012,Chennai Super Kings,Royal Challengers Bangalore,105.9,Medium
STR Binny,2016-2017,Chennai Super Kings,India,130.9,Medium
R Bishnoi,2009-2009,Chennai Super Kings,Royal Challengers Bangalore,100.0,Medium
MS Bisla,2015-2015,Chennai Super Kings,Kolkata Knight Riders,116.5,
MV Boucher,2008-2010,Chennai Super Kings,South Africa,115.4,Medium
MG Bracewell,2023-2023,Chennai Super Kings,New Zealand,140.5,Offbreak
YS Chahal,2014-2021,Chennai Super Kings,India,45.7,Legbreak
S Chanderpaul,2008-2008,Chennai Super Kings,West Indies,108.2,Legbreak
SD Chauhan,2024-2024,Chennai Super Kings,Royal Challengers Bengaluru,132.3,Offbreak
B Chipli,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,111.6,Medium
A Choudhary,2017-2017,Chennai Super Kings,Royal Challengers Bangalore,114.3,Medium
DT Christian,2013-2021,Chennai Super Kings,Australia,137.9,Medium
MJ Dagar,2024-2024,Chennai Super Kings,Sunrisers Hyderabad,117.4,Orthodox
TH David,2021-2025,Chennai Super Kings,Singapore,161.9,Offbreak
C de Grandhomme,2018-2019,Chennai Super Kings,New Zealand,143.9,Medium
Q de Kock,2018-2018,Chennai Super Kings,South Africa,137.7,
AB de Villiers,2011-2021,Chennai Super Kings,South Africa,149.4,Medium
TM Dilshan,2011-2013,Chennai Super Kings,Sri Lanka,118.4,Offbreak
AB Dinda,2014-2015,Chennai Super Kings,India,66.2,Medium
ND Doshi,2010-2010,Chennai Super Kings,Royal Challengers Bangalore,0.0,Orthodox
R Dravid,2008-2010,Chennai Super Kings,India,113.9,Offbreak
S Dube,2019-2020,Chennai Super Kings,India,141.7,Medium
F du Plessis,2022-2024,Chennai Super Kings,South Africa,139.2,Legbreak
D du Preez,2009-2009,Chennai Super Kings,Eagles,114.6,Medium
LH Ferguson,2024-2024,Chennai Super Kings,New Zealand,116.2,Fast
AJ Finch,2020-2020,Chennai Super Kings,Australia,138.1,Orthodox
GHS Garton,2021-2021,Chennai Super Kings,England,134.6,Fast
CH Gayle,2011-2017,Chennai Super Kings,West Indies,144.1,Offbreak
SP Goswami,2008-2010,Chennai Super Kings,Kolkata Knight Riders,107.3,
C Green,2024-2024,Chennai Super Kings,Australia,151.1,Medium
Gurkeerat Singh,2019-2020,Chennai Super Kings,Kings XI Punjab,119.6,Offbreak
JR Hazlewood,2022-2025,Chennai Super Kings,Australia,89.0,Medium
TM Head,2016-2017,Chennai Super Kings,Australia,148.6,Offbreak
MC Henriques,2013-2013,Chennai Super Kings,Australia,128.0,Medium
SO Hetmyer,2019-2019,Chennai Super Kings,West Indies,142.4,Legbreak
Iqbal Abdulla,2015-2017,Chennai Super Kings,Kolkata Knight Riders,113.8,Orthodox
WG Jacks,2024-2024,Chennai Super Kings,England,155.6,Offbreak
KM Jadhav,2016-2023,Chennai Super Kings,India,122.2,Offbreak
W Jaffer,2008-2009,Chennai Super Kings,Royal Challengers Bangalore,107.4,Offbreak
SB Jakati,2014-2014,Chennai Super Kings,Chennai Super Kings,96.6,Orthodox
KA Jamieson,2021-2021,Chennai Super Kings,New Zealand,130.5,Medium
CJ Jordan,2016-2016,Chennai Super Kings,England,134.2,Medium
AS Joseph,2024-2024,Chennai Super Kings,West Indies,107.1,Medium
SB Joshi,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,42.9,Orthodox
M Kaif,2011-2012,Chennai Super Kings,Royal Challengers Bangalore,104.1,Offbreak
JH Kallis,2008-2010,Chennai Super Kings,South Africa,112.7,Medium
KD Karthik,2015-2024,Chennai Super Kings,India,136.8,
M Kartik,2013-2013,Chennai Super Kings,India,103.7,Orthodox
S Kaul,2022-2022,Chennai Super Kings,India,55.6,Medium
AA Kazi,2011-2011,Chennai Super Kings,Royal Challengers Bangalore,,Orthodox
SN Khan,2015-2018,Chennai Super Kings,Royal Challengers Bangalore,128.9,Offbreak
Z Khan,2008-2013,Chennai Super Kings,India,85.5,Medium
K Khejroliya,2018-2019,Chennai Super Kings,Royal Challengers Bangalore,,Medium
H Klaasen,2019-2019,Chennai Super Kings,South Africa,155.2,None
V Kohli,2008-2025,Chennai Super Kings,India,134.7,MediumCricket equipment
B Kumar,2025-2025,Chennai Super Kings,India,88.7,Medium
P Kumar,2008-2010,Chennai Super Kings,India,108.4,Medium
A Kumble,2008-2010,Chennai Super Kings,Royal Challengers Bangalore,74.0,Legbreak
CK Langeveldt,2011-2011,Chennai Super Kings,South Africa,70.6,Medium
LS Livingstone,2025-2025,Chennai Super Kings,England,144.4,Legbreak
MK Lomror,2022-2024,Chennai Super Kings,Rajasthan Royals,139.4,Orthodox
BB McCullum,2018-2018,Chennai Super Kings,New Zealand,135.1,Medium
AB McDonald,2012-2013,Chennai Super Kings,Melbourne Renegades,115.3,Medium
NJ Maddinson,2014-2015,Chennai Super Kings,Australia,123.2,Orthodox
Mandeep Singh,2015-2018,Chennai Super Kings,India,124.8,Orthodox
GJ Maxwell,2021-2024,Chennai Super Kings,Australia,154.9,Offbreak
TS Mills,2017-2017,Chennai Super Kings,England,105.9,Fast
AF Milne,2016-2017,Chennai Super Kings,New Zealand,112.8,Fast
Misbah-ul-Haq,2008-2008,Chennai Super Kings,Pakistan,112.3,Legbreak
A Mithun,2009-2013,Chennai Super Kings,Royal Challengers Bangalore,108.1,Medium
Mohammed Siraj,2018-2024,Chennai Super Kings,India,90.6,Medium
EJG Morgan,2010-2010,Chennai Super Kings,England,130.9,Medium
JA Morkel,2014-2014,Chennai Super Kings,South Africa,139.2,Medium
CH Morris,2020-2020,Chennai Super Kings,South Africa,146.3,Medium
A Mukund,2013-2013,Chennai Super Kings,Chennai Super Kings,117.1,Legbreak
M Muralidaran,2012-2014,Chennai Super Kings,,0,Offbreak
KK Nair,2013-2013,Chennai Super Kings,Royal Challengers Bangalore,133.4,Offbreak
DP Nannes,2011-2011,Chennai Super Kings,Netherlands,90.4,Fast
P Negi,2017-2019,Chennai Super Kings,India,124.1,Orthodox
L Ngidi,2025-2025,Chennai Super Kings,South Africa,77.5,Fast
R Ninan,2011-2011,Chennai Super Kings,Royal Challengers Bangalore,50.0,Offbreak
AA Noffke,2008-2008,Chennai Super Kings,Australia,90.0,Medium
D Padikkal,2020-2025,Chennai Super Kings,India,124.4,Offbreak
MK Pandey,2009-2010,Chennai Super Kings,India,122.0,Offbreak
KH Pandya,2025-2025,Chennai Super Kings,India,131.1,Orthodox
Pankaj Singh,2009-2010,Chennai Super Kings,Rajasthan Royals,58.3,Medium
P Parameswaran,2012-2012,Chennai Super Kings,Kochi Tuskers Kerala,50.0,Medium
WD Parnell,2023-2023,Chennai Super Kings,South Africa,114.8,Medium
Parvez Rasool,2016-2016,Chennai Super Kings,India,90.0,Offbreak
HV Patel,2012-2023,Chennai Super Kings,India,124.6,Medium
PA Patel,2014-2019,Chennai Super Kings,India,120.5,
AUK Pathan,2011-2012,Chennai Super Kings,Royal Challengers Bangalore,169.6,Medium
RM Patidar,2021-2025,Chennai Super Kings,Royal Challengers Bangalore,156.7,Offbreak
DT Patil,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,100.0,
JR Philippe,2020-2020,Chennai Super Kings,Australia,133.5,
KP Pietersen,2009-2010,Chennai Super Kings,England,134.9,Offbreak
LA Pomersbach,2011-2011,Chennai Super Kings,Australia,130.5,Offbreak
SS Prabhudessai,2022-2024,Chennai Super Kings,Royal Challengers Bangalore,119.5,Medium
CA Pujara,2011-2013,Chennai Super Kings,Kolkata Knight Riders,105.5,Legbreak
KL Rahul,2013-2016,Chennai Super Kings,India,136.8,
R Rampaul,2013-2014,Chennai Super Kings,West Indies,99.1,Medium
S Rana,2014-2014,Chennai Super Kings,India Women,116.8,Offbreak
Rasikh Salam,2025-2025,Chennai Super Kings,Mumbai Indians,95.7,Medium
P Ray Barman,2019-2019,Chennai Super Kings,Royal Challengers Bangalore,77.8,Legbreak
KW Richardson,2016-2021,Chennai Super Kings,Australia,111.9,Medium
RR Rossouw,2014-2015,Chennai Super Kings,South Africa,147.9,Offbreak
SE Rutherford,2022-2022,Chennai Super Kings,West Indies,138.4,Medium
JD Ryder,2009-2009,Chennai Super Kings,New Zealand,138.6,Medium
Sachin Baby,2016-2021,Chennai Super Kings,Rajasthan Royals,130.0,Offbreak
Shahbaz Ahmed,2020-2023,Chennai Super Kings,India,121.5,Orthodox
NA Saini,2019-2021,Chennai Super Kings,India,91.2,Fast
PD Salt,2025-2025,Chennai Super Kings,England,155.9,Offbreak
DJG Sammy,2015-2015,Chennai Super Kings,West Indies,140.2,Medium
DR Sams,2021-2021,Chennai Super Kings,Australia,151.6,Medium
T Shamsi,2016-2016,Chennai Super Kings,South Africa,51.5,Chinaman
H Sharma,2023-2024,Chennai Super Kings,Royal Challengers Bangalore,,Legbreak
JM Sharma,2025-2025,Chennai Super Kings,India,157.0,
KV Sharma,2009-2024,Chennai Super Kings,India,126.1,Legbreak
R Shepherd,2025-2025,Chennai Super Kings,West Indies,155.5,Medium
RP Singh,2013-2013,Chennai Super Kings,India,83.0,Medium
TG Southee,2018-2019,Chennai Super Kings,New Zealand,131.5,Medium
S Sriram,2010-2010,Chennai Super Kings,Royal Challengers Bangalore,86.1,
B Stanlake,2017-2017,Chennai Super Kings,Australia,59.3,Fast
MA Starc,2014-2015,Chennai Super Kings,Australia,94.5,Fast
DW Steyn,2008-2020,Chennai Super Kings,South Africa,107.1,Fast
MP Stoinis,2019-2019,Chennai Super Kings,Australia,137.1,Medium
Suyash Sharma,2025-2025,Chennai Super Kings,Kolkata Knight Riders,,Legbreak
Swapnil Singh,2024-2024,Chennai Super Kings,Kings XI Punjab,129.0,Orthodox
J Syed Mohammad,2011-2013,Chennai Super Kings,Royal Challengers Bangalore,102.9,Orthodox
YV Takawale,2014-2014,Chennai Super Kings,Mumbai Indians,107.9,
LRPL Taylor,2008-2010,Chennai Super Kings,New Zealand,121.3,Offbreak
N Thushara,2025-2025,Chennai Super Kings,Sri Lanka,65.1,Medium
SS Tiwary,2011-2013,Chennai Super Kings,Mumbai Indians,120.5,
RJW Topley,2023-2024,Chennai Super Kings,England,96.2,Medium
I Udana,2020-2020,Chennai Super Kings,Sri Lanka,131.1,Medium
JD Unadkat,2013-2013,Chennai Super Kings,India,117.9,Medium
RV Uthappa,2009-2010,Chennai Super Kings,India,130.5,Medium
RE van der Merwe,2009-2010,Chennai Super Kings,South Africa,134.9,Orthodox
JJ van der Wath,2011-2011,Chennai Super Kings,South Africa,116.4,Medium
DL Vettori,2011-2012,Chennai Super Kings,New Zealand,110.0,Orthodox
R Vinay Kumar,2008-2013,Chennai Super Kings,India,112.0,Medium
Vishnu Vinod,2017-2017,Chennai Super Kings,Royal Challengers Bangalore,145.8,
M Vohra,2018-2018,Chennai Super Kings,Kings XI Punjab,131.1,Medium
V Vyshak,2023-2024,Chennai Super Kings,Royal Challengers Bangalore,100.0,Medium
Washington Sundar,2018-2021,Chennai Super Kings,India,128.9,Offbreak
SR Watson,2016-2017,Chennai Super Kings,Australia,138.3,Medium
CL White,2008-2010,Chennai Super Kings,Australia,121.1,Legbreak
D Wiese,2015-2016,Chennai Super Kings,South Africa,141.5,Medium
DJ Willey,2022-2023,Chennai Super Kings,England,135.9,Medium
CR Woakes,2018-2018,Chennai Super Kings,England,125.9,Medium
UT Yadav,2018-2020,Chennai Super Kings,India,102.2,Fast
Yash Dayal,2024-2025,Chennai Super Kings,Gujarat Titans,50.0,Medium
Yuvraj Singh,2014-2014,Chennai Super Kings,India,131.5,Orthodox
A Zampa,2020-2020,Chennai Super Kings,Australia,86.5,Legbreak
VH Zol,2014-2014,Chennai Super Kings,Royal Challengers Bangalore,111.5,Offbreak
S Ladda,2011-2013,Deccan Chargers,Delhi Daredevils,0.0,Legbreak
AB Agarkar,2008-2010,Deccan Chargers,India,118.1,Medium
MM Ali,2025-2025,Deccan Chargers,England,139.7,Offbreak
Aman Hakim Khan,2022-2022,Deccan Chargers,Kolkata Knight Riders,128.1,Offbreak
Anureet Singh,2009-2009,Deccan Chargers,Kings XI Punjab,91.2,Medium
VG Arora,2023-2025,Deccan Chargers,Punjab Kings,42.3,Medium
Azhar Mahmood,2015-2015,Deccan Chargers,Sydney Thunder,131.0,Medium
L Balaji,2011-2013,Deccan Chargers,India,73.7,Medium
SB Bangar,2009-2009,Deccan Chargers,Deccan Chargers,84.5,Medium
T Banton,2020-2020,Deccan Chargers,England,141.9,
R Bhatia,2011-2013,Deccan Chargers,Delhi Daredevils,113.3,Medium
SW Billings,2022-2022,Deccan Chargers,England,134.3,
MS Bisla,2011-2014,Deccan Chargers,Kolkata Knight Riders,116.5,
SE Bond,2010-2010,Deccan Chargers,New Zealand,95.7,Fast
J Botha,2015-2015,Deccan Chargers,South Africa,117.6,Offbreak
MV Boucher,2011-2011,Deccan Chargers,South Africa,115.4,Medium
TA Boult,2017-2017,Deccan Chargers,New Zealand,116.7,Medium
