Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Player,,,,,,,,,,,,
WA Agar,2017-2025,108,15,6.75,0,93,4/6,24.67,0,15,0,-17.92
FA Allen,2017-2025,1544,64*,17.54,0,100,4/24,27.46,0,68,0,-9.91
TD Andrews,2016-2025,98,37*,24.50,0,13,2/15,29.15,0,2,0,-4.65
JJ Bazley,2014-2025,442,49*,14.25,0,33,4/22,31.03,0,11,0,-16.77
AC Blizzard,2007-2018,2043,89,24.61,0,0,-,-,0,27,0,-
CJ Borgas,2006-2014,933,62*,21.20,0,0,-,-,0,28,0,-
J Botha,2004-2021,1991,67*,19.51,0,166,4/16,28.42,0,94,0,-8.90
CJ Boyce,,,,,,,,,,,,
DR Briggs,2010-2025,389,35*,13.41,0,311,5/19,21.46,1,50,0,-8.05
JS Buckingham,,,,,,,,,,,,
AT Carey,2017-2025,2466,101,28.02,2,-,-,-,-,79,17,-
IA Cockbain,2011-2022,3869,123,31.97,1,-,-,-,-,75,0,-
HNA Conway,,,,,,,,,,,,
TLW Cooper,2008-2022,2851,84*,21.43,0,21,2/7,29.04,0,79,0,-7.61
AJ Crosthwaite,2006-2012,363,52*,20.16,0,-,-,-,-,14,10,-
JR Dean,2013-2018,317,54*,19.81,0,-,-,-,-,5,0,-
C de Grandhomme,,,,,,,,,,,,
B Doggett,2017-2025,87,47*,10.87,0,43,5/35,28.74,1,15,0,-17.86
TP Doropoulos,,,,,,,,,,,,
BG Drew,,,,,,,,,,,,
DR Drew,,,,,,,,,,,,
BR Dunk,,,,,,,,,,,,
Fawad Ahmed,,,,,,,,,,,,
CJ Ferguson,,,,,,,,,,,,
JEC Franklin,,,,,,,,,,,,
GHS Garton,,,,,,,,,,,,
RJ Gibson,,,,,,,,,,,,
AD Hales,,,,,,,,,,,,
DJ Harris,,,,,,,,,,,,
L Haskett,,,,,,,,,,,,
TM Head,,,,,,,,,,,,
BJ Hodge,,,,,,,,,,,,
JM Holland,,,,,,,,,,,,
AJ Hose,,,,,,,,,,,,
PJ Hughes,,,,,,,,,,,,
HJ Hunt,,,,,,,,,,,,
CA Ingram,,,,,,,,,,,,
