Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
A Ayre,2016-2016,Melbourne Renegades,Melbourne Renegades,0.0,,0,0,0.00,0,-,-,-,-,0.0,0.0,-
A Flintoff,2014-2015,Brisbane Heat,England,125.9,Fast,683,93,22.76,0,39,4/12,21.20,0,19.0,0.0,1.56
A Lyth,2022-2023,Perth Scorchers,Perth Scorchers,144.8,Medium,4979,161,24.64,1,26,5/31,27.34,1,107.0,0.0,-2.69
A Zampa,2013-2015,Adelaide Strikers,Australia,86.5,Legbreak,310,23,5.96,0,386,6/19,21.53,3,43.0,0.0,-15.57
A Zampa,2023-2025,Melbourne Renegades,Australia,86.5,Legbreak,310,23,5.96,0,386,6/19,21.53,3,43.0,0.0,-15.57
A Zampa,2015-2023,Melbourne Stars,Australia,86.5,Legbreak,310,23,5.96,0,386,6/19,21.53,3,43.0,0.0,-15.57
AB McDonald,2011-2012,Melbourne Renegades,Melbourne Renegades,115.3,Medium,1743,96*,31.69,0,82,5/13,23.01,1,33.0,0.0,8.67
AB de Villiers,2020-2020,Brisbane Heat,South Africa,149.4,Medium,9424,133*,37.24,4,-,-,-,-,230.0,18.0,-
AC Agar,2013-2025,Perth Scorchers,Australia,118.4,Orthodox,1408,68,16.76,0,137,6/30,29.59,2,91.0,0.0,-12.83
AC Blizzard,2011-2012,Adelaide Strikers,Adelaide Strikers,123.6,Medium,2043,89,24.61,0,0,-,-,0,27.0,0.0,-
AC Blizzard,2012-2014,Hobart Hurricanes,Adelaide Strikers,123.6,Medium,2043,89,24.61,0,0,-,-,0,27.0,0.0,-
AC McDermott,2011-2015,Brisbane Heat,Brisbane Heat,50.0,Medium,7,5,1.75,0,29,4/37,23.10,0,7.0,0.0,-21.35
AC Thomas,2011-2012,Adelaide Strikers,South Africa,107.3,Medium,410,30*,12.05,0,263,5/24,21.81,1,67.0,0.0,-9.75
AC Thomas,2012-2014,Perth Scorchers,South Africa,107.3,Medium,410,30*,12.05,0,263,5/24,21.81,1,67.0,0.0,-9.75
AC Voges,2011-2012,Melbourne Stars,Australia,120.7,Orthodox,4064,82*,31.02,0,27,2/4,27.92,0,71.0,0.0,3.09
AC Voges,2012-2018,Perth Scorchers,Australia,120.7,Orthodox,4064,82*,31.02,0,27,2/4,27.92,0,71.0,0.0,3.09
AD Hales,2013-2014,Adelaide Strikers,England,146.0,Medium,,,,,,,,,,,
AD Hales,2014-2015,Hobart Hurricanes,England,146.0,Medium,,,,,,,,,,,
AD Hales,2013-2013,Melbourne Renegades,England,146.0,Medium,,,,,,,,,,,
AD Mascarenhas,2014-2014,Hobart Hurricanes,England,108.2,Medium,1356,57*,19.09,0,152,5/14,20.61,2,30.0,0.0,-1.51
AD Mascarenhas,2013-2013,Melbourne Stars,England,108.2,Medium,1356,57*,19.09,0,152,5/14,20.61,2,30.0,0.0,-1.51
AD Russell,2014-2022,Melbourne Renegades,West Indies,167.6,Fast,9449,121*,26.32,2,496,5/15,25.87,1,238.0,0.0,0.44
AD Russell,2021-2021,Melbourne Stars,West Indies,167.6,Fast,9449,121*,26.32,2,496,5/15,25.87,1,238.0,0.0,0.44
ADS Fletcher,2020-2021,Melbourne Stars,West Indies,124.4,Medium,8513,118,28.85,5,3,2/22,26.33,0,165.0,23.0,2.52
AF Milne,2024-2024,Melbourne Stars,New Zealand,112.8,Fast,498,22,11.06,0,247,5/11,23.54,3,53.0,0.0,-12.47
AG Harriott,2017-2017,Melbourne Renegades,,0,,-,-,-,-,-,-,-,-,2.0,0.0,-
AI Ross,2014-2025,Adelaide Strikers,Adelaide Strikers,126.8,Offbreak,2819,89*,28.19,0,-,-,-,-,55.0,0.0,-
AI Ross,2016-2019,Brisbane Heat,Adelaide Strikers,126.8,Offbreak,2819,89*,28.19,0,-,-,-,-,55.0,0.0,-
AJ Crosthwaite,2011-2012,Adelaide Strikers,Adelaide Strikers,106.7,Legbreak,363,52*,20.16,0,-,-,-,-,14.0,10.0,-
AJ Doolan,2017-2019,Hobart Hurricanes,Melbourne Renegades,109.8,,409,70*,17.04,0,-,-,-,-,18.0,0.0,-
AJ Doolan,2013-2015,Melbourne Renegades,Melbourne Renegades,109.8,,409,70*,17.04,0,-,-,-,-,18.0,0.0,-
AJ Finch,2011-2024,Melbourne Renegades,Australia,138.1,Orthodox,11458,172,33.60,8,7,1/9,52.71,0,164.0,0.0,-19.11
AJ Hose,2022-2024,Adelaide Strikers,Adelaide Strikers,141.1,Medium,,,,,,,,,,,
