Player,Span,Team,Country,SR,Bowling Style
SA Abbott,2024-2024,Birmingham Phoenix,Australia,118.9,Medium
TB Abell,2021-2021,Birmingham Phoenix,Brisbane Heat,133.5,Medium
MM Ali,2021-2024,Birmingham Phoenix,England,139.7,Offbreak
FH Allen,2021-2021,Birmingham Phoenix,New Zealand,173.1,
DG Bedingham,2021-2021,Birmingham Phoenix,Cape Town Blitz,133.2,
DJ Bell-Drummond,2021-2021,Birmingham Phoenix,Rajshahi Kings,137.4,Medium
CG Benjamin,2021-2023,Birmingham Phoenix,Sharjah Warriors,136.7,Medium
JG Bethell,2023-2025,Birmingham Phoenix,England,140.7,Orthodox
TA Boult,2025-2025,Birmingham Phoenix,New Zealand,116.7,Medium
HJH Brookes,2022-2022,Birmingham Phoenix,Birmingham Phoenix (Men),124.4,Medium
PR Brown,2021-2021,Birmingham Phoenix,England,69.8,Medium
SG Budinger,2022-2022,Birmingham Phoenix,Birmingham Phoenix (Men),148.5,
JM Clarke,2025-2025,Birmingham Phoenix,Perth Scorchers,144.3,
CB Cooke,2021-2021,Birmingham Phoenix,Birmingham Phoenix (Men),138.4,
BL D'Oliveira,2022-2022,Birmingham Phoenix,Birmingham Phoenix (Men),128.4,Legbreak
AHT Donald,2024-2025,Birmingham Phoenix,Birmingham Phoenix (Men),157.1,Offbreak
BM Duckett,2023-2025,Birmingham Phoenix,England,140.6,Offbreak
BJ Dwarshuis,2022-2022,Birmingham Phoenix,Australia,143.3,Medium
JK Fuller,2024-2024,Birmingham Phoenix,Fortune Barishal,140.2,Fast
MAH Hammond,2021-2022,Birmingham Phoenix,Birmingham Phoenix (Men),133.7,Offbreak
TG Helm,2021-2024,Birmingham Phoenix,Gulf Giants,100.7,Medium
BAC Howell,2021-2025,Birmingham Phoenix,Melbourne Renegades,137.3,Medium
Imran Tahir,2021-2022,Birmingham Phoenix,South Africa,101.3,Legbreak
LPJ Kimber,2024-2025,Birmingham Phoenix,Birmingham Phoenix (Men),158.7,
