Team,Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Birmingham Phoenix,AF Milne,2021-2024,477.0,22,11.35,0.0,226.0,'5/11,24.02,2.0,51.0,0.0,-12.66
Birmingham Phoenix,AHT Donald,2024-2024,1340.0,84,19.7,0.0,0.0,0,0.0,0.0,42.0,0.0,0.0
Birmingham Phoenix,BAC Howell,2021-2024,3070.0,62*,22.74,0.0,231.0,'5/18,23.0,1.0,96.0,0.0,-0.26
Birmingham Phoenix,BJ Dwarshuis,2022-2022,845.0,66,18.36,0.0,183.0,'5/21,23.36,2.0,34.0,0.0,-4.99
Birmingham Phoenix,BL D'Oliveira,2022-2022,2375.0,71,23.98,0.0,83.0,'4/11,29.77,0.0,43.0,0.0,-5.78
Birmingham Phoenix,BM Duckett,2023-2024,5159.0,96,30.89,0.0,0.0,0,0.0,0.0,98.0,2.0,0.0
Birmingham Phoenix,CB Cooke,2021-2021,2797.0,113*,23.5,1.0,0.0,0,0.0,0.0,98.0,17.0,0.0
Birmingham Phoenix,CG Benjamin,2021-2023,962.0,68*,20.46,0.0,0.0,0,0.0,0.0,32.0,1.0,0.0
Birmingham Phoenix,CP Wood,2024-2024,554.0,31,11.54,0.0,214.0,'5/32,26.41,1.0,47.0,0.0,-14.86
Birmingham Phoenix,CR Woakes,2023-2023,1031.0,57*,20.21,0.0,177.0,'4/21,25.24,0.0,64.0,0.0,-5.02
Birmingham Phoenix,DG Bedingham,2021-2021,1624.0,78,21.36,0.0,0.0,0,0.0,0.0,18.0,1.0,0.0
Birmingham Phoenix,DJ Bell-Drummond,2021-2021,4722.0,112*,30.86,2.0,5.0,'2/19,38.2,0.0,53.0,0.0,-7.33
Birmingham Phoenix,DR Mousley,2022-2024,1185.0,68,20.78,0.0,57.0,'4/28,19.87,0.0,44.0,0.0,0.91
Birmingham Phoenix,DY Pennington,2021-2021,68.0,10*,7.55,0.0,55.0,'4/9,28.76,0.0,19.0,0.0,-21.2
Birmingham Phoenix,FH Allen,2021-2021,4029.0,137,28.37,3.0,0.0,0,0.0,0.0,68.0,2.0,0.0
Birmingham Phoenix,HJH Brookes,2022-2022,195.0,31*,11.47,0.0,63.0,'5/25,27.09,1.0,14.0,0.0,-15.62
Birmingham Phoenix,Imran Tahir,2021-2022,377.0,23,8.56,0.0,533.0,'5/23,19.95,4.0,104.0,0.0,-11.38
Birmingham Phoenix,JG Bethell,2023-2024,1194.0,87,24.87,0.0,11.0,'2/5,26.9,0.0,34.0,0.0,-2.03
Birmingham Phoenix,JK Fuller,2024-2024,1893.0,57,20.13,0.0,173.0,'6/28,25.84,1.0,81.0,0.0,-5.7
Birmingham Phoenix,JL Smith,2023-2024,1382.0,87,23.42,0.0,0.0,0,0.0,0.0,48.0,10.0,0.0
Birmingham Phoenix,KW Richardson,2022-2023,404.0,45,11.22,0.0,240.0,'4/22,23.45,0.0,77.0,0.0,-12.22
Birmingham Phoenix,LPJ Kimber,2024-2024,539.0,59*,19.96,0.0,1.0,'1/23,97.0,0.0,20.0,0.0,-77.03
Birmingham Phoenix,LS Livingstone,2021-2024,6859.0,103,27.54,2.0,130.0,'4/17,26.45,0.0,122.0,0.0,1.09
Birmingham Phoenix,MAH Hammond,2021-2022,2193.0,80,22.37,0.0,0.0,0,0.0,0.0,58.0,0.0,0.0
Birmingham Phoenix,MM Ali,2021-2024,7140.0,121*,24.12,3.0,249.0,'5/34,24.73,1.0,117.0,0.0,-0.61
Birmingham Phoenix,MS Wade,2022-2022,5267.0,130*,26.73,1.0,0.0,0,0.0,0.0,150.0,20.0,0.0
Birmingham Phoenix,PR Brown,2021-2021,64.0,10*,8.0,0.0,127.0,'4/21,23.88,0.0,32.0,0.0,-15.88
Birmingham Phoenix,RK Patel,2024-2024,1234.0,104,23.28,2.0,0.0,0,0.0,0.0,17.0,0.0,0.0
Birmingham Phoenix,SA Abbott,2024-2024,929.0,110*,11.91,1.0,250.0,'5/16,20.88,2.0,100.0,0.0,-8.97
Birmingham Phoenix,SG Budinger,2022-2022,303.0,50,13.17,0.0,2.0,'2/21,10.5,0.0,7.0,0.0,2.67
Birmingham Phoenix,Shadab Khan,2023-2023,3263.0,91,18.33,0.0,336.0,'5/28,24.01,1.0,115.0,0.0,-5.68
Birmingham Phoenix,T Sangha,2022-2023,36.0,17*,9.0,0.0,68.0,'4/14,20.01,0.0,14.0,0.0,-11.01
Birmingham Phoenix,TB Abell,2021-2021,3277.0,101*,30.06,1.0,2.0,'1/11,50.0,0.0,84.0,0.0,-19.93
Birmingham Phoenix,TG Helm,2021-2024,275.0,28*,11.95,0.0,109.0,'5/11,27.0,1.0,22.0,0.0,-15.04
Birmingham Phoenix,TG Southee,2024-2024,921.0,74,10.96,0.0,343.0,'6/16,24.3,4.0,131.0,0.0,-13.34
