Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
A Kumble,2008-2010,Chennai Super Kings,Royal Challengers Bangalore,74.0,Legbreak,46,8,11.50,0,57,5/5,24.36,1,15.0,0.0,-12.86
AA Noffke,2008-2008,Chennai Super Kings,Australia,90.0,Medium,,,,,,,,,,,
Abdur Razzak,2008-2008,Chennai Super Kings,Bangladesh,65.7,Orthodox,207,36*,8.28,0,99,4/16,21.21,0,22.0,0.0,-12.93
B Akhil,2008-2010,Chennai Super Kings,Royal Challengers Bangalore,138.2,Medium,,,,,,,,,,,
B Chipli,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,111.6,Medium,453,61*,21.57,0,1,1/24,44.00,0,4.0,0.0,-22.42
CL White,2008-2010,Chennai Super Kings,Australia,121.1,Legbreak,5469,141*,30.72,2,26,4/10,27.23,0,98.0,0.0,3.49
DT Patil,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,100.0,,237,44,18.23,0,-,-,-,-,7.0,2.0,-
DW Steyn,2008-2020,Chennai Super Kings,South Africa,107.1,Fast,313,27*,8.45,0,263,4/9,22.00,0,55.0,0.0,-13.54
J Arunkumar,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,100.0,Offbreak,79,31,11.28,0,-,-,-,-,0.0,0.0,-
JH Kallis,2008-2010,Chennai Super Kings,South Africa,112.7,Medium,4416,97*,30.88,0,114,4/15,30.54,0,54.0,0.0,0.33
LRPL Taylor,2008-2010,Chennai Super Kings,New Zealand,121.3,Offbreak,6559,111*,30.64,1,8,3/28,35.00,0,123.0,0.0,-4.35
MV Boucher,2008-2010,Chennai Super Kings,South Africa,115.4,Medium,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,Chennai Super Kings,Pakistan,112.3,Legbreak,3491,107*,33.89,1,-,-,-,-,65.0,0.0,-
P Kumar,2008-2010,Chennai Super Kings,India,108.4,Medium,687,76*,12.26,0,143,3/18,32.16,0,22.0,0.0,-19.89
R Dravid,2008-2010,Chennai Super Kings,India,113.9,Offbreak,,,,,,,,,,,
R Vinay Kumar,2008-2013,Chennai Super Kings,India,112.0,Medium,861,68,15.37,0,194,4/4,25.09,0,59.0,0.0,-9.72
S Chanderpaul,2008-2008,Chennai Super Kings,West Indies,108.2,Legbreak,,,,,,,,,,,
SB Joshi,2008-2008,Chennai Super Kings,Royal Challengers Bangalore,42.9,Orthodox,,,,,,,,,,,
SP Goswami,2008-2010,Chennai Super Kings,Kolkata Knight Riders,107.3,,2437,86*,26.78,0,-,-,-,-,52.0,10.0,-
V Kohli,2008-2025,Chennai Super Kings,India,134.7,MediumCricket equipment,,122*,,9,,,,,,,
W Jaffer,2008-2009,Chennai Super Kings,Royal Challengers Bangalore,107.4,Offbreak,616,95,28.00,0,-,-,-,-,11.0,0.0,-
Z Khan,2008-2013,Chennai Super Kings,India,85.5,Medium,,,,,,,,,,,
A Mithun,2009-2013,Chennai Super Kings,Royal Challengers Bangalore,108.1,Medium,131,18*,5.95,0,69,5/37,28.72,2,23.0,0.0,-22.77
D du Preez,2009-2009,Chennai Super Kings,Eagles,114.6,Medium,682,46,20.05,0,82,4/25,24.87,0,26.0,0.0,-4.81
JD Ryder,2009-2009,Chennai Super Kings,New Zealand,138.6,Medium,,,,,,,,,,,
KP Appanna,2009-2012,Chennai Super Kings,Royal Challengers Bangalore,50.0,Orthodox,,,,,,,,,,,
KP Pietersen,2009-2010,Chennai Super Kings,England,134.9,Offbreak,5695,115*,33.89,3,17,3/33,31.41,0,66.0,0.0,2.48
KV Sharma,2009-2024,Chennai Super Kings,India,126.1,Legbreak,,,,,,,,,,,
MK Pandey,2009-2010,Chennai Super Kings,India,122.0,Offbreak,7100,129*,31.69,3,10,4/27,21.20,0,152.0,2.0,10.49
Pankaj Singh,2009-2010,Chennai Super Kings,Rajasthan Royals,58.3,Medium,,,,,,,,,,,
R Bishnoi,2009-2009,Chennai Super Kings,Royal Challengers Bangalore,100.0,Medium,1016,87*,19.92,0,0,-,-,0,25.0,0.0,-
RE van der Merwe,2009-2010,Chennai Super Kings,South Africa,134.9,Orthodox,,,,,,,,,,,
RV Uthappa,2009-2010,Chennai Super Kings,India,130.5,Medium,,,,,,,,,,,
EJG Morgan,2010-2010,Chennai Super Kings,England,130.9,Medium,,,,,,,,,,,
ND Doshi,2010-2010,Chennai Super Kings,Royal Challengers Bangalore,0.0,Orthodox,,,,,,,,,,,
S Sriram,2010-2010,Chennai Super Kings,Royal Challengers Bangalore,86.1,,,,,,,,,,,,
AA Kazi,2011-2011,Chennai Super Kings,Royal Challengers Bangalore,,Orthodox,,,,,,,,,,,
AB de Villiers,2011-2021,Chennai Super Kings,South Africa,149.4,Medium,,,,,,,,,,,
AUK Pathan,2011-2012,Chennai Super Kings,Royal Challengers Bangalore,169.6,Medium,656,87*,23.42,0,0,-,-,0,8.0,0.0,-
CA Pujara,2011-2013,Chennai Super Kings,Kolkata Knight Riders,105.5,Legbreak,1556,100*,29.35,1,-,-,-,-,37.0,0.0,-
CH Gayle,2011-2017,Chennai Super Kings,West Indies,144.1,Offbreak,14562,175*,36.22,22,83,4/22,31.54,0,104.0,0.0,4.68
CK Langeveldt,2011-2011,Chennai Super Kings,South Africa,70.6,Medium,82,14*,10.25,0,138,5/16,21.46,1,22.0,0.0,-11.21
DL Vettori,2011-2012,Chennai Super Kings,New Zealand,110.0,Orthodox,,,,,,,,,,,
DP Nannes,2011-2011,Chennai Super Kings,Netherlands,90.4,Fast,66,12*,8.25,0,257,5/31,22.25,2,34.0,0.0,-14.00
J Syed Mohammad,2011-2013,Chennai Super Kings,Royal Challengers Bangalore,102.9,Orthodox,,,,,,,,,,,
JJ van der Wath,2011-2011,Chennai Super Kings,South Africa,116.4,Medium,862,48*,16.57,0,108,4/24,25.58,0,13.0,0.0,-9.00
KB Arun Karthik,2011-2013,Chennai Super Kings,Royal Challengers Bangalore,145.4,Legbreak,1586,89*,22.65,0,2,1/13,22.00,0,74.0,5.0,0.65
LA Pomersbach,2011-2011,Chennai Super Kings,Australia,130.5,Offbreak,1228,112*,26.12,1,-,-,-,-,21.0,0.0,-
M Kaif,2011-2012,Chennai Super Kings,Royal Challengers Bangalore,104.1,Offbreak,1237,70,21.70,0,-,-,-,-,42.0,0.0,-
MA Agarwal,2011-2025,Chennai Super Kings,Royal Challengers Bangalore,132.8,,5012,111,25.70,2,0,-,-,0,93.0,0.0,-
R Ninan,2011-2011,Chennai Super Kings,Royal Challengers Bangalore,50.0,Offbreak,3,3,3.00,0,3,2/31,21.66,0,1.0,0.0,-18.66
S Aravind,2011-2017,Chennai Super Kings,India,99.2,Medium,1052,97*,27.68,0,-,-,-,-,26.0,5.0,-
SS Tiwary,2011-2013,Chennai Super Kings,Mumbai Indians,120.5,,3454,69,29.02,0,0,-,-,0,68.0,0.0,-
TM Dilshan,2011-2013,Chennai Super Kings,Sri Lanka,118.4,Offbreak,5193,104*,27.04,1,64,3/16,29.56,0,79.0,3.0,-2.51
AB McDonald,2012-2013,Chennai Super Kings,Melbourne Renegades,115.3,Medium,1743,96*,31.69,0,82,5/13,23.01,1,33.0,0.0,8.67
HV Patel,2012-2023,Chennai Super Kings,India,124.6,Medium,1289,82,15.71,0,260,5/12,23.37,2,47.0,0.0,-7.65
M Muralidaran,2012-2014,Chennai Super Kings,,0.0,Offbreak,81,11,3.37,0,179,4/16,22.03,0,31.0,0.0,-18.66
P Parameswaran,2012-2012,Chennai Super Kings,Kochi Tuskers Kerala,50.0,Medium,15,13*,7.50,0,33,3/25,27.66,0,5.0,0.0,-20.16
RR Bhatkal,2012-2012,Chennai Super Kings,Royal Challengers Bangalore,105.9,Medium,86,25,9.55,0,17,3/8,22.29,0,11.0,0.0,-12.73
A Mukund,2013-2013,Chennai Super Kings,Chennai Super Kings,117.1,Legbreak,728,68*,26.96,0,11,3/22,9.18,0,21.0,0.0,17.78
DT Christian,2013-2021,Chennai Super Kings,Australia,137.9,Medium,5848,129,22.66,2,281,5/14,28.95,2,186.0,0.0,-6.28
JD Unadkat,2013-2013,Chennai Super Kings,India,117.9,Medium,562,58*,15.61,0,245,5/25,23.81,2,61.0,0.0,-8.20
KK Nair,2013-2013,Chennai Super Kings,Royal Challengers Bangalore,133.4,Offbreak,,,,,,,,,,,
KL Rahul,2013-2016,Chennai Super Kings,India,136.8,,8125,132*,42.53,7,-,-,-,-,115.0,10.0,-
M Kartik,2013-2013,Chennai Super Kings,India,103.7,Orthodox,320,35,12.80,0,110,5/13,31.36,1,38.0,0.0,-18.56
MC Henriques,2013-2013,Chennai Super Kings,Australia,128.0,Medium,5562,77,27.13,0,120,3/11,29.18,0,129.0,0.0,-2.05
R Rampaul,2013-2014,Chennai Super Kings,West Indies,99.1,Medium,229,23*,9.16,0,231,5/9,21.19,1,29.0,0.0,-12.03
RP Singh,2013-2013,Chennai Super Kings,India,83.0,Medium,108,18,4.32,0,146,5/8,24.91,1,42.0,0.0,-20.59
AB Dinda,2014-2015,Chennai Super Kings,India,66.2,Medium,110,22,5.23,0,151,4/13,25.31,0,23.0,0.0,-20.07
AN Ahmed,2014-2015,Chennai Super Kings,Mumbai Indians,126.7,Medium,241,26*,8.60,0,78,4/21,24.55,0,10.0,0.0,-15.94
JA Morkel,2014-2014,Chennai Super Kings,South Africa,139.2,Medium,4248,73*,26.38,0,248,4/25,25.43,0,71.0,0.0,0.95
MA Starc,2014-2015,Chennai Super Kings,Australia,94.5,Fast,225,29,9.00,0,207,5/35,20.96,1,57.0,0.0,-11.96
NJ Maddinson,2014-2015,Chennai Super Kings,Australia,123.2,Orthodox,2498,87,20.30,0,13,3/20,20.15,0,57.0,0.0,0.15
PA Patel,2014-2019,Chennai Super Kings,India,120.5,,4300,82,22.87,0,-,-,-,-,113.0,31.0,-
RR Rossouw,2014-2015,Chennai Super Kings,South Africa,147.9,Offbreak,9434,121,29.20,9,3,1/3,10.66,0,159.0,0.0,18.54
S Rana,2014-2014,Chennai Super Kings,India Women,116.8,Offbreak,72,34,12.00,0,47,3/24,24.85,0,13.0,0.0,-12.85
SB Jakati,2014-2014,Chennai Super Kings,Chennai Super Kings,96.6,Orthodox,,,,,,,,,,,
VH Zol,2014-2014,Chennai Super Kings,Royal Challengers Bangalore,111.5,Offbreak,551,109,25.04,1,-,-,-,-,8.0,0.0,-
VR Aaron,2014-2016,Chennai Super Kings,Delhi Daredevils,74.7,Fast,133,17*,8.86,0,93,3/16,29.36,0,15.0,0.0,-20.49
YS Chahal,2014-2021,Chennai Super Kings,India,45.7,Legbreak,81,10,4.76,0,380,6/25,23.57,2,72.0,0.0,-18.80
YV Takawale,2014-2014,Chennai Super Kings,Mumbai Indians,107.9,,,,,,,,,,,,
