Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Abdur Razzak,2006-2019,207,36*,8.28,0,99,4/16,21.21,0,22,0,-12.93
J Arunkumar,,79,31,11.28,0,-,-,-,-,0,0,-
S Chanderpaul,,,,,,,,,,,,
B Chipli,2008-2013,453,61*,21.57,0,1,1/24,44.00,0,4,0,-22.42
SB Joshi,,,,,,,,,,,,
Misbah-ul-Haq,2006-2019,3491,107*,33.89,1,-,-,-,-,65,0,-
AA Noffke,,,,,,,,,,,,
DT Patil,2007-2010,237,44,18.23,0,-,-,-,-,7,2,-
W Jaffer,2007-2012,616,95,28.00,0,-,-,-,-,11,0,-
B Akhil,,,,,,,,,,,,
MV Boucher,,,,,,,,,,,,
R Dravid,,,,,,,,,,,,
SP Goswami,2008-2022,2437,86*,26.78,0,-,-,-,-,52,10,-
JH Kallis,2004-2016,4416,97*,30.88,0,114,4/15,30.54,0,54,0,0.33
P Kumar,2007-2018,687,76*,12.26,0,143,3/18,32.16,0,22,0,-19.89
A Kumble,2006-2010,46,8,11.50,0,57,5/5,24.36,1,15,0,-12.86
LRPL Taylor,2006-2023,6559,111*,30.64,1,8,3/28,35.00,0,123,0,-4.35
CL White,2005-2020,5469,141*,30.72,2,26,4/10,27.23,0,98,0,3.49
Z Khan,,,,,,,,,,,,
R Vinay Kumar,2007-2019,861,68,15.37,0,194,4/4,25.09,0,59,0,-9.72
DW Steyn,2005-2021,313,27*,8.45,0,263,4/9,22.00,0,55,0,-13.54
V Kohli,2007-2025,,122*,,9,,,,,,,
R Bishnoi,2007-2021,1016,87*,19.92,0,0,-,-,0,25,0,-
D du Preez,2006-2016,682,46,20.05,0,82,4/25,24.87,0,26,0,-4.81
JD Ryder,,,,,,,,,,,,
MK Pandey,2007-2025,7100,129*,31.69,3,10,4/27,21.20,0,152,2,10.49
Pankaj Singh,,,,,,,,,,,,
KP Pietersen,2003-2018,5695,115*,33.89,3,17,3/33,31.41,0,66,0,2.48
RV Uthappa,,,,,,,,,,,,
RE van der Merwe,,,,,,,,,,,,
KP Appanna,,,,,,,,,,,,
A Mithun,2009-2021,131,18*,5.95,0,69,5/37,28.72,2,23,0,-22.77
KV Sharma,,,,,,,,,,,,
ND Doshi,,,,,,,,,,,,
EJG Morgan,,,,,,,,,,,,
S Sriram,,,,,,,,,,,,
AA Kazi,,,,,,,,,,,,
CK Langeveldt,2004-2014,82,14*,10.25,0,138,5/16,21.46,1,22,0,-11.21
DP Nannes,2007-2015,66,12*,8.25,0,257,5/31,22.25,2,34,0,-14.00
R Ninan,,3,3,3.00,0,3,2/31,21.66,0,1,0,-18.66
LA Pomersbach,2006-2014,1228,112*,26.12,1,-,-,-,-,21,0,-
JJ van der Wath,2004-2014,862,48*,16.57,0,108,4/24,25.58,0,13,0,-9.00
M Kaif,2003-2017,1237,70,21.70,0,-,-,-,-,42,0,-
AUK Pathan,2009-2016,656,87*,23.42,0,0,-,-,0,8,0,-
DL Vettori,,,,,,,,,,,,
KB Arun Karthik,2009-2024,1586,89*,22.65,0,2,1/13,22.00,0,74,5,0.65
TM Dilshan,2004-2016,5193,104*,27.04,1,64,3/16,29.56,0,79,3,-2.51
CA Pujara,2007-2022,1556,100*,29.35,1,-,-,-,-,37,0,-
J Syed Mohammad,,,,,,,,,,,,
SS Tiwary,2007-2023,3454,69,29.02,0,0,-,-,0,68,0,-
S Aravind,2020-2024,1052,97*,27.68,0,-,-,-,-,26,5,-
CH Gayle,2005-2022,14562,175*,36.22,22,83,4/22,31.54,0,104,0,4.68
AB de Villiers,,,,,,,,,,,,
MA Agarwal,2010-2025,5012,111,25.70,2,0,-,-,0,93,0,-
RR Bhatkal,2007-2012,86,25,9.55,0,17,3/8,22.29,0,11,0,-12.73
P Parameswaran,2007-2014,15,13*,7.50,0,33,3/25,27.66,0,5,0,-20.16
AB McDonald,2006-2016,1743,96*,31.69,0,82,5/13,23.01,1,33,0,8.67
M Muralidaran,2005-2014,81,11,3.37,0,179,4/16,22.03,0,31,0,-18.66
HV Patel,2011-2025,1289,82,15.71,0,260,5/12,23.37,2,47,0,-7.65
MC Henriques,2006-2025,5562,77,27.13,0,120,3/11,29.18,0,129,0,-2.05
M Kartik,2007-2014,320,35,12.80,0,110,5/13,31.36,1,38,0,-18.56
A Mukund,2008-2018,728,68*,26.96,0,11,3/22,9.18,0,21,0,17.78
KK Nair,,,,,,,,,,,,
RP Singh,2007-2016,108,18,4.32,0,146,5/8,24.91,1,42,0,-20.59
JD Unadkat,2010-2025,562,58*,15.61,0,245,5/25,23.81,2,61,0,-8.20
R Rampaul,2007-2022,229,23*,9.16,0,231,5/9,21.19,1,29,0,-12.03
KL Rahul,2013-2025,8125,132*,42.53,7,-,-,-,-,115,10,-
DT Christian,2006-2025,5848,129,22.66,2,281,5/14,28.95,2,186,0,-6.28
SB Jakati,,,,,,,,,,,,
JA Morkel,2004-2018,4248,73*,26.38,0,248,4/25,25.43,0,71,0,0.95
S Rana,2022-2025,72,34,12.00,0,47,3/24,24.85,0,13,0,-12.85
YV Takawale,,,,,,,,,,,,
Yuvraj Singh,2003-2019,4857,83,25.69,0,80,4/29,24.86,0,53,0,0.83
VH Zol,2013-2019,551,109,25.04,1,-,-,-,-,8,0,-
AN Ahmed,2007-2021,241,26*,8.60,0,78,4/21,24.55,0,10,0,-15.94
AB Dinda,2008-2021,110,22,5.23,0,151,4/13,25.31,0,23,0,-20.07
NJ Maddinson,2011-2023,2498,87,20.30,0,13,3/20,20.15,0,57,0,0.15
RR Rossouw,2008-2025,9434,121,29.20,9,3,1/3,10.66,0,159,0,18.54
MA Starc,2009-2025,225,29,9.00,0,207,5/35,20.96,1,57,0,-11.96
VR Aaron,2009-2022,133,17*,8.86,0,93,3/16,29.36,0,15,0,-20.49
PA Patel,2005-2019,4300,82,22.87,0,-,-,-,-,113,31,-
YS Chahal,2009-2025,81,10,4.76,0,380,6/25,23.57,2,72,0,-18.80
SA Abbott,2011-2025,941,110*,11.91,1,254,5/16,21.33,2,104,0,-9.41
MS Bisla,2007-2015,1324,92,21.70,0,-,-,-,-,40,15,-
DJG Sammy,,,,,,,,,,,,
D Wiese,2008-2025,4519,79*,22.59,0,334,5/19,26.24,7,154,0,-3.65
Iqbal Abdulla,2007-2021,426,46*,17.04,0,86,5/10,27.33,1,33,0,-10.29
SN Khan,2014-2023,1188,67,22.41,0,0,-,-,0,38,0,-
Mandeep Singh,2010-2024,4043,99*,27.88,0,16,3/21,27.93,0,79,0,-0.05
KD Karthik,2006-2025,7537,97*,27.01,0,1,1/10,28.00,0,236,72,-0.98
CJ Jordan,2008-2025,2476,73,16.84,0,439,4/6,27.05,0,214,0,-10.21
Parvez Rasool,,,,,,,,,,,,
T Shamsi,2011-2025,95,15*,4.52,0,348,5/24,22.32,1,40,0,-17.80
STR Binny,2009-2021,1641,52,20.01,0,73,4/14,25.87,0,38,0,-5.86
TM Head,2013-2025,4336,102,30.97,2,22,3/16,29.95,0,43,0,1.01
AF Milne,2010-2025,498,22,11.06,0,247,5/11,23.54,3,53,0,-12.47
SR Watson,2004-2020,8821,124*,29.30,6,216,4/15,27.02,0,101,0,2.27
KW Richardson,2009-2025,404,45,11.22,0,240,4/22,23.45,0,77,0,-12.22
Sachin Baby,2011-2025,2026,79,29.79,0,8,2/4,32.62,0,43,0,-2.83
KM Jadhav,2007-2023,2592,84*,24.45,0,6,2/23,20.83,0,55,9,3.61
Avesh Khan,2017-2025,109,19*,9.08,0,165,5/17,25.89,1,32,0,-16.81
S Badree,2006-2018,183,29*,9.15,0,187,5/22,22.16,1,46,0,-13.01
A Choudhary,2013-2024,97,15*,8.81,0,107,4/30,20.35,0,12,0,-11.53
TS Mills,2012-2025,237,30,6.07,0,320,4/13,23.36,0,39,0,-17.29
B Stanlake,2015-2025,35,7,7.00,0,91,4/8,27.17,0,12,0,-20.17
Vishnu Vinod,2014-2024,1620,109*,31.15,1,0,-,-,0,26,7,-
P Negi,2011-2021,803,41*,15.74,0,96,5/22,24.61,1,40,0,-8.86
CJ Anderson,2009-2025,3244,95*,24.20,0,46,2/10,34.06,0,62,0,-9.85
M Ashwin,,,,,,,,,,,,
Q de Kock,2011-2025,11421,140*,31.20,7,-,-,-,-,286,57,-
BB McCullum,2005-2019,9922,158*,29.97,7,0,-,-,0,153,14,-
M Vohra,2013-2024,3340,106*,28.79,1,-,-,-,-,41,0,-
CR Woakes,2008-2025,1031,57*,20.21,0,177,4/21,25.24,0,64,0,-5.02
C de Grandhomme,,,,,,,,,,,,
K Khejroliya,2018-2025,19,18*,-,0,27,4/26,26.22,0,4,0,-
TG Southee,2007-2025,930,74,10.94,0,346,6/16,24.57,4,132,0,-13.63
MM Ali,2007-2025,7450,121*,23.65,3,263,5/34,24.78,1,123,0,-1.13
UT Yadav,2009-2024,333,26,11.10,0,202,5/18,27.42,2,52,0,-16.32
Washington Sundar,2017-2025,1428,54*,19.56,0,115,3/10,28.90,0,46,0,-9.34
Mohammed Siraj,,,,,,,,,,,,
AD Nath,,,,,,,,,,,,
SO Hetmyer,2016-2025,5938,100,26.50,1,-,-,-,-,158,0,-
H Klaasen,2011-2025,5927,105*,31.19,3,1,1/12,68.00,0,127,34,-36.80
P Ray Barman,2019-2024,42,19,8.40,0,7,4/14,30.00,0,0,0,-21.59
MP Stoinis,2012-2025,6843,147*,29.36,2,179,4/15,26.84,0,85,0,2.52
S Dube,2016-2025,3448,95*,31.06,0,57,3/4,31.15,0,54,0,-0.09
Gurkeerat Singh,,,,,,,,,,,,
NA Saini,2016-2023,63,12*,10.50,0,73,4/17,30.80,0,23,0,-20.30
