Player
Abdur Razzak
J Arunkumar
S Chanderpaul
B Chipli
SB Joshi
Misbah-ul-Haq
AA Noffke
DT Patil
W Jaffer
B Akhil
MV Boucher
R Dravid
SP Goswami
JH Kallis
P Kumar
A Kumble
LRPL Taylor
CL White
Z Khan
R Vinay Kumar
DW Steyn
V Kohli
R Bishnoi
D du Preez
JD Ryder
MK Pandey
Pankaj Singh
KP Pietersen
RV Uthappa
RE van der Merwe
KP Appanna
A Mithun
KV Sharma
ND Doshi
EJG Morgan
S Sriram
AA Kazi
CK Langeveldt
DP Nannes
R Ninan
LA Pomersbach
JJ van der Wath
M Kaif
AUK Pathan
DL Vettori
KB Arun Karthik
TM Dilshan
CA Pujara
J Syed Mohammad
SS Tiwary
S Aravind
CH Gayle
AB de Villiers
MA Agarwal
RR Bhatkal
P Parameswaran
AB McDonald
M Muralidaran
HV Patel
MC Henriques
M Kartik
A Mukund
KK Nair
RP Singh
JD Unadkat
R Rampaul
KL Rahul
DT Christian
SB Jakati
JA Morkel
S Rana
YV Takawale
Yuvraj Singh
VH Zol
AN Ahmed
AB Dinda
NJ Maddinson
RR Rossouw
MA Starc
VR Aaron
PA Patel
YS Chahal
SA Abbott
MS Bisla
DJG Sammy
D Wiese
Iqbal Abdulla
SN Khan
Mandeep Singh
KD Karthik
CJ Jordan
Parvez Rasool
T Shamsi
STR Binny
TM Head
AF Milne
SR Watson
KW Richardson
Sachin Baby
KM Jadhav
Avesh Khan
S Badree
A Choudhary
TS Mills
B Stanlake
Vishnu Vinod
P Negi
CJ Anderson
M Ashwin
Q de Kock
BB McCullum
M Vohra
CR Woakes
C de Grandhomme
K Khejroliya
TG Southee
MM Ali
UT Yadav
Washington Sundar
Mohammed Siraj
AD Nath
SO Hetmyer
H Klaasen
P Ray Barman
MP Stoinis
S Dube
Gurkeerat Singh
NA Saini
AJ Finch
CH Morris
JR Philippe
I Udana
A Zampa
Shahbaz Ahmed
D Padikkal
KS Bharat
GHS Garton
KA Jamieson
DR Sams
PW Hasaranga
GJ Maxwell
TH David
RM Patidar
S Kaul
SE Rutherford
DJ Willey
Akash Deep
Anuj Rawat
F du Plessis
MK Lomror
SS Prabhudessai
JR Hazlewood
MG Bracewell
WD Parnell
H Sharma
RJW Topley
V Vyshak
SD Chauhan
MJ Dagar
LH Ferguson
C Green
WG Jacks
AS Joseph
Swapnil Singh
Yash Dayal
JG Bethell
MS Bhandage
B Kumar
LS Livingstone
L Ngidi
KH Pandya
Rasikh Salam
PD Salt
JM Sharma
R Shepherd
Suyash Sharma
N Thushara
Mohammad Hafeez
RT Ponting
Salman Butt
Shoaib Akhtar
