Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Aamer Yamin,2012-2024,1205,52,17.72,0,105,4/5,30.43,0,37,0,-12.71
KJ Abbott,2011-2021,324,30,13.50,0,157,5/14,28.56,1,33,0,-15.06
Abdullah Shafique,2020-2025,2074,102*,30.05,1,-,-,-,-,26,0,-
Adnan Rasool,2010-2016,66,41*,9.42,0,45,4/21,21.46,0,7,0,-12.03
Agha Salman,2014-2025,1800,68*,21.42,0,45,5/10,23.20,1,36,0,-1.77
Ahmed Daniyal,2021-2025,82,24,10.25,0,39,4/28,29.76,0,8,0,-19.51
Ahsan Hafeez,2023-2025,66,20,9.42,0,6,2/18,24.50,0,2,0,-15.07
Aizaz Cheema,2005-2019,29,6*,7.25,0,121,4/17,20.85,0,12,0,-13.60
CJ Anderson,2009-2025,3244,95*,24.20,0,46,2/10,34.06,0,62,0,-9.85
Asif Afridi,2010-2025,513,54,14.65,0,78,5/26,23.20,1,20,0,-8.54
Asif Ali,2011-2025,4737,100,22.03,1,4,2/27,13.25,0,120,0,8.78
Azhar Ali,2006-2016,985,72,21.88,0,15,3/10,18.86,0,24,0,3.02
Bilal Asif,2015-2023,513,114,18.32,1,54,3/11,23.46,0,21,0,-5.14
Bilawal Bhatti,2012-2025,337,38,11.23,0,73,4/23,29.50,0,27,0,-18.27
SW Billings,2011-2025,7238,106,24.04,1,-,-,-,-,237,32,-
CR Brathwaite,2011-2024,2385,64*,15.69,0,248,4/14,25.75,0,108,0,-10.05
DJ Bravo,2006-2024,6970,70*,22.33,0,631,5/23,24.40,2,275,0,-2.06
HC Brook,2018-2025,3792,105*,33.26,3,1,1/13,26.00,0,94,0,7.26
KK Cooper,2008-2018,753,42*,12.76,0,195,5/15,20.07,1,57,0,-7.30
TK Curran,2014-2025,2396,67*,21.58,0,255,4/15,25.52,0,66,0,-3.93
S Dadswell,2018-2024,759,98*,21.68,0,12,2/25,33.33,0,17,0,-11.64
TH David,2018-2025,5833,102*,30.86,1,15,1/0,64.06,0,170,0,-33.20
LA Dawson,2008-2025,2888,82,17.60,0,269,5/17,25.47,1,125,0,-7.86
CS Delport,2010-2024,6290,129,25.05,5,71,4/17,29.45,0,88,0,-4.39
JL Denly,2004-2025,7107,127,27.02,5,53,4/19,27.22,0,111,0,-0.20
AP Devcich,2006-2021,3387,102,25.08,1,74,4/12,26.62,0,56,0,-1.53
AB de Villiers,2004-2021,9424,133*,37.24,4,-,-,-,-,230,18,-
Dilbar Hussain,2020-2023,37,13*,18.50,0,22,4/24,24.54,0,4,0,-6.04
BR Dunk,2009-2025,3708,99*,23.32,0,3,1/19,39.33,0,99,10,-16.01
Ehsan Adil,2012-2025,120,18,7.05,0,94,4/28,23.58,0,16,0,-16.52
GD Elliott,2006-2018,2209,70,22.77,0,112,4/15,23.94,0,54,0,-1.17
Fakhar Zaman,2013-2025,8017,115,28.53,3,4,1/3,40.50,0,135,0,-11.96
JP Faulkner,2009-2022,1953,73,21.46,0,262,5/16,22.80,3,69,0,-1.33
Fawad Ahmed,2013-2023,86,19,5.73,0,172,4/14,24.75,0,22,0,-19.02
D Foxcroft,2018-2025,1429,82*,35.72,0,24,5/11,28.29,1,25,0,7.43
Gauhar Ali,2010-2019,419,70,13.51,0,-,-,-,-,23,7,-
CH Gayle,2005-2022,14562,175*,36.22,22,83,4/22,31.54,0,104,0,4.68
Ghulam Mudassar,2016-2023,2,1*,0.50,0,26,3/6,32.65,0,1,0,-32.15
Gulraiz Sadaf,2008-2018,770,71*,20.26,0,-,-,-,-,34,13,-
DAS Gunaratne,2014-2023,1683,87*,26.71,0,62,5/10,24.19,1,43,0,2.52
Hammad Azam,2010-2025,1438,66,21.14,0,75,4/12,24.29,0,31,0,-3.14
Haris Rauf,2018-2025,393,34*,8.18,0,334,5/27,22.26,1,68,0,-14.07
Haris Sohail,2010-2022,2221,69*,28.84,0,9,2/10,22.77,0,41,0,6.06
Hassan Khan,2017-2025,963,57,19.65,0,63,4/30,31.19,0,42,0,-11.53
SD Hope,2012-2025,4939,106,30.48,3,-,-,-,-,88,15,-
Hussain Talat,2013-2025,3895,101*,30.66,1,80,4/14,25.48,0,38,0,5.18
Imran Khan,,,,,,,,,,,,
Jahandad Khan,2023-2025,249,45*,15.56,0,38,3/9,27.28,0,6,0,-11.72
Kamran Ghulam,2014-2025,1834,110*,30.06,1,35,4/11,22.65,0,23,0,7.40
S Lamichhane,2018-2025,142,16*,6.76,0,225,5/9,16.90,1,35,0,-10.14
GF Linde,2012-2025,2417,66*,19.49,0,194,4/19,26.33,0,58,0,-6.84
CA Lynn,2010-2025,8526,113*,32.91,6,3,2/15,31.00,0,72,0,1.91
Maaz Khan,2021-2024,406,68*,19.33,0,2,2/24,44.50,0,5,0,-25.16
MJ McClenaghan,2009-2021,271,20,6.30,0,241,5/29,25.60,1,34,0,-19.30
BB McCullum,2005-2019,9922,158*,29.97,7,0,-,-,0,153,14,-
BAW Mendis,2007-2019,214,27*,6.68,0,170,6/8,19.00,2,29,0,-12.31
Mirza Baig,2023-2025,833,77,26.87,0,1,1/37,61.00,0,6,0,-34.12
DJ Mitchell,2012-2025,5330,88*,30.98,0,83,4/32,25.53,0,129,0,5.45
Mohammad Azab,2012-2025,11330,122,43.07,11,4,2/20,21.25,0,147,0,21.82
Muhammad Faizan,2020-2025,424,76*,18.43,0,12,2/18,25.66,0,5,0,-7.23
Mohammad Hafeez,2005-2023,7946,102*,25.79,2,202,4/10,24.00,0,111,0,1.78
Mohammad Imran,2021-2025,39,13,4.33,0,79,6/16,23.29,1,10,0,-18.95
Mohammad Irfan,,,,,,,,,,,,
Mohammad Naeem,2010-2015,0,0*,0.00,0,6,5/31,26.33,1,0,0,-26.33
Mohammad Rizwan,2009-2025,8648,110*,43.24,3,1,1/22,22.00,0,190,50,21.24
Muhammad Akhlaq,2015-2025,1037,62,20.33,0,-,-,-,-,30,9,-
Mustafizur Rahman,2015-2025,196,21*,5.93,0,372,6/10,21.29,4,58,0,-15.35
SP Narine,2011-2025,4654,109,15.51,1,599,5/19,22.04,1,128,0,-6.52
Naved Yasin,2005-2017,1227,69*,29.92,0,6,4/17,21.83,0,20,0,8.09
SR Patel,2003-2025,6939,90*,24.60,0,364,4/5,26.54,0,118,0,-1.93
MDKJ Perera,,,,,,,,,,,,
S Prasanna,2009-2025,2238,76*,17.08,0,173,4/19,24.57,0,68,0,-7.48
Rahat Ali,,,,,,,,,,,,
PBB Rajapaksa,2009-2025,4176,100,22.81,1,28,3/11,18.42,0,62,1,4.39
Raja Farzan,,17,10*,17.00,0,9,4/24,17.11,0,0,0,-0.11
D Ramdin,2006-2021,2956,84,23.27,0,-,-,-,-,150,49,-
Rashid Khan,2015-2025,2773,79*,13.93,0,672,6/17,18.46,4,173,0,-4.53
Raza Hasan,2010-2018,83,19,9.22,0,90,4/21,19.61,0,18,0,-10.38
Rishad Hossain,2019-2025,336,53,10.50,0,90,4/22,22.44,0,44,0,-11.94
JJ Roy,2008-2025,10554,145*,27.20,6,1,1/23,39.00,0,202,0,-11.79
Saad Ali,2017-2019,333,57*,30.27,0,-,-,-,-,6,0,-
Sahibzada Farhan,2013-2025,3950,162*,33.76,6,-,-,-,-,61,2,-
Salman Butt,2005-2020,2349,99*,35.05,0,5,2/25,28.20,0,18,0,6.85
Salman Fayyaz,,10,8,10.00,0,2,1/23,30.50,0,2,0,-20.49
Salman Irshad,2015-2025,55,8*,4.58,0,96,4/27,27.55,0,9,0,-22.96
Salman Mirza,2021-2025,41,16*,5.85,0,47,4/11,15.08,0,4,0,-9.22
PD Salt,2016-2025,7763,141*,28.12,4,-,-,-,-,165,14,-
Shaheen Shah Afridi,,,,,,,,,,,,
Shakib Al Hasan,,,,,,,,,,,,
Shawaiz Irfan,,40,14*,20.00,0,-,-,-,-,3,2,-
Sikandar Raza,2010-2025,6298,133*,25.81,1,196,5/18,27.12,1,133,0,-1.31
Sohaib Maqsood,2005-2023,3928,88*,27.46,0,6,3/23,42.50,0,42,0,-15.03
Sohail Akhtar,2012-2022,1747,100,27.29,1,5,2/38,63.60,0,29,0,-36.30
Sohail Khan,2008-2025,675,45*,13.50,0,182,5/10,23.65,2,18,0,-10.15
Sohail Tanvir,2005-2022,2703,74*,16.78,0,389,6/14,26.36,2,73,0,-9.57
Tamim Iqbal,2007-2025,8283,141*,32.86,4,0,-,-,0,85,0,-
BRM Taylor,2006-2025,3946,140*,26.66,2,8,3/38,19.00,0,68,14,7.66
Tayyab Abbas,,,,,,,,,,,,
RN ten Doeschate,2003-2021,7597,121*,29.33,2,114,4/24,25.63,0,134,0,3.70
LJ Tucker,2016-2025,2537,94*,23.06,0,-,-,-,-,98,23,-
Umair Masood,2017-2023,87,24,9.66,0,-,-,-,-,4,5,-
Umar Akmal,2008-2023,5839,115*,28.20,1,1,1/36,36.00,0,165,13,-7.79
Usman Shinwari,2013-2025,153,36*,10.92,0,128,5/9,25.13,2,26,0,-14.20
HE van der Dussen,2013-2025,6773,112*,36.80,5,3,2/15,18.33,0,72,0,18.47
DJ Vilas,2009-2024,4235,75*,28.04,0,-,-,-,-,116,30,-
GC Viljoen,2011-2025,953,44,14.66,0,189,5/16,25.56,1,30,0,-10.90
MH Wessels,2005-2021,5684,110,28.85,1,-,-,-,-,96,16,-
D Wiese,2008-2025,4519,79*,22.59,0,334,5/19,26.24,7,154,0,-3.65
Yasir Shah,2008-2025,463,44,8.73,0,134,4/7,29.45,0,47,0,-20.71
Zafar Gohar,2013-2025,386,37*,13.31,0,88,4/14,25.05,0,23,0,-11.74
Zaman Khan,2021-2025,75,9*,7.50,0,132,4/16,24.53,0,23,0,-17.03
Zeeshan Ashraf,2011-2025,1147,73,17.64,0,-,-,-,-,25,4,-
Zia-ul-Haq,2012-2025,28,12,4.66,0,56,5/23,28.33,1,12,0,-23.67
Zohaib Khan,2008-2020,515,43*,14.71,0,61,4/11,28.52,0,26,0,-13.81
Abrar Ahmed,2017-2025,42,12,3.50,0,83,4/9,21.16,0,16,0,-17.66
Ahmed Safi Abdullah,2020-2025,43,20*,14.33,0,11,3/20,24.36,0,2,0,-10.03
Akif Javed,2019-2025,84,32,10.50,0,88,4/28,24.02,0,16,0,-13.52
Ali Khan,2016-2025,66,16*,6.60,0,94,4/6,30.95,0,16,0,-24.35
Amad Butt,2015-2025,622,43*,15.17,0,102,4/27,24.09,0,33,0,-8.92
Ashar Zaidi,2006-2018,1065,59*,24.76,0,40,4/11,26.37,0,17,0,-1.60
Athar Mahmood,,1,1*,-,0,1,1/55,104.00,0,1,0,-
Azam Khan,2019-2025,3486,109*,22.93,1,-,-,-,-,83,20,-
Azhar Mahmood,,,,,,,,,,,,
Babar Azam,2012-2025,11330,122,43.07,11,4,2/20,21.25,0,147,0,21.82
S Badree,,,,,,,,,,,,
IR Bell,,,,,,,,,,,,
JM Cox,2019-2025,3510,139*,30.78,1,-,-,-,-,101,7,-
Danish Aziz,2016-2025,1092,72*,26.00,0,39,3/16,26.51,0,21,0,-0.51
M de Lange,,,,,,,,,,,,
BM Duckett,2012-2025,5397,96,30.49,0,-,-,-,-,107,2,-
JP Duminy,,,,,,,,,,,,
BJ Dwarshuis,,,,,,,,,,,,
Faheem Ashraf,2015-2025,2203,55,17.48,0,232,6/19,26.03,3,84,0,-8.55
Fazalhaq Farooqi,2019-2025,52,16*,6.50,0,172,5/9,21.04,4,20,0,-14.54
ST Finn,2008-2022,79,11*,8.77,0,176,5/16,22.43,1,43,0,-13.65
MW Forde,2022-2025,293,52,16.27,0,52,4/11,24.80,0,19,0,-8.52
Ghazi Ghori,,,,,,,,,,,,
AGS Gous,2014-2025,2732,101*,30.69,1,-,-,-,-,57,11,-
L Gregory,2011-2025,3139,76*,21.06,0,214,5/24,26.00,1,113,0,-4.93
MJ Guptill,,,,,,,,,,,,
BJ Haddin,,,,,,,,,,,,
Haider Ali,,,,,,,,,,,,
AD Hales,2009-2025,14174,119*,30.09,7,0,-,-,0,245,0,-
Hasan Ali,,,,,,,,,,,,
Hasan Nawaz,2022-2025,1340,105*,27.91,2,0,-,-,0,31,0,-
JO Holder,2010-2025,3035,69,18.61,0,324,5/27,27.61,1,153,0,-8.99
Hunain Shah,2022-2025,28,12,3.50,0,26,3/20,24.76,0,4,0,-21.26
Iftikhar Ahmed,2010-2025,6007,100*,29.73,1,85,3/5,29.85,0,144,0,-0.12
Imad Wasim,2006-2025,4327,92*,21.52,0,377,5/14,24.59,2,110,0,-3.06
Imran Khalid,2005-2017,611,48,14.20,0,88,4/20,23.10,0,26,0,-8.89
CA Ingram,2007-2025,9010,127*,28.33,4,40,4/32,32.97,0,124,0,-4.64
WG Jacks,2018-2025,6120,108*,29.00,5,80,4/15,22.68,0,112,0,6.31
Khalid Latif,2005-2016,2469,88,25.19,0,2,2/11,20.00,0,34,0,5.19
UT Khawaja,2010-2025,3292,109*,30.20,3,-,-,-,-,29,0,-
BA King,2017-2025,3938,132*,26.60,2,-,-,-,-,66,0,-
OC McCoy,2017-2025,182,23*,7.58,0,189,6/17,24.15,2,28,0,-16.57
DJ Malan,2006-2025,10501,117,32.81,5,23,2/10,31.39,0,132,0,1.42
KR Mayers,2012-2025,4196,92,23.44,0,68,4/4,33.14,0,62,0,-9.70
RP Meredith,2018-2025,48,10,4.80,0,189,4/9,22.31,0,26,0,-17.51
TS Mills,2012-2025,237,30,6.07,0,320,4/13,23.36,0,39,0,-17.29
Misbah-ul-Haq,2006-2019,3491,107*,33.89,1,-,-,-,-,65,0,-
Mohammad Nawaz,2012-2025,3531,72,21.53,0,238,5/19,27.35,2,129,0,-5.82
Mohammad Sami,,1,1,1.00,0,1,1/23,23.00,0,0,0,-21.99
Mohammad Wasim,2021-2025,353,34,12.17,0,117,4/24,26.00,0,51,0,-13.82
Mubasir Khan,2020-2025,568,45,16.70,0,20,3/19,30.10,0,23,0,-13.39
Muhammad Hurraira,2022-2025,531,86*,27.94,0,-,-,-,-,8,0,-
Muhammad Musa,2019-2025,132,26*,26.40,0,62,4/14,26.98,0,6,0,-0.58
Muhammad Shahzad,2022-2025,316,55,19.75,0,3,1/0,17.00,0,12,0,2.75
C Munro,2010-2025,11616,120,30.25,6,31,4/15,33.38,0,134,0,-3.13
Naseem Shah,2019-2025,253,27,7.22,0,132,5/20,29.34,1,21,0,-22.11
Nasir Nawaz,2017-2025,673,82,20.39,0,0,-,-,0,11,0,-
JDS Neesham,2010-2025,4441,97*,23.49,0,260,5/22,25.03,1,124,0,-1.54
WD Parnell,2008-2024,2200,99,18.48,0,317,5/30,25.40,1,71,0,-6.91
N Pooran,2013-2025,9951,108*,30.15,4,-,-,-,-,243,36,-
Rafatullah Mohmand,2005-2017,1614,78,26.03,0,2,2/23,18.00,0,31,0,8.03
Rahmanullah Gurbaz,2017-2025,5604,121*,24.68,2,1,1/2,11.00,0,126,17,13.68
Rizwan Hussain,2018-2023,721,72,22.53,0,-,-,-,-,12,0,-
Rohail Nazir,2017-2025,921,58,17.71,0,-,-,-,-,49,9,-
L Ronchi,2006-2020,4217,102,25.25,1,-,-,-,-,119,36,-
Rumman Raees,2011-2024,180,25*,9.47,0,131,4/25,24.61,0,41,0,-15.14
AD Russell,2010-2025,9449,121*,26.32,2,496,5/15,25.87,1,238,0,0.44
Saad Masood,2023-2025,179,63*,22.37,0,9,2/20,36.77,0,8,0,-14.40
Saeed Ajmal,2005-2017,240,21*,8.00,0,271,4/14,17.36,0,31,0,-9.36
Shadab Khan,2016-2025,3402,91,18.59,0,345,5/28,23.83,1,122,0,-5.24
Sharjeel Khan,2006-2025,3793,117,24.95,5,0,-,-,0,36,0,-
DR Smith,2006-2019,7870,110*,26.23,5,110,4/8,27.99,0,141,0,-1.75
DW Steyn,2005-2021,313,27*,8.45,0,263,4/9,22.00,0,55,0,-13.54
PR Stirling,2008-2025,8889,119,24.82,3,77,4/10,28.48,0,106,0,-3.65
Ubaid Shah,2024-2025,44,17,7.33,0,20,3/27,31.20,0,3,0,-23.86
Umar Amin,2008-2024,3448,82*,28.03,0,18,3/14,28.66,0,54,0,-0.63
CAK Walton,2010-2023,3578,99*,22.78,0,0,-,-,0,99,16,-
Waqas Maqsood,2011-2023,83,18,5.92,0,77,4/35,24.68,0,15,0,-18.75
SR Watson,2004-2020,8821,124*,29.30,6,216,4/15,27.02,0,101,0,2.27
Zahid Mahmood,2010-2025,184,20,11.50,0,98,5/16,21.39,1,6,0,-9.89
Zahir Khan,2017-2025,106,19*,4.60,0,142,5/19,24.05,1,13,0,-19.44
Zeeshan Zameer,2022-2025,0,0,0.00,0,1,1/10,79.00,0,1,0,-78.99
Aamer Jamal,2021-2025,525,87,19.44,0,43,5/23,33.62,1,21,0,-14.18
Abbas Afridi,2021-2025,393,34,11.90,0,124,5/47,19.98,1,21,0,-8.07
Anwar Ali,2006-2024,1607,65,17.27,0,173,4/30,30.43,0,72,0,-13.15
Arafat Minhas,2023-2025,274,41,22.83,0,14,2/11,30.00,0,11,0,-7.16
Arshad Iqbal,2018-2025,31,11*,3.44,0,68,3/12,26.66,0,8,0,-23.21
Awais Zia,2008-2020,2051,100*,24.12,1,8,2/17,38.37,0,32,0,-14.24
RS Bopara,2003-2025,9948,108,28.10,3,292,6/16,25.59,1,158,0,2.50
DT Christian,2006-2025,5848,129,22.66,2,281,5/14,28.95,2,186,0,-6.28
JM Clarke,2015-2025,5918,136,26.18,4,-,-,-,-,91,7,-
IA Cockbain,2011-2022,3869,123,31.97,1,-,-,-,-,75,0,-
BCJ Cutting,2008-2024,2921,81*,22.46,0,137,5/28,32.08,1,100,0,-9.61
JL du Plooy,2014-2025,4009,92,28.84,0,14,4/15,22.00,0,85,0,6.84
Fawad Ali,,21,12,7.00,0,-,-,-,-,1,0,-
JK Fuller,2011-2025,2057,57,19.97,0,184,6/28,25.96,1,85,0,-5.99
Imran Tahir,2006-2025,387,23,8.79,0,567,5/21,19.53,5,107,0,-10.74
Irfan Khan,2020-2025,853,57*,25.08,0,2,1/4,24.50,0,40,0,0.58
DPMD Jayawardene,2004-2018,5479,116,29.29,3,3,2/22,32.33,0,75,0,-3.03
CJ Jordan,2008-2025,2476,73,16.84,0,439,4/6,27.05,0,214,0,-10.21
Kashif Bhatti,2009-2025,474,50,15.29,0,85,4/14,26.01,0,25,0,-10.72
Khurram Manzoor,2005-2025,3908,109,28.31,4,3,1/3,24.66,0,43,0,3.65
Khushdil Shah,2014-2025,3681,100,27.26,1,90,4/35,21.81,0,78,1,5.45
TA Lammonby,2019-2025,1007,90,19.00,0,15,2/32,31.33,0,46,0,-12.33
LS Livingstone,2015-2025,7385,103,28.18,2,143,4/17,25.76,0,126,0,2.42
BR McDermott,2014-2025,4913,127,29.95,3,-,-,-,-,106,15,-
AF Milne,2010-2025,498,22,11.06,0,247,5/11,23.54,3,53,0,-12.47
Mir Hamza,2014-2025,94,19*,18.80,0,75,4/9,27.92,0,13,0,-9.11
Mohammad Amir Khan,2020-2025,21,14*,7.00,0,29,4/35,22.44,0,3,0,-15.44
Mohammad Amir,2008-2025,458,30,7.15,0,409,6/17,22.40,2,43,0,-15.25
Mohammad Ilyas,2019-2023,228,41*,13.41,0,65,3/25,26.07,0,24,0,-12.66
Mohammad Nabi,2010-2025,6516,89,21.08,0,388,5/15,24.82,1,217,0,-3.73
Mohammad Taha,2020-2025,369,47*,24.60,0,7,3/3,11.71,0,9,0,12.88
Mohammad Umar,2021-2025,17,7*,3.40,0,17,3/22,30.41,0,7,0,-27.01
