Player,Span,Team,Record Type
Aamer Yamin,2017-2018,Islamabad United,Batting
KJ Abbott,2018-2018,Islamabad United,Batting
Abdullah Shafique,2022-2025,Islamabad United,Batting
Adnan Rasool,2016-2016,Islamabad United,Batting
Agha Salman,2018-2021,Islamabad United,Batting
Ahmed Daniyal,2021-2021,Islamabad United,Batting
Ahsan Hafeez,2023-2024,Islamabad United,Batting
Aizaz Cheema,2019-2019,Islamabad United,Batting
CJ Anderson,2019-2019,Islamabad United,Batting
Asif Afridi,2025-2025,Islamabad United,Batting
Asif Ali,2025-2025,Islamabad United,Batting
Azhar Ali,2016-2016,Islamabad United,Batting
Bilal Asif,2018-2018,Islamabad United,Batting
Bilawal Bhatti,2017-2017,Islamabad United,Batting
SW Billings,2023-2025,Islamabad United,Batting
CR Brathwaite,2019-2024,Islamabad United,Batting
DJ Bravo,2016-2016,Islamabad United,Batting
HC Brook,2022-2022,Islamabad United,Batting
KK Cooper,2016-2016,Islamabad United,Batting
TK Curran,2025-2025,Islamabad United,Batting
S Dadswell,2023-2023,Islamabad United,Batting
TH David,2021-2021,Islamabad United,Batting
LA Dawson,2023-2023,Islamabad United,Batting
CS Delport,2016-2018,Islamabad United,Batting
JL Denly,2021-2021,Islamabad United,Batting
AP Devcich,2018-2019,Islamabad United,Batting
AB de Villiers,2019-2019,Islamabad United,Batting
Dilbar Hussain,2020-2023,Islamabad United,Batting
BR Dunk,2020-2022,Islamabad United,Batting
Ehsan Adil,2016-2016,Islamabad United,Batting
GD Elliott,2017-2017,Islamabad United,Batting
Fakhar Zaman,2017-2025,Islamabad United,Batting
JP Faulkner,2021-2021,Islamabad United,Batting
Fawad Ahmed,2022-2022,Islamabad United,Batting
D Foxcroft,2022-2022,Islamabad United,Batting
Gauhar Ali,2019-2019,Islamabad United,Batting
CH Gayle,2016-2016,Islamabad United,Batting
Ghulam Mudassar,2017-2017,Islamabad United,Batting
Gulraiz Sadaf,2018-2018,Islamabad United,Batting
DAS Gunaratne,2019-2019,Islamabad United,Batting
Hammad Azam,2016-2016,Islamabad United,Batting
Haris Rauf,2019-2025,Islamabad United,Batting
Haris Sohail,2019-2019,Islamabad United,Batting
Hassan Khan,2019-2019,Islamabad United,Batting
SD Hope,2023-2024,Islamabad United,Batting
Hussain Talat,2023-2023,Islamabad United,Batting
Imran Khan,2018-2018,Islamabad United,Batting
Jahandad Khan,2024-2025,Islamabad United,Batting
Kamran Ghulam,2022-2024,Islamabad United,Batting
S Lamichhane,2019-2019,Islamabad United,Batting
GF Linde,2024-2024,Islamabad United,Batting
CA Lynn,2020-2020,Islamabad United,Batting
Maaz Khan,2020-2020,Islamabad United,Batting
MJ McClenaghan,2018-2018,Islamabad United,Batting
BB McCullum,2017-2018,Islamabad United,Batting
BAW Mendis,2016-2016,Islamabad United,Batting
Mirza Baig,2023-2024,Islamabad United,Batting
DJ Mitchell,2025-2025,Islamabad United,Batting
Mohammad Azab,2025-2025,Islamabad United,Batting
Muhammad Faizan,2020-2021,Islamabad United,Batting
Mohammad Hafeez,2019-2022,Islamabad United,Batting
Mohammad Imran,2024-2024,Islamabad United,Batting
