Player,Span,Team,Country,SR,Bowling Style
MP Breetzke,2023-2025,Durban's Super Giants,South Africa,136.9,
CJ Dala,2023-2025,Durban's Super Giants,South Africa,92.5,Medium
A Dananjaya,2023-2023,Durban's Super Giants,Sri Lanka,77.2,Offbreak
Q de Kock,2023-2025,Durban's Super Giants,South Africa,137.7,
T de Zorzi,2024-2024,Durban's Super Giants,Tshwane Spartans,115.0,Offbreak
RJ Gleeson,2024-2024,Durban's Super Giants,England,70.8,Medium
SR Harmer,2023-2023,Durban's Super Giants,Jozi Stars,130.2,Offbreak
JO Holder,2023-2023,Durban's Super Giants,West Indies,137.0,Medium
C Jonker,2023-2023,Durban's Super Giants,South Africa,126.2,Medium
BA King,2025-2025,Durban's Super Giants,West Indies,132.5,
CJ King,2025-2025,Durban's Super Giants,Durban's Super Giants,,Medium
H Klaasen,2023-2025,Durban's Super Giants,South Africa,155.2,None
BR McDermott,2023-2023,Durban's Super Giants,Australia,136.2,Medium
KA Maharaj,2023-2025,Durban's Super Giants,South Africa,92.6,Orthodox
KR Mayers,2023-2024,Durban's Super Giants,West Indies,135.3,Medium
PWA Mulder,2023-2025,Durban's Super Giants,South Africa,131.1,Medium
Naveen-ul-Haq,2024-2025,Durban's Super Giants,Afghanistan,98.0,Medium
Noor Ahmad,2024-2025,Durban's Super Giants,Afghanistan,95.8,Chinaman
B Parsons,2025-2025,Durban's Super Giants,Durban's Super Giants,136.5,Orthodox
KMA Paul,2023-2024,Durban's Super Giants,West Indies,125.3,Medium
N Pooran,2024-2024,Durban's Super Giants,West Indies,149.6,
D Pretorius,2023-2025,Durban's Super Giants,South Africa,138.4,Medium
PBB Rajapaksa,2024-2024,Durban's Super Giants,Sri Lanka,137.2,Medium
JF Smith,2025-2025,Durban's Super Giants,South Africa,87.5,Medium
JT Smuts,2024-2025,Durban's Super Giants,South Africa,122.8,Orthodox
MP Stoinis,2024-2025,Durban's Super Giants,Australia,137.1,Medium
P Subrayen,2023-2025,Durban's Super Giants,Dolphins,62.2,Offbreak
RJW Topley,2023-2024,Durban's Super Giants,England,96.2,Medium
