Player,Span,Team
Aamer Yamin,2017-2018,Islamabad United
KJ Abbott,2018-2018,Islamabad United
Abdullah Shafique,2022-2025,Islamabad United
Adnan Rasool,2016-2016,Islamabad United
Agha Salman,2018-2021,Islamabad United
Ahmed Daniyal,2021-2021,Islamabad United
Ahsan Hafeez,2023-2024,Islamabad United
Aizaz Cheema,2019-2019,Islamabad United
CJ Anderson,2019-2019,Islamabad United
Asif Afridi,2025-2025,Islamabad United
Asif Ali,2025-2025,Islamabad United
Azhar Ali,2016-2016,Islamabad United
Bilal Asif,2018-2018,Islamabad United
Bilawal Bhatti,2017-2017,Islamabad United
SW Billings,2023-2025,Islamabad United
CR Brathwaite,2019-2024,Islamabad United
DJ Bravo,2016-2016,Islamabad United
HC Brook,2022-2022,Islamabad United
KK Cooper,2016-2016,Islamabad United
TK Curran,2025-2025,Islamabad United
S Dadswell,2023-2023,Islamabad United
TH David,2021-2021,Islamabad United
LA Dawson,2023-2023,Islamabad United
CS Delport,2016-2018,Islamabad United
JL Denly,2021-2021,Islamabad United
AP Devcich,2018-2019,Islamabad United
AB de Villiers,2019-2019,Islamabad United
Dilbar Hussain,2020-2023,Islamabad United
BR Dunk,2020-2022,Islamabad United
Ehsan Adil,2016-2016,Islamabad United
GD Elliott,2017-2017,Islamabad United
Fakhar Zaman,2017-2025,Islamabad United
JP Faulkner,2021-2021,Islamabad United
Fawad Ahmed,2022-2022,Islamabad United
D Foxcroft,2022-2022,Islamabad United
Gauhar Ali,2019-2019,Islamabad United
CH Gayle,2016-2016,Islamabad United
Ghulam Mudassar,2017-2017,Islamabad United
Gulraiz Sadaf,2018-2018,Islamabad United
DAS Gunaratne,2019-2019,Islamabad United
Hammad Azam,2016-2016,Islamabad United
Haris Rauf,2019-2025,Islamabad United
Haris Sohail,2019-2019,Islamabad United
Hassan Khan,2019-2019,Islamabad United
SD Hope,2023-2024,Islamabad United
Hussain Talat,2023-2023,Islamabad United
Imran Khan,2018-2018,Islamabad United
Jahandad Khan,2024-2025,Islamabad United
Kamran Ghulam,2022-2024,Islamabad United
S Lamichhane,2019-2019,Islamabad United
GF Linde,2024-2024,Islamabad United
CA Lynn,2020-2020,Islamabad United
Maaz Khan,2020-2020,Islamabad United
MJ McClenaghan,2018-2018,Islamabad United
BB McCullum,2017-2018,Islamabad United
BAW Mendis,2016-2016,Islamabad United
Mirza Baig,2023-2024,Islamabad United
DJ Mitchell,2025-2025,Islamabad United
Mohammad Azab,2025-2025,Islamabad United
Muhammad Faizan,2020-2021,Islamabad United
Mohammad Hafeez,2019-2022,Islamabad United
Mohammad Imran,2024-2024,Islamabad United
Mohammad Irfan,2017-2017,Islamabad United
Mohammad Naeem,2025-2025,Islamabad United
Mohammad Rizwan,2016-2017,Islamabad United
Muhammad Akhlaq,2025-2025,Islamabad United
Mustafizur Rahman,2018-2018,Islamabad United
SP Narine,2017-2018,Islamabad United
Naved Yasin,2016-2016,Islamabad United
SR Patel,2020-2022,Islamabad United
MDKJ Perera,2025-2025,Islamabad United
S Prasanna,2020-2020,Islamabad United
Rahat Ali,2019-2019,Islamabad United
PBB Rajapaksa,2025-2025,Islamabad United
Raja Farzan,2020-2020,Islamabad United
D Ramdin,2018-2018,Islamabad United
Rashid Khan,2021-2023,Islamabad United
Raza Hasan,2018-2018,Islamabad United
Rishad Hossain,2025-2025,Islamabad United
JJ Roy,2017-2017,Islamabad United
Saad Ali,2019-2019,Islamabad United
Sahibzada Farhan,2024-2024,Islamabad United
Salman Butt,2019-2020,Islamabad United
Salman Fayyaz,2024-2024,Islamabad United
Salman Irshad,2018-2020,Islamabad United
Salman Mirza,2021-2025,Islamabad United
PD Salt,2022-2022,Islamabad United
Shaheen Shah Afridi,2018-2025,Islamabad United
Shakib Al Hasan,2025-2025,Islamabad United
Shawaiz Irfan,2023-2023,Islamabad United
Sikandar Raza,2023-2025,Islamabad United
Sohaib Maqsood,2016-2016,Islamabad United
Sohail Akhtar,2018-2022,Islamabad United
Sohail Khan,2018-2018,Islamabad United
Sohail Tanvir,2017-2017,Islamabad United
Tamim Iqbal,2020-2020,Islamabad United
BRM Taylor,2019-2019,Islamabad United
Tayyab Abbas,2024-2024,Islamabad United
RN ten Doeschate,2019-2019,Islamabad United
LJ Tucker,2024-2024,Islamabad United
Umair Masood,2019-2019,Islamabad United
Umar Akmal,2016-2018,Islamabad United
Usman Shinwari,2020-2020,Islamabad United
HE van der Dussen,2024-2024,Islamabad United
DJ Vilas,2020-2020,Islamabad United
