Player Name,Role,Team
Azam Khan,Wicketkeeper Batter,Islamabad United
Andries Gous,Wicketkeeper Batter,Islamabad United
Haider Ali,Middle order Batter,Islamabad United
Colin Munro,Opening Batter,Islamabad United
Sahibzada Farhan,Middle order Batter,Islamabad United
Rassie van der Dussen,Top order Batter,Islamabad United
Matthew Short,Top order Batter,Islamabad United
Shadab Khan,Allrounder,Islamabad United
Salman Agha,Allrounder,Islamabad United
Jason Holder,Bowling Allrounder,Islamabad United
Imad Wasim,Allrounder,Islamabad United
Kyle Mayers,Batting Allrounder,Islamabad United
Mohammad Nawaz,Allrounder,Islamabad United
Muhammad Shahzad,Batting Allrounder,Islamabad United
James Neesham,Batting Allrounder,Islamabad United
Saad Masood,Allrounder,Islamabad United
Ben Dwarshuis,Bowler,Islamabad United
Hunain Shah,Bowler,Islamabad United
Riley Meredith,Bowler,Islamabad United
Tymal Mills,Bowler,Islamabad United
Naseem Shah,Bowler,Islamabad United
Rumman Raees,Bowler,Islamabad United
Salman Irshad,Bowler,Islamabad United
Mohammad Faiq,,Islamabad United
David Warner,Opening Batter,Karachi Kings
Irfan Khan,Middle order Batter,Karachi Kings
Ben McDermott,Wicketkeeper Batter,Karachi Kings
Muhammad Riazullah,Batter,Karachi Kings
George Munsey,Opening Batter,Karachi Kings
Omair Yousuf,Batter,Karachi Kings
Saad Baig,Wicketkeeper Batter,Karachi Kings
Tim Seifert,Wicketkeeper Batter,Karachi Kings
Shan Masood,Opening Batter,Karachi Kings
James Vince,Batter,Karachi Kings
Litton Das,Wicketkeeper Batter,Karachi Kings
Kane Williamson,Top order Batter,Karachi Kings
Aamer Jamal,Allrounder,Karachi Kings
Khushdil Shah,Allrounder,Karachi Kings
Mohammad Nabi,Allrounder,Karachi Kings
Abbas Afridi,Bowler,Karachi Kings
Arafat Minhas,Bowler,Karachi Kings
Fawad Ali,Bowler,Karachi Kings
Hasan Ali,Bowler,Karachi Kings
Adam Milne,Bowler,Karachi Kings
Mir Hamza,Bowler,Karachi Kings
Zahid Mahmood,Bowler,Karachi Kings
Abdullah Shafique,Top order Batter,Lahore Qalandars
Asif Ali,Middle order Batter,Lahore Qalandars
Fakhar Zaman,Opening Batter,Lahore Qalandars
