Player,Span,Team,Country,SR,Bowling Style,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
A Dananjaya,2023-2023,Durban's Super Giants,Sri Lanka,77.2,Offbreak,280.0,28,8.00,0.0,159,4/17,21.80,0,45.0,0.0,-13.80
BR McDermott,2023-2023,Durban's Super Giants,Australia,136.2,Medium,4913.0,127,29.95,3.0,-,-,-,-,106.0,15.0,-
C Jonker,2023-2023,Durban's Super Giants,South Africa,126.2,Medium,2477.0,66*,26.35,0.0,5,2/21,27.40,0,46.0,0.0,-1.04
CJ Dala,2023-2025,Durban's Super Giants,South Africa,92.5,Medium,233.0,27*,12.26,0.0,145,5/26,23.60,1,35.0,0.0,-11.34
D Pretorius,2023-2025,Durban's Super Giants,South Africa,138.4,Medium,2969.0,77*,19.92,0.0,246,5/17,24.26,1,55.0,0.0,-4.33
DJ Willey,2023-2023,Durban's Super Giants,England,135.9,Medium,4773.0,118,22.30,2.0,362,4/7,23.45,0,165.0,0.0,-1.14
GC Viljoen,2023-2023,Durban's Super Giants,Chittagong Vikings,122.4,Medium,953.0,44,14.66,0.0,189,5/16,25.56,1,30.0,0.0,-10.90
H Klaasen,2023-2025,Durban's Super Giants,South Africa,155.2,,5927.0,105*,31.19,3.0,1,1/12,68.00,0,127.0,34.0,-36.80
JO Holder,2023-2023,Durban's Super Giants,West Indies,137.0,Medium,3035.0,69,18.61,0.0,324,5/27,27.61,1,153.0,0.0,-8.99
KA Maharaj,2023-2025,Durban's Super Giants,South Africa,92.6,Orthodox,768.0,45*,15.05,0.0,162,4/15,28.05,0,63.0,0.0,-12.99
KMA Paul,2023-2024,Durban's Super Giants,West Indies,125.3,Medium,1262.0,56,16.82,0.0,92,5/15,30.86,1,59.0,0.0,-14.04
KR Mayers,2023-2024,Durban's Super Giants,West Indies,135.3,Medium,4196.0,92,23.44,0.0,68,4/4,33.14,0,62.0,0.0,-9.70
MP Breetzke,2023-2025,Durban's Super Giants,South Africa,136.9,,3200.0,94,29.62,0.0,-,-,-,-,45.0,1.0,-
P Subrayen,2023-2025,Durban's Super Giants,Dolphins,62.2,Offbreak,492.0,35*,16.96,0.0,110,4/22,23.15,0,27.0,0.0,-6.18
PWA Mulder,2023-2025,Durban's Super Giants,South Africa,131.1,Medium,2181.0,83*,26.92,0.0,67,4/14,29.20,0,58.0,0.0,-2.28
Q de Kock,2023-2025,Durban's Super Giants,South Africa,137.7,,11421.0,140*,31.20,7.0,-,-,-,-,286.0,57.0,-
RJW Topley,2023-2024,Durban's Super Giants,England,96.2,Medium,122.0,14*,12.20,0.0,240,4/20,23.37,0,41.0,0.0,-11.17
SR Harmer,2023-2023,Durban's Super Giants,Jozi Stars,130.2,Offbreak,1301.0,55,15.12,0.0,178,4/18,28.47,0,120.0,0.0,-13.34
JT Smuts,2024-2025,Durban's Super Giants,South Africa,122.8,Orthodox,4893.0,121,25.75,3.0,124,3/12,28.84,0,48.0,0.0,-3.09
MP Stoinis,2024-2025,Durban's Super Giants,Australia,137.1,Medium,6843.0,147*,29.36,2.0,179,4/15,26.84,0,85.0,0.0,2.52
N Pooran,2024-2024,Durban's Super Giants,West Indies,149.6,,9951.0,108*,30.15,4.0,-,-,-,-,243.0,36.0,-
Naveen-ul-Haq,2024-2025,Durban's Super Giants,Afghanistan,98.0,Medium,365.0,30*,8.69,0.0,267,5/11,24.26,1,60.0,0.0,-15.57
Noor Ahmad,2024-2025,Durban's Super Giants,Afghanistan,95.8,Chinaman,221.0,20,6.13,0.0,209,5/11,21.51,2,40.0,0.0,-15.37
PBB Rajapaksa,2024-2024,Durban's Super Giants,Sri Lanka,137.2,Medium,4176.0,100,22.81,1.0,28,3/11,18.42,0,62.0,1.0,4.39
RJ Gleeson,2024-2024,Durban's Super Giants,England,70.8,Medium,65.0,8,4.64,0.0,149,5/33,23.55,1,25.0,0.0,-18.90
T de Zorzi,2024-2024,Durban's Super Giants,Tshwane Spartans,115.0,Offbreak,1347.0,106*,19.52,1.0,0,-,-,0,16.0,0.0,-
B Parsons,2025-2025,Durban's Super Giants,Durban's Super Giants,136.5,Orthodox,654.0,102*,21.09,1.0,11,3/22,26.63,0,13.0,0.0,-5.53
BA King,2025-2025,Durban's Super Giants,West Indies,132.5,,3938.0,132*,26.60,2.0,-,-,-,-,66.0,0.0,-
CJ King,2025-2025,Durban's Super Giants,Durban's Super Giants,,Medium,32.0,17,16.00,0.0,11,3/18,17.54,0,3.0,0.0,-1.54
CR Woakes,2025-2025,Durban's Super Giants,England,125.9,Medium,1031.0,57*,20.21,0.0,177,4/21,25.24,0,64.0,0.0,-5.02
JF Smith,2025-2025,Durban's Super Giants,South Africa,87.5,Medium,1546.0,79*,28.62,0.0,33,4/4,22.30,0,27.0,0.0,6.32
KS Williamson,2025-2025,Durban's Super Giants,New Zealand,125.3,Offbreak,7275.0,101*,31.76,1.0,30,3/33,30.30,0,125.0,0.0,1.46
AM Phangiso,2023-2024,Joburg Super Kings,South Africa,79.6,Orthodox,518.0,29*,11.77,0.0,190,4/20,23.00,0,58.0,0.0,-11.22
AS Joseph,2023-2023,Joburg Super Kings,West Indies,107.1,Medium,484.0,29*,13.08,0.0,200,6/12,25.70,2,57.0,0.0,-12.62
BS Makhanya,2023-2025,Joburg Super Kings,Cape Town Blitz,121.1,Medium,1393.0,63*,21.10,0.0,7,3/21,54.42,0,27.0,0.0,-33.32
D Ferreira,2023-2025,Joburg Super Kings,South Africa,173.2,Offbreak,2256.0,82*,29.29,0.0,20,3/23,30.45,0,71.0,8.0,-1.15
F du Plessis,2023-2025,Joburg Super Kings,South Africa,139.2,Legbreak,11906.0,120*,32.88,8.0,50,5/19,18.34,2,211.0,0.0,14.54
G Coetzee,2023-2025,Joburg Super Kings,South Africa,101.5,Fast,362.0,37,8.82,0.0,96,4/19,23.63,0,19.0,0.0,-14.80
GHS Garton,2023-2023,Joburg Super Kings,England,134.6,Fast,833.0,46,14.87,0.0,98,4/16,26.73,0,36.0,0.0,-11.85
JL du Plooy,2023-2025,Joburg Super Kings,Dubai Capitals,138.0,Orthodox,4009.0,92,28.84,0.0,14,4/15,22.00,0,85.0,0.0,6.84
JN Malan,2023-2023,Joburg Super Kings,South Africa,131.5,Legbreak,2472.0,128*,29.42,3.0,-,-,-,-,44.0,0.0,-
K Verreynne,2023-2023,Joburg Super Kings,Cape Town Blitz,144.4,Offbreak,1620.0,116*,26.12,1.0,-,-,-,-,37.0,5.0,-
KI Simmonds,2023-2024,Joburg Super Kings,Joburg Super Kings,82.1,Orthodox,275.0,46*,13.75,0.0,51,3/14,20.09,0,15.0,0.0,-6.34
L Gregory,2023-2023,Joburg Super Kings,England,140.8,Medium,3139.0,76*,21.06,0.0,214,5/24,26.00,1,113.0,0.0,-4.93
