Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
MP Breetzke,2017-2025,3200,94,29.62,0,-,-,-,-,45,1,-
CJ Dala,2011-2025,233,27*,12.26,0,145,5/26,23.60,1,35,0,-11.34
A Dananjaya,2012-2025,280,28,8.00,0,159,4/17,21.80,0,45,0,-13.80
Q de Kock,2011-2025,11421,140*,31.20,7,-,-,-,-,286,57,-
T de Zorzi,2016-2025,1347,106*,19.52,1,0,-,-,0,16,0,-
RJ Gleeson,2016-2025,65,8,4.64,0,149,5/33,23.55,1,25,0,-18.90
SR Harmer,2011-2025,1301,55,15.12,0,178,4/18,28.47,0,120,0,-13.34
JO Holder,2010-2025,3035,69,18.61,0,324,5/27,27.61,1,153,0,-8.99
C Jonker,2011-2024,2477,66*,26.35,0,5,2/21,27.40,0,46,0,-1.04
BA King,2017-2025,3938,132*,26.60,2,-,-,-,-,66,0,-
CJ King,,32,17,16.00,0,11,3/18,17.54,0,3,0,-1.54
H Klaasen,2011-2025,5927,105*,31.19,3,1,1/12,68.00,0,127,34,-36.80
BR McDermott,2014-2025,4913,127,29.95,3,-,-,-,-,106,15,-
KA Maharaj,2010-2025,768,45*,15.05,0,162,4/15,28.05,0,63,0,-12.99
KR Mayers,2012-2025,4196,92,23.44,0,68,4/4,33.14,0,62,0,-9.70
PWA Mulder,2016-2025,2181,83*,26.92,0,67,4/14,29.20,0,58,0,-2.28
Naveen-ul-Haq,2017-2025,365,30*,8.69,0,267,5/11,24.26,1,60,0,-15.57
Noor Ahmad,2019-2025,221,20,6.13,0,209,5/11,21.51,2,40,0,-15.37
B Parsons,2019-2025,654,102*,21.09,1,11,3/22,26.63,0,13,0,-5.53
KMA Paul,2017-2025,1262,56,16.82,0,92,5/15,30.86,1,59,0,-14.04
N Pooran,2013-2025,9951,108*,30.15,4,-,-,-,-,243,36,-
D Pretorius,2010-2025,2969,77*,19.92,0,246,5/17,24.26,1,55,0,-4.33
PBB Rajapaksa,2009-2025,4176,100,22.81,1,28,3/11,18.42,0,62,1,4.39
JF Smith,2014-2025,1546,79*,28.62,0,33,4/4,22.30,0,27,0,6.32
JT Smuts,2008-2025,4893,121,25.75,3,124,3/12,28.84,0,48,0,-3.09
MP Stoinis,2012-2025,6843,147*,29.36,2,179,4/15,26.84,0,85,0,2.52
P Subrayen,2012-2025,492,35*,16.96,0,110,4/22,23.15,0,27,0,-6.18
RJW Topley,2012-2025,122,14*,12.20,0,240,4/20,23.37,0,41,0,-11.17
GC Viljoen,2011-2025,953,44,14.66,0,189,5/16,25.56,1,30,0,-10.90
DJ Willey,2009-2025,4773,118,22.30,2,362,4/7,23.45,0,165,0,-1.14
