Player Name,Role,Team,Country,,,
Matthew Breetzke,Batter,Durban's Super Giants,South Africa,,,
Quinton de Kock,Wicketkeeper Batter,Durban's Super Giants,South Africa,,,
Brandon King,Top order Batter,Durban's Super Giants,West Indies,,,
Heinrich Klaasen,Wicketkeeper Batter,Durban's Super Giants,South Africa,,,
Jason Smith,Top order Batter,Durban's Super Giants,South Africa,,,
Kane Williamson,Top order Batter,Durban's Super Giants,New Zealand,,,
Wiaan Mulder,Allrounder,Durban's Super Giants,South Africa,,,
Bryce Parsons,Batting Allrounder,Durban's Super Giants,South Africa,,,
Dwaine Pretorius,Bowling Allrounder,Durban's Super Giants,South Africa,,,
JJ Smuts,Batting Allrounder,Durban's Super Giants,South Africa,,,
Marcus Stoinis,Batting Allrounder,Durban's Super Giants,Australia,,,
Prenelan Subrayen,Allrounder,Durban's Super Giants,South Africa,,,
Chris Woakes,Allrounder,Durban's Super Giants,England,,,
Keshav Maharaj,Bowler,Durban's Super Giants,South Africa,,,
Junior Dala,Bowler,Durban's Super Giants,South Africa,,,
Shamar Joseph,Bowler,Durban's Super Giants,West Indies,,,
Christopher King,Bowler,Durban's Super Giants,West Indies,,,
Naveen-ul-Haq,Bowler,Durban's Super Giants,Afghanistan,,,
Noor Ahmad,Bowler,Durban's Super Giants,Afghanistan,,,
Faf du Plessis,Middle order Batter,Joburg Super Kings,South Africa,,,
Jonny Bairstow,Wicketkeeper Batter,Joburg Super Kings,England,,,
Devon Conway,Wicketkeeper Batter,Joburg Super Kings,New Zealand,,,
Leus du Plooy,Middle order Batter,Joburg Super Kings,South Africa,,,
Donovan Ferreira,Middle order Batter,Joburg Super Kings,South Africa,,,
Wihan Lubbe,Top order Batter,Joburg Super Kings,South Africa,,,
Sibonelo Makhanya,Middle order Batter,Joburg Super Kings,South Africa,,,
Moeen Ali,Batting Allrounder,Joburg Super Kings,England,,,
Evan Jones,Batting Allrounder,Joburg Super Kings,South Africa,,,
JP King,Allrounder,Joburg Super Kings,South Africa,,,
David Wiese,Allrounder,Joburg Super Kings,Namibia,,,
Doug Bracewell,Bowler,Joburg Super Kings,New Zealand,,,
Nandre Burger,Bowler,Joburg Super Kings,South Africa,,,
Gerald Coetzee,Bowler,Joburg Super Kings,South Africa,,,
Beuran Hendricks,Bowler,Joburg Super Kings,South Africa,,,
Imran Tahir,Bowler,Joburg Super Kings,South Africa,,,
Matheesha Pathirana,Bowler,Joburg Super Kings,Sri Lanka,,,
Tabraiz Shamsi,Bowler,Joburg Super Kings,South Africa,,,
Maheesh Theekshana,Bowler,Joburg Super Kings,Sri Lanka,,,
Hardus Viljoen,Bowler,Joburg Super Kings,South Africa,,,
Lizaad Williams,Bowler,Joburg Super Kings,South Africa,,,
Chris Benjamin,Wicketkeeper Batter,MI Cape Town,South Africa,,,
Dewald Brevis,Middle order Batter,MI Cape Town,South Africa,,,
Connor Esterhuizen,Top order Batter,MI Cape Town,South Africa,,,
Reeza Hendricks,Opening Batter,MI Cape Town,South Africa,,,
Colin Ingram,Top order Batter,MI Cape Town,South Africa,,,
Delano Potgieter,Middle order Batter,MI Cape Town,South Africa,,,
Ryan Rickelton,Wicketkeeper Batter,MI Cape Town,South Africa,,,
Sediqullah Atal,Opening Batter,MI Cape Town,Afghanistan,,,
Rassie van der Dussen,Top order Batter,MI Cape Town,South Africa,,,
Rashid Khan,Bowling Allrounder,MI Cape Town,Afghanistan,,,
Azmatullah Omarzai,Allrounder,MI Cape Town,Afghanistan,,,
Corbin Bosch,Allrounder,MI Cape Town,South Africa,,,
Thomas Kaber,Allrounder,MI Cape Town,South Africa,,,
George Linde,Allrounder,MI Cape Town,South Africa,,,
Ben Stokes,Allrounder,MI Cape Town,England,,,
Trent Boult,Bowler,MI Cape Town,New Zealand,,,
