Player,Span,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Matthew Breetzke,2017-2025,3200,94,29.62,0,-,-,-,-,45,1,-
Quinton de Kock,2011-2025,11422,140*,31.12,7,-,-,-,-,286,57,-
Brandon King,2017-2025,3938,132*,26.60,2,-,-,-,-,66,0,-
Heinrich Klaasen,2011-2025,5927,105*,31.19,3,1,1/12,68.00,0,127,34,-36.80
Jason Smith,2014-2025,1577,79*,28.67,0,33,4/4,22.30,0,28,0,6.36
Kane Williamson,2009-2025,7275,101*,31.76,1,30,3/33,30.30,0,125,0,1.46
Wiaan Mulder,2016-2025,2181,83*,26.92,0,67,4/14,29.20,0,58,0,-2.28
Bryce Parsons,2019-2025,654,102*,21.09,1,11,3/22,26.63,0,13,0,-5.53
Dwaine Pretorius,2010-2025,2994,77*,19.96,0,248,5/17,24.14,1,56,0,-4.18
JJ Smuts,2008-2025,4893,121,25.75,3,124,3/12,28.84,0,48,0,-3.09
Marcus Stoinis,2012-2025,6849,147*,29.26,2,180,4/15,27.08,0,86,0,2.18
Prenelan Subrayen,2012-2025,492,35*,16.96,0,110,4/22,23.15,0,27,0,-6.18
Chris Woakes,2008-2025,1031,57*,20.21,0,177,4/21,25.24,0,64,0,-5.02
Keshav Maharaj,2010-2025,768,45*,15.05,0,162,4/15,28.05,0,63,0,-12.99
Junior Dala,2011-2025,233,27*,12.26,0,145,5/26,23.60,1,35,0,-11.34
Shamar Joseph,2023-2025,36,21*,36.00,0,29,3/9,28.44,0,7,0,7.55
Christopher King,,32,17,16.00,0,11,3/18,17.54,0,3,0,-1.54
Naveen-ul-Haq,2017-2025,365,30*,8.69,0,267,5/11,24.26,1,60,0,-15.57
Noor Ahmad,2019-2025,227,20,6.13,0,211,5/11,21.60,2,40,0,-15.46
Faf du Plessis,2007-2025,11906,120*,32.88,8,50,5/19,18.34,2,211,0,14.54
Jonny Bairstow,2010-2025,5895,116,30.70,5,-,-,-,-,131,16,-
Devon Conway,2011-2025,6726,105*,40.27,2,3,1/10,47.00,0,96,9,-6.72
Leus du Plooy,2014-2025,4009,92,28.84,0,14,4/15,22.00,0,85,0,6.84
Donovan Ferreira,2018-2025,2260,82*,28.97,0,20,3/23,31.30,0,71,8,-2.32
Wihan Lubbe,2013-2025,2302,102,22.13,1,28,3/20,34.35,0,35,0,-12.22
Sibonelo Makhanya,2014-2025,1393,63*,21.10,0,7,3/21,54.42,0,27,0,-33.32
Moeen Ali,2007-2025,7460,121*,23.60,3,263,5/34,24.82,1,124,0,-1.21
Evan Jones,2019-2025,564,83,23.50,0,48,4/32,23.97,0,25,0,-0.47
JP King,,263,61,23.90,0,7,2/13,29.42,0,6,0,-5.51
David Wiese,2008-2025,4519,79*,22.59,0,334,5/19,26.24,7,154,0,-3.65
Doug Bracewell,2010-2025,1274,93*,27.69,0,103,3/19,24.98,0,41,0,2.71
Nandre Burger,2016-2025,66,9,5.50,0,90,3/10,23.17,0,23,0,-17.67
Gerald Coetzee,2019-2025,374,37,8.90,0,97,4/19,23.53,0,19,0,-14.63
