Player
MP Breetzke
CJ Dala
A Dananjaya
Q de Kock
T de Zorzi
RJ Gleeson
SR Harmer
JO Holder
C Jonker
BA King
CJ King
H Klaasen
BR McDermott
KA Maharaj
KR Mayers
PWA Mulder
Naveen-ul-Haq
Noor Ahmad
B Parsons
KMA Paul
N Pooran
D Pretorius
PBB Rajapaksa
JF Smith
JT Smuts
MP Stoinis
P Subrayen
RJW Topley
GC Viljoen
DJ Willey
KS Williamson
CR Woakes
MM Ali
JM Bairstow
DAJ Bracewell
N Brand
N Burger
G Coetzee
DP Conway
SJ Cook
F du Plessis
JL du Plooy
D Ferreira
AD Galiem
GHS Garton
L Gregory
RR Hendricks
R Herrmann
Imran Tahir
E Jones
AS Joseph
JP King
WJ Lubbe
WL Madsen
BS Makhanya
JN Malan
M Pathirana
AM Phangiso
T Shamsi
R Shepherd
MP Siboto
KI Simmonds
L Sipamla
M Theekshana
K Verreynne
MS Wade
D Wiese
LB Williams
Zahir Khan
JC Archer
Azmatullah Omarzai
CG Benjamin
C Bosch
TA Boult
D Brevis
SM Curran
TH David
C Esterhuizen
BE Hendricks
CA Ingram
D Jansen
TP Kaber
GF Linde
LS Livingstone
T Luus
WB Marshall
DL Piedt
KA Pollard
D Potgieter
MJ Potts
K Rabada
Rashid Khan
RD Rickelton
G Roelofsen
Sediqullah Atal
OF Smith
OP Stone
N Thushara
HE van der Dussen
N van Heerden
Waqar Salamkheil
FD Adams
FA Allen
JC Buttler
KJ Dudgeon
BC Fortuin
SR Hain
RA Herman
KD Karthik
OC McCoy
E Malinga
I Manack
KT Maphaka
D Marais
DA Miller
EJG Morgan
Mujeeb Ur Rahman
L Ngidi
MJ Owen
N Peter
AL Phehlukwayo
LG Pretorius
JE Root
JJ Roy
RR Simmonds
PR Stirling
JA Turner
M Van Buuren
DJ Vilas
DN Wellalage
Codi Yusuf
MJ Ackerman
CN Ackermann
JP Behrendorff
M Boast
E Bosch
S Dadswell
TB de Bruyn
DM Dupavillon
C Fortuin
WG Jacks
K Lion-Cachet
JB Little
BKG Mendis
S Muthusamy
JDS Neesham
A Nortje
WD Parnell
GG Peters
M Pretorius
Rahmanullah Gurbaz
AU Rashid
TS Rogers
RR Rossouw
PD Salt
WCF Smeed
S Stolk
AJ Turner
T van Vuuren
TB Abell
OEG Baartman
T Bavuma
DG Bedingham
BA Carse
JM Cox
MS Crane
Z Crawley
LA Dawson
SJ Erwee
JK Fuller
A Gqamane
J Hermann
M Jansen
PE Kruger
SSB Magala
DJ Malan
AK Markram
C Overton
AM Rossington
A Simelane
T Stubbs
B Swanepoel
RE van der Merwe
DJ Worrall
