Team Name,Player Name,Role,Country,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff,SR
Durban's Super Giants,Matthew Breetzke,Batter,South Africa,3200,94,29.62,0,-,-,-,-,45,1,-,136.9
Durban's Super Giants,Quinton de Kock,Wicketkeeper Batter,South Africa,11422,140*,31.12,7,-,-,-,-,286,57,-,137.7
Durban's Super Giants,Brandon King,Top order Batter,West Indies,3938,132*,26.6,2,-,-,-,-,66,0,-,132.5
Durban's Super Giants,Heinrich Klaasen,Wicketkeeper Batter,South Africa,5927,105*,31.19,3,1,12-Jan,68,0,127,34,-36.8,155.2
Durban's Super Giants,Jason Smith,Top order Batter,South Africa,1577,79*,28.67,0,33,4-Apr,22.3,0,28,0,6.36,94.3
Durban's Super Giants,Kane Williamson,Top order Batter,New Zealand,7275,101*,31.76,1,30,Mar-33,30.3,0,125,0,1.46,125.3
Durban's Super Giants,Wiaan Mulder,Allrounder,South Africa,2181,83*,26.92,0,67,14-Apr,29.2,0,58,0,-2.28,131.1
Durban's Super Giants,Bryce Parsons,Batting Allrounder,South Africa,654,102*,21.09,1,11,22-Mar,26.63,0,13,0,-5.53,136.5
Durban's Super Giants,Dwaine Pretorius,Bowling Allrounder,South Africa,2994,77*,19.96,0,248,17-May,24.14,1,56,0,-4.18,138.4
Durban's Super Giants,JJ Smuts,Batting Allrounder,South Africa,4893,121,25.75,3,124,12-Mar,28.84,0,48,0,-3.09,122.8
Durban's Super Giants,Marcus Stoinis,Batting Allrounder,Australia,6849,147*,29.26,2,180,15-Apr,27.08,0,86,0,2.18,137.1
Durban's Super Giants,Prenelan Subrayen,Allrounder,South Africa,492,35*,16.96,0,110,22-Apr,23.15,0,27,0,-6.18,62.2
Durban's Super Giants,Chris Woakes,Allrounder,England,1031,57*,20.21,0,177,21-Apr,25.24,0,64,0,-5.02,125.9
Durban's Super Giants,Keshav Maharaj,Bowler,South Africa,768,45*,15.05,0,162,15-Apr,28.05,0,63,0,-12.99,92.6
Durban's Super Giants,Junior Dala,Bowler,South Africa,233,27*,12.26,0,145,26-May,23.6,1,35,0,-11.34,0
Durban's Super Giants,Shamar Joseph,Bowler,West Indies,36,21*,36,0,29,9-Mar,28.44,0,7,0,7.55,128.6
Durban's Super Giants,Christopher King,Bowler,South Africa,32,17,16,0,11,18-Mar,17.54,0,3,0,-1.54,
Durban's Super Giants,Naveen-ul-Haq,Bowler,Afghanistan,365,30*,8.69,0,267,11-May,24.26,1,60,0,-15.57,98
Durban's Super Giants,Noor Ahmad,Bowler,Afghanistan,227,20,6.13,0,211,11-May,21.6,2,40,0,-15.46,96.6
Joburg Super Kings,Faf du Plessis,Middle order Batter,South Africa,11906,120*,32.88,8,50,19-May,18.34,2,211,0,14.54,139.2
Joburg Super Kings,Jonny Bairstow,Wicketkeeper Batter,England,5895,116,30.7,5,-,-,-,-,131,16,-,141.8
Joburg Super Kings,Devon Conway,Wicketkeeper Batter,New Zealand,6726,105*,40.27,2,3,10-Jan,47,0,96,9,-6.72,132.6
Joburg Super Kings,Leus du Plooy,Middle order Batter,South Africa,4009,92,28.84,0,14,15-Apr,22,0,85,0,6.84,138
Joburg Super Kings,Donovan Ferreira,Middle order Batter,South Africa,2260,82*,28.97,0,20,23-Mar,31.3,0,71,8,-2.32,173.3
Joburg Super Kings,Wihan Lubbe,Top order Batter,South Africa,2302,102,22.13,1,28,20-Mar,34.35,0,35,0,-12.22,128.9
Joburg Super Kings,Sibonelo Makhanya,Middle order Batter,South Africa,1393,63*,21.1,0,7,21-Mar,54.42,0,27,0,-33.32,121.1
Joburg Super Kings,Moeen Ali,Batting Allrounder,England,7460,121*,23.6,3,263,May-34,24.82,1,124,0,-1.21,139.7
Joburg Super Kings,Evan Jones,Batting Allrounder,South Africa,564,83,23.5,0,48,Apr-32,23.97,0,25,0,-0.47,0
Joburg Super Kings,JP King,Allrounder,South Africa,263,61,23.9,0,7,13-Feb,29.42,0,6,0,-5.51,90
Joburg Super Kings,David Wiese,Allrounder,Namibia,4519,79*,22.59,0,334,19-May,26.24,7,154,0,-3.65,141.5
Joburg Super Kings,Doug Bracewell,Bowler,New Zealand,1274,93*,27.69,0,103,19-Mar,24.98,0,41,0,2.71,153.8
Joburg Super Kings,Nandre Burger,Bowler,South Africa,66,9,5.5,0,90,10-Mar,23.17,0,23,0,-17.67,54.4
Joburg Super Kings,Gerald Coetzee,Bowler,South Africa,374,37,8.9,0,97,19-Apr,23.53,0,19,0,-14.63,104.4
Joburg Super Kings,Beuran Hendricks,Bowler,South Africa,119,23*,9.91,0,142,29-Jun,24.1,1,31,0,-14.18,77.1
Joburg Super Kings,Imran Tahir,Bowler,South Africa,387,23,8.79,0,570,21-May,19.49,5,107,0,-10.69,101.3
Joburg Super Kings,Matheesha Pathirana,Bowler,Sri Lanka,38,8,3.8,0,132,20-Apr,21.46,0,26,0,-17.66,55.2
Joburg Super Kings,Tabraiz Shamsi,Bowler,South Africa,95,15*,4.52,0,348,24-May,22.32,1,40,0,-17.8,51.5
Joburg Super Kings,Maheesh Theekshana,Bowler,Sri Lanka,249,15,6.07,0,213,15-Apr,25.86,0,43,0,-19.79,67.9
Joburg Super Kings,Hardus Viljoen,Bowler,South Africa,953,44,14.66,0,189,16-May,25.56,1,30,0,-10.9,122.4
Joburg Super Kings,Lizaad Williams,Bowler,South Africa,85,17*,8.5,0,111,13-Apr,21.36,0,21,0,-12.86,57.4
MI Cape Town,Chris Benjamin,Wicketkeeper Batter,South Africa,998,68*,19.96,0,-,-,-,-,33,1,-,136.7
MI Cape Town,Dewald Brevis,Middle order Batter,South Africa,2518,162,28.94,2,18,19-Feb,21.27,0,53,0,7.66,154.9
MI Cape Town,Connor Esterhuizen,Top order Batter,South Africa,475,69,33.92,0,-,-,-,-,14,1,-,116
MI Cape Town,Reeza Hendricks,Opening Batter,South Africa,7797,117,34.04,5,8,7-Feb,33.5,0,118,0,0.54,128.5
MI Cape Town,Colin Ingram,Top order Batter,South Africa,9010,127*,28.33,4,40,Apr-32,32.97,0,124,0,-4.64,140.9
MI Cape Town,Delano Potgieter,Middle order Batter,South Africa,1253,71,30.56,0,46,10-May,17.5,2,23,0,13.06,144.5
MI Cape Town,Ryan Rickelton,Wicketkeeper Batter,South Africa,3553,103*,29.6,1,1,14-Jan,14,0,84,13,15.6,146.7
MI Cape Town,Sediqullah Atal,Opening Batter,Afghanistan,2272,95*,34.42,0,-,-,-,-,29,0,-,122.8
MI Cape Town,Rassie van der Dussen,Top order Batter,South Africa,6773,112*,36.8,5,3,15-Feb,18.33,0,72,0,18.47,130.3
MI Cape Town,Rashid Khan,Bowling Allrounder,Afghanistan,2789,79*,13.87,0,678,17-Jun,18.39,4,175,0,-4.51,142.4
MI Cape Town,Azmatullah Omarzai,Allrounder,Afghanistan,,,,,,,,,,,,129.5
MI Cape Town,Corbin Bosch,Allrounder,South Africa,,,,,,,,,,,,111.4
MI Cape Town,Thomas Kaber,Allrounder,South Africa,374,57*,15.58,0,54,11-Mar,19.79,0,13,0,-4.21,117.2
MI Cape Town,George Linde,Allrounder,South Africa,2417,66*,19.49,0,194,19-Apr,26.33,0,58,0,-6.84,139.5
MI Cape Town,Ben Stokes,Allrounder,England,3027,107*,24.41,2,93,16-Apr,30.91,0,74,0,-6.5,136.4
MI Cape Town,Trent Boult,Bowler,New Zealand,307,23*,10.96,0,329,13-Apr,25.31,0,97,0,-14.34,116.7
MI Cape Town,Tristan Luus,Bowler,South Africa,11,8,5.5,0,9,Mar-35,24.44,0,2,0,-18.94,100
MI Cape Town,Dane Piedt,Bowler,South Africa,103,29*,10.3,0,33,24-Mar,33.93,0,12,0,-23.63,92.3
MI Cape Town,Matthew Potts,Bowler,England,236,40*,14.75,0,90,17-May,24.36,1,30,0,-9.61,124.1
MI Cape Town,Kagiso Rabada,Bowler,South Africa,502,44,10.91,0,284,21-Apr,23.69,0,76,0,-12.77,109.2
MI Cape Town,Nuwan Thushara,Bowler,Sri Lanka,0,0,0,0,0,0-Jan,0,0,0,0,0,65.1
Paarl Royals,David Miller,Middle order Batter,South Africa,11476,120*,35.09,4,0,-,-,0,321,1,-,137.5
Paarl Royals,Sam Hain,Middle order Batter,England,5053,112*,38.57,1,-,-,-,-,87,0,-,134.1
Paarl Royals,Rubin Hermann,Wicketkeeper,South Africa,1271,102,32.58,1,-,-,-,-,31,3,-,129.3
Paarl Royals,Dinesh Karthik,Wicketkeeper Batter,India,7537,97*,27.01,0,1,10-Jan,28,0,236,72,-0.98,136.8
Paarl Royals,Dewan Marais,Batter,South Africa,389,87*,27.78,0,-,-,-,-,10,0,-,66.7
Paarl Royals,Mitchell Owen,Middle order Batter,Australia,1109,108,25.2,2,26,17-May,26.84,1,25,0,-1.64,182.7
Paarl Royals,Lhuan-dre Pretorius,Wicketkeeper Batter,South Africa,1178,97,25.06,0,-,-,-,-,20,1,-,149.5
Paarl Royals,Mitchell Van Buuren,Middle order Batter,South Africa,1181,72*,26.84,0,0,-,-,0,19,0,-,107.9
Paarl Royals,Joe Root,Top order Batter,England,3062,92*,32.23,0,35,7-Feb,28.05,0,58,0,4.17,130.9
Paarl Royals,Jacob Bethell,Batting Allrounder,England,1514,87,24.03,0,18,5-Feb,26.5,0,43,0,-2.46,140.3
Paarl Royals,Codi Yusuf,Allrounder,South Africa,97,25,16.16,0,36,15-Mar,30.88,0,10,0,-14.72,100
Paarl Royals,Dayyaan Galiem,Bowling Allrounder,South Africa,756,74*,21.6,0,56,11-Apr,26.28,0,23,0,-4.68,87.2
Paarl Royals,Andile Phehlukwayo,Bowling Allrounder,South Africa,1027,39*,13.16,0,121,26-May,26.23,1,19,0,-13.06,116.4
Paarl Royals,Bjorn Fortuin,Bowler,South Africa,518,32,10.57,0,171,8-Apr,22.31,0,57,0,-11.74,96.4
Paarl Royals,Eshan Malinga,Bowler,Sri Lanka,24,15,8,0,44,15-Apr,20.29,0,10,0,-12.29,109.5
Paarl Royals,Kwena Maphaka,Bowler,South Africa,53,22*,26.5,0,49,18-Apr,25.22,0,12,0,1.27,94.4
Paarl Royals,Mujeeb Ur Rahman,Bowler,Afghanistan,433,34,9.21,0,296,15-May,23.55,2,51,0,-14.34,105.5
Paarl Royals,Lungi Ngidi,Bowler,South Africa,80,13*,6.66,0,190,May-39,21.34,1,31,0,-14.68,77.5
Paarl Royals,Nqabayomzi Peter,Bowler,South Africa,41,11*,13.66,0,38,7-Apr,21.28,0,12,0,-7.62,116
Paarl Royals,John Turner,Bowler,England,12,4,6,0,48,23-Apr,18.85,0,5,0,-12.85,60
Paarl Royals,Dunith Wellalage,Bowler,Sri Lanka,564,45,17.62,0,66,10-Apr,22.6,0,29,0,-4.98,109.6
Paarl Royals,Keith Dudgeon,Bowler,South Africa,387,36*,16.12,0,40,5-Apr,23.82,0,15,0,-7.69,50
Sunrisers Eastern Cape,Aiden Markram,Middle order Batter,South Africa,4950,100,30.74,1,47,21-Mar,31.25,0,107,0,-0.5,136.8
Sunrisers Eastern Cape,Tom Abell,Middle order Batter,England,3715,101*,29.25,1,2,11-Jan,50,0,98,0,-20.74,133.5
Sunrisers Eastern Cape,David Bedingham,Middle order Batter,South Africa,1671,78,21.42,0,-,-,-,-,20,1,-,133.2
Sunrisers Eastern Cape,Zak Crawley,Top order Batter,England,2381,108*,27.36,1,-,-,-,-,48,0,-,139.2
Sunrisers Eastern Cape,Tony de Zorzi,Top order Batter,South Africa,1347,106*,19.52,1,0,-,-,0,16,0,-,115
