Player,Span,Team,Country,SR,Bowling Style
Matthew Breetzke,2017-2025,Unknown,South Africa,136.9,
Quinton de Kock,2011-2025,Unknown,South Africa,137.7,
Brandon King,2017-2025,Unknown,West Indies,132.5,
Heinrich Klaasen,2011-2025,Unknown,South Africa,155.2,None
Jason Smith,2014-2025,Unknown,South Africa,94.3,Medium
Kane Williamson,2009-2025,Unknown,New Zealand,125.3,Offbreak
Wiaan Mulder,2016-2025,Unknown,South Africa,131.1,Medium
Bryce Parsons,2019-2025,Unknown,Durban's Super Giants,136.5,Orthodox
Dwaine Pretorius,2010-2025,Unknown,South Africa,138.4,Medium
JJ Smuts,2008-2025,Unknown,South Africa,122.8,Orthodox
Marcus Stoinis,2012-2025,Unknown,Australia,137.1,Medium
Prenelan Subrayen,2012-2025,Unknown,Dolphins,62.2,Offbreak
Chris Woakes,2008-2025,Unknown,England,125.9,Medium
Keshav Maharaj,2010-2025,Unknown,South Africa,92.6,Orthodox
Junior Dala,2011-2025,Unknown,,0,
Shamar Joseph,2023-2025,Unknown,West Indies,128.6,Fast
Christopher King,,Unknown,Durban's Super Giants,,Medium
Naveen-ul-Haq,2017-2025,Unknown,Afghanistan,98.0,Medium
Noor Ahmad,2019-2025,Unknown,Afghanistan,96.6,Chinaman
Faf du Plessis,2007-2025,Unknown,South Africa,139.2,Legbreak
Jonny Bairstow,2010-2025,Unknown,England,141.8,
Devon Conway,2011-2025,Unknown,New Zealand,132.6,Medium
Leus du Plooy,2014-2025,Unknown,Dubai Capitals,138.0,Orthodox
Donovan Ferreira,2018-2025,Unknown,South Africa,173.3,Offbreak
Wihan Lubbe,2013-2025,Unknown,South Africa,128.9,Offbreak
Sibonelo Makhanya,2014-2025,Unknown,Cape Town Blitz,121.1,Medium
Moeen Ali,2007-2025,Unknown,England,139.7,Offbreak
Evan Jones,2019-2025,Unknown,,0,
JP King,,Unknown,Joburg Super Kings,90.0,Offbreak
David Wiese,2008-2025,Unknown,South Africa,141.5,Medium
Doug Bracewell,2010-2025,Unknown,New Zealand,153.8,Medium
Nandre Burger,2016-2025,Unknown,South Africa,54.4,Medium
Gerald Coetzee,2019-2025,Unknown,South Africa,104.4,Fast
Beuran Hendricks,2011-2024,Unknown,South Africa,77.1,Medium
Imran Tahir,2006-2025,Unknown,South Africa,101.3,Legbreak
Matheesha Pathirana,2021-2025,Unknown,Sri Lanka,55.2,Medium
Tabraiz Shamsi,2011-2025,Unknown,South Africa,51.5,Chinaman
Maheesh Theekshana,2018-2025,Unknown,Sri Lanka,67.9,Offbreak
Hardus Viljoen,2011-2025,Unknown,Chittagong Vikings,122.4,Medium
Lizaad Williams,2013-2025,Unknown,South Africa,57.4,Medium
Chris Benjamin,2021-2025,Unknown,Sharjah Warriors,136.7,Medium
Dewald Brevis,2021-2025,Unknown,South Africa,154.9,Legbreak
Connor Esterhuizen,2022-2025,Unknown,Abu Dhabi Knight Riders,116.0,
Reeza Hendricks,2009-2025,Unknown,South Africa,128.5,Medium
Colin Ingram,2007-2025,Unknown,South Africa,140.9,
Delano Potgieter,2015-2025,Unknown,St Lucia Kings,144.5,Medium
Ryan Rickelton,2017-2025,Unknown,South Africa,146.7,
Sediqullah Atal,2020-2025,Unknown,Afghanistan,122.8,
Rassie van der Dussen,2013-2025,Unknown,South Africa,130.3,Legbreak
Rashid Khan,2015-2025,Unknown,Afghanistan,142.4,Legbreak
Azmatullah Omarzai,,Unknown,Afghanistan,129.5,Medium
Corbin Bosch,,Unknown,South Africa,111.4,Medium
Thomas Kaber,2013-2025,Unknown,MI Cape Town,117.2,Chinaman
George Linde,2012-2025,Unknown,South Africa,139.5,Orthodox
Ben Stokes,2010-2024,Unknown,England,136.4,Medium
Trent Boult,2009-2025,Unknown,New Zealand,116.7,Medium
Tristan Luus,2024-2025,Unknown,MI New York,100.0,Medium
Dane Piedt,2011-2025,Unknown,Cape Cobras,92.3,Offbreak
Matthew Potts,2019-2025,Unknown,England,124.1,Medium
Kagiso Rabada,2014-2025,Unknown,South Africa,109.2,Fast
Nuwan Thushara,,Unknown,Sri Lanka,65.1,Medium
David Miller,2008-2025,Unknown,South Africa,137.5,Offbreak
Sam Hain,2016-2025,Unknown,Brisbane Heat,134.1,Offbreak
Rubin Hermann,2017-2025,Unknown,South Africa,129.3,
Dinesh Karthik,2006-2025,Unknown,India,136.8,
Dewan Marais,2022-2025,Unknown,Paarl Royals,66.7,
Mitchell Owen,2021-2025,Unknown,Australia,182.7,Medium
Lhuan-dre Pretorius,2024-2025,Unknown,South Africa,149.5,
Mitchell Van Buuren,2018-2025,Unknown,Paarl Royals,107.9,Legbreak
Joe Root,2011-2025,Unknown,England,130.9,Offbreak
Jacob Bethell,2021-2025,Unknown,England,140.3,Orthodox
Codi Yusuf,2018-2025,Unknown,Paarl Royals,100.0,Medium
Dayyaan Galiem,2015-2025,Unknown,South Africa,87.2,Medium
Andile Phehlukwayo,2014-2025,Unknown,South Africa,116.4,Medium
