Name,Span,Team,OtherTeam,SR,BowlingStyle,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
Adnan Rasool,2016-2016,Islamabad United,Lahore Lions,80.0,Offbreak,66,41*,9.42,0,45,4/21,21.46,0,7.0,0.0,-12.03
Azhar Ali,2016-2016,Islamabad United,Lahore Qalandars,106.4,Legbreak,985,72,21.88,0,15,3/10,18.86,0,24.0,0.0,3.02
BAW Mendis,2016-2016,Islamabad United,Sri Lanka,67.6,Offbreak,214,27*,6.68,0,170,6/8,19.00,2,29.0,0.0,-12.31
CH Gayle,2016-2016,Islamabad United,West Indies,144.1,Offbreak,14562,175*,36.22,22,83,4/22,31.54,0,104.0,0.0,4.68
CS Delport,2016-2018,Islamabad United,Sydney Thunder,139.5,Medium,6290,129,25.05,5,71,4/17,29.45,0,88.0,0.0,-4.39
DJ Bravo,2016-2016,Islamabad United,West Indies,126.3,Medium,6970,70*,22.33,0,631,5/23,24.40,2,275.0,0.0,-2.06
Ehsan Adil,2016-2016,Islamabad United,Faisalabad Wolves,85.7,Fast,120,18,7.05,0,94,4/28,23.58,0,16.0,0.0,-16.52
Hammad Azam,2016-2016,Islamabad United,Pakistan,97.6,Medium,1438,66,21.14,0,75,4/12,24.29,0,31.0,0.0,-3.14
KK Cooper,2016-2016,Islamabad United,Chittagong Kings,143.3,Medium,753,42*,12.76,0,195,5/15,20.07,1,57.0,0.0,-7.30
Mohammad Rizwan,2016-2017,Islamabad United,Pakistan,126.4,,8648,110*,43.24,3,1,1/22,22.00,0,190.0,50.0,21.24
Naved Yasin,2016-2016,Islamabad United,Lahore Qalandars,81.8,Orthodox,1227,69*,29.92,0,6,4/17,21.83,0,20.0,0.0,8.09
Sohaib Maqsood,2016-2016,Islamabad United,Pakistan,124.1,Offbreak,3928,88*,27.46,0,6,3/23,42.50,0,42.0,0.0,-15.03
