Player,Span,Team,Country,SR,Bowling Style
Aamer Yamin,2017-2018,Islamabad United,Pakistan,137.7,Medium
KJ Abbott,2018-2018,Islamabad United,South Africa,121.1,Medium
Abdullah Shafique,2022-2025,Islamabad United,Pakistan,140.5,Offbreak
Adnan Rasool,2016-2016,Islamabad United,Lahore Lions,80.0,Offbreak
Agha Salman,2018-2021,Islamabad United,Pakistan,116.5,Offbreak
Ahmed Daniyal,2021-2021,Islamabad United,Pakistan,110.6,Medium
Ahsan Hafeez,2023-2024,Islamabad United,Lahore Qalandars,140.0,Orthodox
Aizaz Cheema,2019-2019,Islamabad United,Pakistan,40.0,Medium
CJ Anderson,2019-2019,Islamabad United,New Zealand,131.0,Medium
Asif Afridi,2025-2025,Islamabad United,Lahore Qalandars,73.0,Orthodox
Asif Ali,2025-2025,Islamabad United,Pakistan,141.9,Medium
Azhar Ali,2016-2016,Islamabad United,Lahore Qalandars,106.4,Legbreak
Bilal Asif,2018-2018,Islamabad United,Lahore Qalandars,,Offbreak
Bilawal Bhatti,2017-2017,Islamabad United,Pakistan,104.9,Medium
SW Billings,2023-2025,Islamabad United,England,134.3,
CR Brathwaite,2019-2024,Islamabad United,West Indies,136.0,Medium
DJ Bravo,2016-2016,Islamabad United,West Indies,126.3,Medium
HC Brook,2022-2022,Islamabad United,England,150.4,Medium
KK Cooper,2016-2016,Islamabad United,Chittagong Kings,143.3,Medium
TK Curran,2025-2025,Islamabad United,England,143.5,Medium
S Dadswell,2023-2023,Islamabad United,Lahore Qalandars,95.5,Medium
TH David,2021-2021,Islamabad United,Singapore,161.9,Offbreak
LA Dawson,2023-2023,Islamabad United,England,121.4,Orthodox
CS Delport,2016-2018,Islamabad United,Sydney Thunder,139.5,Medium
JL Denly,2021-2021,Islamabad United,England,127.4,Legbreak
AP Devcich,2018-2019,Islamabad United,New Zealand,142.1,Orthodox
AB de Villiers,2019-2019,Islamabad United,South Africa,149.4,Medium
Dilbar Hussain,2020-2023,Islamabad United,Melbourne Stars,100.0,Medium
BR Dunk,2020-2022,Islamabad United,Australia,128.9,
Ehsan Adil,2016-2016,Islamabad United,Faisalabad Wolves,85.7,Fast
GD Elliott,2017-2017,Islamabad United,New Zealand,119.7,Medium
Fakhar Zaman,2017-2025,Islamabad United,Pakistan,134.9,Orthodox
JP Faulkner,2021-2021,Islamabad United,Australia,126.6,Medium
Fawad Ahmed,2022-2022,Islamabad United,Australia,75.4,Legbreak
D Foxcroft,2022-2022,Islamabad United,New Zealand,124.7,Offbreak
Gauhar Ali,2019-2019,Islamabad United,Lahore Qalandars,136.4,
CH Gayle,2016-2016,Islamabad United,West Indies,144.1,Offbreak
Ghulam Mudassar,2017-2017,Islamabad United,Sylhet Sixers,33.3,Medium
Gulraiz Sadaf,2018-2018,Islamabad United,,0,
DAS Gunaratne,2019-2019,Islamabad United,Sri Lanka,124.9,Medium
Hammad Azam,2016-2016,Islamabad United,Pakistan,97.6,Medium
Haris Rauf,2019-2025,Islamabad United,Pakistan,108.8,Fast
Haris Sohail,2019-2019,Islamabad United,Pakistan,95.6,Orthodox
Hassan Khan,2019-2019,Islamabad United,Germany,141.7,Orthodox
SD Hope,2023-2024,Islamabad United,West Indies,129.2,None
Hussain Talat,2023-2023,Islamabad United,Pakistan,121.2,Medium
Imran Khan,2018-2018,Islamabad United,Portugal,87.5,Medium
Jahandad Khan,2024-2025,Islamabad United,Pakistan,150.0,Medium
Kamran Ghulam,2022-2024,Islamabad United,Islamabad United,123.5,Orthodox
S Lamichhane,2019-2019,Islamabad United,World-XI,87.7,Legbreak
GF Linde,2024-2024,Islamabad United,South Africa,139.5,Orthodox
CA Lynn,2020-2020,Islamabad United,Australia,143.8,Orthodox
Maaz Khan,2020-2020,Islamabad United,Lesotho,145.9,Legbreak
MJ McClenaghan,2018-2018,Islamabad United,New Zealand,111.4,Medium
BB McCullum,2017-2018,Islamabad United,New Zealand,135.1,Medium
BAW Mendis,2016-2016,Islamabad United,Sri Lanka,67.6,Offbreak
Mirza Baig,2023-2024,Islamabad United,Pakistan,121.1,
DJ Mitchell,2025-2025,Islamabad United,New Zealand,138.2,Medium
Mohammad Azab,2025-2025,Islamabad United,Lahore Qalandars,0.0,
Muhammad Faizan,2020-2021,Islamabad United,Lahore Qalandars,84.4,Medium
Mohammad Hafeez,2019-2022,Islamabad United,Pakistan,116.7,Offbreak
Mohammad Imran,2024-2024,Islamabad United,Fortune Barishal,50.0,Medium
Mohammad Irfan,2017-2017,Islamabad United,Pakistan,48.8,Fast
Mohammad Naeem,2025-2025,Islamabad United,,0,
Mohammad Rizwan,2016-2017,Islamabad United,Pakistan,126.4,None
Muhammad Akhlaq,2025-2025,Islamabad United,Lahore Qalandars,134.2,Medium
Mustafizur Rahman,2018-2018,Islamabad United,Bangladesh,71.4,Medium
SP Narine,2017-2018,Islamabad United,West Indies,148.8,Offbreak
Naved Yasin,2016-2016,Islamabad United,Lahore Qalandars,81.8,Orthodox
SR Patel,2020-2022,Islamabad United,England,125.8,Orthodox
MDKJ Perera,2025-2025,Islamabad United,Sri Lanka,137.4,
S Prasanna,2020-2020,Islamabad United,Sri Lanka,139.7,Legbreak
Rahat Ali,2019-2019,Islamabad United,Czech Republic,81.1,Medium
PBB Rajapaksa,2025-2025,Islamabad United,Sri Lanka,137.2,Medium
Raja Farzan,2020-2020,Islamabad United,Lahore Qalandars,,Legbreak
D Ramdin,2018-2018,Islamabad United,West Indies,115.5,
Rashid Khan,2021-2023,Islamabad United,Afghanistan,142.2,Legbreak
Raza Hasan,2018-2018,Islamabad United,Pakistan,69.2,Orthodox
Rishad Hossain,2025-2025,Islamabad United,Bangladesh,133.9,Legbreak
JJ Roy,2017-2017,Islamabad United,England,140.0,
Saad Ali,2019-2019,Islamabad United,Lahore Qalandars,88.9,Medium
Sahibzada Farhan,2024-2024,Islamabad United,Pakistan,129.6,
Salman Butt,2019-2020,Islamabad United,Pakistan,109.1,Offbreak
Salman Fayyaz,2024-2024,Islamabad United,Lahore Qalandars,166.7,Legbreak
Salman Irshad,2018-2020,Islamabad United,Dhaka Dominators,68.6,Medium
Salman Mirza,2021-2025,Islamabad United,Pakistan,88.9,Medium
PD Salt,2022-2022,Islamabad United,England,155.9,Offbreak
Shaheen Shah Afridi,2018-2025,Islamabad United,Pakistan,132.7,Medium
Shakib Al Hasan,2025-2025,Islamabad United,Bangladesh,126.2,Orthodox
Shawaiz Irfan,2023-2023,Islamabad United,Lahore Qalandars,0.0,
Sikandar Raza,2023-2025,Islamabad United,Zimbabwe,136.3,Offbreak
Sohaib Maqsood,2016-2016,Islamabad United,Pakistan,124.1,Offbreak
Sohail Akhtar,2018-2022,Islamabad United,Lahore Qalandars,123.2,Medium
Sohail Khan,2018-2018,Islamabad United,Pakistan,96.1,Medium
Sohail Tanvir,2017-2017,Islamabad United,Pakistan,115.3,Medium
Tamim Iqbal,2020-2020,Islamabad United,Bangladesh,120.2,Offbreak
BRM Taylor,2019-2019,Islamabad United,Zimbabwe,121.3,Offbreak
Tayyab Abbas,2024-2024,Islamabad United,Lahore Qalandars,,Medium
RN ten Doeschate,2019-2019,Islamabad United,Netherlands,134.4,Medium
LJ Tucker,2024-2024,Islamabad United,Ireland,123.2,
Umair Masood,2019-2019,Islamabad United,Lahore Qalandars,78.6,
Umar Akmal,2016-2018,Islamabad United,Pakistan,128.3,
Usman Shinwari,2020-2020,Islamabad United,Pakistan,100.0,Medium
HE van der Dussen,2024-2024,Islamabad United,South Africa,130.3,Legbreak
DJ Vilas,2020-2020,Islamabad United,Cape Cobras,131.4,
GC Viljoen,2019-2019,Islamabad United,Chittagong Vikings,122.4,Medium
MH Wessels,2019-2019,Islamabad United,Sydney Sixers,135.0,None
D Wiese,2019-2025,Islamabad United,South Africa,141.5,Medium
Yasir Shah,2017-2019,Islamabad United,Pakistan,91.1,Legbreak
Zafar Gohar,2016-2016,Islamabad United,Lahore Qalandars,100.0,Orthodox
Zaman Khan,2022-2025,Islamabad United,Pakistan,74.0,Medium
Zeeshan Ashraf,2021-2022,Islamabad United,Multan Sultans,125.6,Offbreak
Zia-ul-Haq,2016-2016,Islamabad United,Texas Super Kings,50.0,Medium
Zohaib Khan,2016-2016,Islamabad United,Lahore Qalandars,138.5,Orthodox
Abrar Ahmed,2023-2023,Karachi Kings,Pakistan,76.8,Legbreak
Agha Salman,2024-2025,Karachi Kings,Pakistan,116.5,Offbreak
Ahmed Safi Abdullah,2020-2020,Karachi Kings,Islamabad United,69.2,Orthodox
Akif Javed,2020-2021,Karachi Kings,Fortune Barishal,112.8,Medium
Ali Khan,2021-2021,Karachi Kings,United States of America,93.2,Medium
Amad Butt,2017-2020,Karachi Kings,Khulna Tigers,134.0,Fast
Ashar Zaidi,2016-2016,Karachi Kings,Comilla Victorians,138.3,Orthodox
Asif Ali,2016-2023,Karachi Kings,Pakistan,141.9,Medium
Athar Mahmood,2022-2022,Karachi Kings,Islamabad United,,Medium
Azam Khan,2022-2025,Karachi Kings,Pakistan,143.9,
Azhar Mahmood,2016-2016,Karachi Kings,Sydney Thunder,131.0,Medium
Babar Azam,2016-2016,Karachi Kings,Pakistan,128.7,Offbreak
S Badree,2016-2017,Karachi Kings,West Indies,80.6,Legbreak
IR Bell,2019-2019,Karachi Kings,England,128.6,Medium
SW Billings,2016-2017,Karachi Kings,England,134.3,
JM Cox,2024-2024,Karachi Kings,England,142.8,
TK Curran,2023-2023,Karachi Kings,England,143.5,Medium
Danish Aziz,2022-2022,Karachi Kings,Pakistan,117.5,Orthodox
LA Dawson,2022-2022,Karachi Kings,England,121.4,Orthodox
M de Lange,2022-2022,Karachi Kings,South Africa,129.8,Fast
CS Delport,2019-2019,Karachi Kings,Sydney Thunder,139.5,Medium
BM Duckett,2017-2017,Karachi Kings,England,140.6,Offbreak
JP Duminy,2018-2018,Karachi Kings,South Africa,123.5,Offbreak
BJ Dwarshuis,2025-2025,Karachi Kings,Australia,143.3,Medium
Faheem Ashraf,2018-2024,Karachi Kings,Pakistan,142.9,Medium
Fawad Ahmed,2021-2021,Karachi Kings,Australia,75.4,Legbreak
Fazalhaq Farooqi,2023-2023,Karachi Kings,Afghanistan,59.3,Medium
ST Finn,2018-2018,Karachi Kings,England,82.4,Medium
MW Forde,2024-2024,Karachi Kings,West Indies,143.1,Medium
Ghazi Ghori,2025-2025,Karachi Kings,Islamabad United,80.0,
AGS Gous,2025-2025,Karachi Kings,United States of America,137.4,
L Gregory,2021-2021,Karachi Kings,England,140.8,Medium
